,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.343,0.415,0.052,0.0,0.239,0.247,0.006,0.0,0.11,0.115,0.0,0.002,0.277,0.305,0.025,0.397
p10,0.003,0.445,0.489,0.03,0.0,0.399,0.369,0.004,0.0,0.295,0.272,0.001,0.001,0.421,0.449,0.017,0.471
p100,0.002,0.351,0.366,0.036,0.0,0.297,0.282,0.007,0.0,0.234,0.249,0.002,0.001,0.336,0.357,0.027,0.348
p101,0.0,0.346,0.357,0.029,0.0,0.321,0.325,0.011,0.0,0.284,0.335,0.008,0.0,0.378,0.434,0.031,0.264
p102,0.0,0.349,0.363,0.027,0.0,0.328,0.319,0.008,0.0,0.29,0.331,0.006,0.0,0.384,0.424,0.024,0.283
p103,0.001,0.33,0.415,0.061,0.0,0.246,0.297,0.016,0.0,0.144,0.21,0.005,0.0,0.303,0.384,0.043,0.41
p104,0.001,0.336,0.417,0.061,0.0,0.247,0.298,0.017,0.0,0.133,0.2,0.006,0.0,0.3,0.377,0.043,0.415
p105,0.002,0.352,0.416,0.049,0.0,0.281,0.306,0.013,0.0,0.165,0.214,0.004,0.001,0.32,0.374,0.033,0.391
p106,0.0,0.322,0.437,0.06,0.0,0.275,0.352,0.019,0.0,0.164,0.259,0.007,0.0,0.291,0.397,0.043,0.363
p107,0.002,0.349,0.417,0.046,0.0,0.31,0.338,0.013,0.0,0.193,0.251,0.005,0.001,0.317,0.377,0.032,0.38
p108,0.004,0.396,0.35,0.023,0.0,0.36,0.271,0.003,0.0,0.228,0.205,0.001,0.002,0.366,0.323,0.014,0.34
p109,0.001,0.328,0.415,0.054,0.0,0.277,0.336,0.015,0.0,0.183,0.259,0.006,0.0,0.302,0.378,0.039,0.388
p11,0.002,0.445,0.441,0.018,0.0,0.41,0.346,0.001,0.0,0.333,0.278,0.0,0.001,0.439,0.42,0.01,0.457
p110,0.001,0.318,0.395,0.05,0.0,0.273,0.331,0.014,0.0,0.185,0.257,0.005,0.0,0.295,0.358,0.034,0.395
p111,0.001,0.337,0.406,0.046,0.0,0.274,0.304,0.011,0.0,0.167,0.21,0.003,0.0,0.315,0.369,0.031,0.381
p112,0.001,0.34,0.399,0.048,0.0,0.283,0.308,0.012,0.0,0.17,0.215,0.004,0.0,0.314,0.357,0.033,0.378
p113,0.001,0.338,0.409,0.053,0.0,0.284,0.327,0.015,0.0,0.173,0.234,0.005,0.0,0.304,0.361,0.036,0.38
p114,0.001,0.325,0.415,0.05,0.0,0.292,0.34,0.015,0.0,0.196,0.265,0.006,0.0,0.306,0.364,0.035,0.377
p115,0.001,0.321,0.39,0.047,0.0,0.264,0.298,0.01,0.0,0.169,0.222,0.002,0.001,0.297,0.355,0.031,0.349
p116,0.001,0.34,0.395,0.039,0.0,0.291,0.309,0.008,0.0,0.214,0.259,0.003,0.0,0.322,0.366,0.027,0.362
p117,0.001,0.321,0.407,0.049,0.0,0.279,0.331,0.013,0.0,0.19,0.269,0.004,0.0,0.299,0.375,0.032,0.414
p118,0.001,0.336,0.391,0.041,0.0,0.296,0.331,0.011,0.0,0.234,0.293,0.004,0.0,0.331,0.38,0.03,0.376
p119,0.002,0.344,0.372,0.038,0.0,0.274,0.269,0.007,0.0,0.19,0.208,0.002,0.001,0.329,0.346,0.025,0.317
p12,0.006,0.502,0.457,0.033,0.0,0.458,0.36,0.005,0.0,0.297,0.25,0.001,0.003,0.476,0.422,0.019,0.377
p120,0.002,0.351,0.38,0.038,0.0,0.28,0.281,0.007,0.0,0.208,0.224,0.002,0.001,0.33,0.366,0.026,0.316
p121,0.002,0.362,0.36,0.036,0.0,0.301,0.275,0.007,0.0,0.226,0.228,0.002,0.001,0.338,0.338,0.026,0.311
p122,0.003,0.367,0.344,0.032,0.0,0.305,0.255,0.005,0.0,0.226,0.208,0.001,0.002,0.35,0.329,0.021,0.321
p123,0.002,0.376,0.357,0.032,0.0,0.312,0.271,0.006,0.0,0.236,0.231,0.001,0.001,0.356,0.345,0.022,0.345
p124,0.002,0.353,0.427,0.038,0.0,0.301,0.326,0.006,0.0,0.216,0.258,0.001,0.001,0.337,0.405,0.026,0.418
p125,0.003,0.371,0.341,0.032,0.0,0.317,0.264,0.005,0.0,0.246,0.22,0.001,0.002,0.368,0.343,0.022,0.369
p126,0.003,0.368,0.339,0.029,0.0,0.314,0.256,0.004,0.0,0.232,0.203,0.0,0.002,0.354,0.329,0.018,0.349
p127,0.004,0.365,0.349,0.034,0.0,0.287,0.244,0.005,0.0,0.191,0.177,0.001,0.002,0.344,0.325,0.022,0.334
p128,0.004,0.375,0.332,0.03,0.0,0.317,0.24,0.004,0.0,0.218,0.167,0.0,0.002,0.36,0.309,0.018,0.333
p129,0.006,0.368,0.321,0.029,0.0,0.288,0.224,0.003,0.0,0.197,0.155,0.0,0.003,0.355,0.305,0.017,0.343
p13,0.004,0.489,0.441,0.02,0.0,0.462,0.353,0.002,0.0,0.359,0.28,0.0,0.003,0.505,0.438,0.011,0.381
p130,0.007,0.391,0.284,0.024,0.001,0.323,0.198,0.002,0.0,0.232,0.15,0.0,0.004,0.383,0.27,0.014,0.289
p131,0.006,0.378,0.322,0.025,0.0,0.321,0.227,0.002,0.0,0.234,0.174,0.0,0.003,0.37,0.3,0.014,0.323
p132,0.005,0.362,0.323,0.03,0.0,0.301,0.237,0.004,0.0,0.224,0.183,0.0,0.003,0.346,0.306,0.018,0.325
p133,0.006,0.389,0.31,0.024,0.0,0.322,0.214,0.002,0.0,0.229,0.162,0.0,0.004,0.37,0.285,0.013,0.302
p134,0.008,0.372,0.309,0.026,0.001,0.318,0.223,0.002,0.0,0.228,0.163,0.0,0.005,0.366,0.298,0.014,0.36
p14,0.007,0.447,0.414,0.028,0.0,0.357,0.268,0.002,0.0,0.19,0.156,0.0,0.003,0.377,0.335,0.014,0.392
p15,0.002,0.417,0.538,0.07,0.0,0.357,0.44,0.02,0.0,0.187,0.259,0.005,0.0,0.368,0.471,0.048,0.452
p16,0.003,0.435,0.494,0.06,0.0,0.363,0.403,0.014,0.0,0.172,0.209,0.003,0.001,0.375,0.43,0.042,0.471
p17,0.004,0.399,0.452,0.066,0.0,0.307,0.327,0.013,0.0,0.172,0.202,0.003,0.001,0.336,0.375,0.043,0.384
p18,0.003,0.418,0.44,0.053,0.0,0.308,0.316,0.008,0.0,0.178,0.192,0.001,0.001,0.354,0.383,0.033,0.443
p19,0.006,0.428,0.401,0.043,0.0,0.332,0.271,0.005,0.0,0.18,0.138,0.0,0.003,0.391,0.347,0.025,0.446
p2,0.006,0.409,0.435,0.047,0.0,0.314,0.285,0.006,0.0,0.15,0.144,0.0,0.002,0.345,0.344,0.025,0.421
p20,0.005,0.428,0.408,0.045,0.0,0.326,0.284,0.007,0.0,0.202,0.179,0.001,0.002,0.367,0.352,0.029,0.409
p21,0.006,0.433,0.436,0.047,0.0,0.388,0.384,0.01,0.0,0.25,0.264,0.002,0.002,0.407,0.438,0.034,0.401
p22,0.007,0.439,0.376,0.043,0.0,0.359,0.266,0.007,0.0,0.225,0.19,0.001,0.004,0.392,0.337,0.028,0.372
p23,0.007,0.472,0.391,0.032,0.0,0.379,0.282,0.004,0.0,0.231,0.186,0.0,0.003,0.423,0.346,0.02,0.328
p24,0.008,0.48,0.351,0.033,0.0,0.408,0.275,0.006,0.0,0.257,0.212,0.001,0.004,0.429,0.333,0.022,0.291
p25,0.002,0.416,0.497,0.058,0.0,0.357,0.409,0.015,0.0,0.218,0.274,0.004,0.001,0.382,0.465,0.041,0.46
