rs,rb,st,rto,interconnect,country,cendiv
s1,p2,wa,rto1,wscc,usa,PA
s2,p1,wa,rto1,wscc,usa,PA
s3,p1,wa,rto1,wscc,usa,PA
s4,p1,wa,rto1,wscc,usa,PA
s5,p2,wa,rto1,wscc,usa,PA
s6,p3,wa,rto1,wscc,usa,PA
s7,p4,wa,rto1,wscc,usa,PA
s8,p3,wa,rto1,wscc,usa,PA
s9,p2,wa,rto1,wscc,usa,PA
s10,p5,or,rto1,wscc,usa,PA
s11,p5,or,rto1,wscc,usa,PA
s12,p5,or,rto1,wscc,usa,PA
s14,p6,or,rto1,wscc,usa,PA
s15,p6,or,rto1,wscc,usa,PA
s16,p5,or,rto1,wscc,usa,PA
s17,p5,or,rto1,wscc,usa,PA
s18,p7,or,rto1,wscc,usa,PA
s19,p7,or,rto1,wscc,usa,PA
s20,p9,ca,rto4,wscc,usa,PA
s21,p8,ca,rto2,wscc,usa,PA
s22,p9,ca,rto4,wscc,usa,PA
s23,p9,ca,rto4,wscc,usa,PA
s24,p9,ca,rto4,wscc,usa,PA
s25,p9,ca,rto4,wscc,usa,PA
s26,p9,ca,rto4,wscc,usa,PA
s27,p9,ca,rto4,wscc,usa,PA
s28,p10,ca,rto4,wscc,usa,PA
s29,p9,ca,rto4,wscc,usa,PA
s30,p10,ca,rto4,wscc,usa,PA
s31,p10,ca,rto4,wscc,usa,PA
s32,p11,ca,rto4,wscc,usa,PA
s33,p10,ca,rto4,wscc,usa,PA
s34,p12,nv,rto2,wscc,usa,MTN
s35,p12,nv,rto2,wscc,usa,MTN
s36,p12,nv,rto2,wscc,usa,MTN
s37,p12,nv,rto2,wscc,usa,MTN
s38,p12,nv,rto2,wscc,usa,MTN
s39,p12,nv,rto2,wscc,usa,MTN
s40,p13,nv,rto3,wscc,usa,MTN
s41,p14,id,rto1,wscc,usa,MTN
s42,p15,id,rto1,wscc,usa,MTN
s43,p15,id,rto1,wscc,usa,MTN
s44,p15,id,rto1,wscc,usa,MTN
s45,p15,id,rto1,wscc,usa,MTN
s46,p16,id,rto1,wscc,usa,MTN
s47,p16,id,rto1,wscc,usa,MTN
s48,p25,ut,rto2,wscc,usa,MTN
s49,p25,ut,rto2,wscc,usa,MTN
s50,p26,ut,rto2,wscc,usa,MTN
s51,p25,ut,rto2,wscc,usa,MTN
s52,p25,ut,rto2,wscc,usa,MTN
s53,p27,az,rto3,wscc,usa,MTN
s54,p28,az,rto3,wscc,usa,MTN
