tech,ctt,wst
coal-CCS_mod_o_fsu,o,fsu
coal-CCS_mod_o_fsa,o,fsa
coal-CCS_mod_o_fsl,o,fsl
coal-CCS_mod_o_fg,o,fg
coal-CCS_mod_o_sg,o,sg
coal-CCS_mod_o_ss,o,ss
coal-CCS_mod_o_ww,o,ww
coal-CCS_mod_r_fsu,r,fsu
coal-CCS_mod_r_fsa,r,fsa
coal-CCS_mod_r_fsl,r,fsl
coal-CCS_mod_r_fg,r,fg
coal-CCS_mod_r_sg,r,sg
coal-CCS_mod_r_ss,r,ss
coal-CCS_mod_r_ww,r,ww
coal-CCS_mod_p_fsu,p,fsu
coal-CCS_mod_p_fsa,p,fsa
coal-CCS_mod_p_fsl,p,fsl
coal-CCS_mod_p_fg,p,fg
coal-CCS_mod_p_sg,p,sg
coal-CCS_mod_p_ss,p,ss
coal-CCS_mod_p_ww,p,ww
coal-CCS_mod_d_fsu,d,fsu
coal-CCS_mod_d_fsa,d,fsa
coal-CCS_mod_d_fsl,d,fsl
coal-CCS_mod_d_fg,d,fg
coal-CCS_mod_d_sg,d,sg
coal-CCS_mod_d_ss,d,ss
coal-CCS_mod_d_ww,d,ww
coal-CCS_max_o_fsu,o,fsu
coal-CCS_max_o_fsa,o,fsa
coal-CCS_max_o_fsl,o,fsl
coal-CCS_max_o_fg,o,fg
coal-CCS_max_o_sg,o,sg
coal-CCS_max_o_ss,o,ss
coal-CCS_max_o_ww,o,ww
coal-CCS_max_r_fsu,r,fsu
coal-CCS_max_r_fsa,r,fsa
coal-CCS_max_r_fsl,r,fsl
coal-CCS_max_r_fg,r,fg
coal-CCS_max_r_sg,r,sg
coal-CCS_max_r_ss,r,ss
coal-CCS_max_r_ww,r,ww
coal-CCS_max_p_fsu,p,fsu
coal-CCS_max_p_fsa,p,fsa
coal-CCS_max_p_fsl,p,fsl
coal-CCS_max_p_fg,p,fg
coal-CCS_max_p_sg,p,sg
coal-CCS_max_p_ss,p,ss
coal-CCS_max_p_ww,p,ww
coal-CCS_max_d_fsu,d,fsu
coal-CCS_max_d_fsa,d,fsa
coal-CCS_max_d_fsl,d,fsl
coal-CCS_max_d_fg,d,fg
coal-CCS_max_d_sg,d,sg
coal-CCS_max_d_ss,d,ss
coal-CCS_max_d_ww,d,ww
coal-CCS-F1_o_fsu,o,fsu
coal-CCS-F1_o_fsa,o,fsa
coal-CCS-F1_o_fsl,o,fsl
coal-CCS-F1_o_fg,o,fg
coal-CCS-F1_o_sg,o,sg
coal-CCS-F1_o_ss,o,ss
coal-CCS-F1_o_ww,o,ww
coal-CCS-F1_r_fsu,r,fsu
coal-CCS-F1_r_fsa,r,fsa
coal-CCS-F1_r_fsl,r,fsl
coal-CCS-F1_r_fg,r,fg
coal-CCS-F1_r_sg,r,sg
coal-CCS-F1_r_ss,r,ss
coal-CCS-F1_r_ww,r,ww
coal-CCS-F1_p_fsu,p,fsu
coal-CCS-F1_p_fsa,p,fsa
coal-CCS-F1_p_fsl,p,fsl
coal-CCS-F1_p_fg,p,fg
coal-CCS-F1_p_sg,p,sg
coal-CCS-F1_p_ss,p,ss
coal-CCS-F1_p_ww,p,ww
coal-CCS-F1_d_fsu,d,fsu
coal-CCS-F1_d_fsa,d,fsa
coal-CCS-F1_d_fsl,d,fsl
coal-CCS-F1_d_fg,d,fg
coal-CCS-F1_d_sg,d,sg
coal-CCS-F1_d_ss,d,ss
coal-CCS-F1_d_ww,d,ww
coal-CCS-F2_o_fsu,o,fsu
coal-CCS-F2_o_fsa,o,fsa
coal-CCS-F2_o_fsl,o,fsl
coal-CCS-F2_o_fg,o,fg
coal-CCS-F2_o_sg,o,sg
coal-CCS-F2_o_ss,o,ss
coal-CCS-F2_o_ww,o,ww
coal-CCS-F2_r_fsu,r,fsu
coal-CCS-F2_r_fsa,r,fsa
coal-CCS-F2_r_fsl,r,fsl
coal-CCS-F2_r_fg,r,fg
coal-CCS-F2_r_sg,r,sg
coal-CCS-F2_r_ss,r,ss
coal-CCS-F2_r_ww,r,ww
coal-CCS-F2_p_fsu,p,fsu
coal-CCS-F2_p_fsa,p,fsa
coal-CCS-F2_p_fsl,p,fsl
coal-CCS-F2_p_fg,p,fg
coal-CCS-F2_p_sg,p,sg
coal-CCS-F2_p_ss,p,ss
coal-CCS-F2_p_ww,p,ww
coal-CCS-F2_d_fsu,d,fsu
coal-CCS-F2_d_fsa,d,fsa
coal-CCS-F2_d_fsl,d,fsl
coal-CCS-F2_d_fg,d,fg
coal-CCS-F2_d_sg,d,sg
coal-CCS-F2_d_ss,d,ss
coal-CCS-F2_d_ww,d,ww
coal-CCS-F3_o_fsu,o,fsu
coal-CCS-F3_o_fsa,o,fsa
coal-CCS-F3_o_fsl,o,fsl
coal-CCS-F3_o_fg,o,fg
coal-CCS-F3_o_sg,o,sg
coal-CCS-F3_o_ss,o,ss
coal-CCS-F3_o_ww,o,ww
coal-CCS-F3_r_fsu,r,fsu
coal-CCS-F3_r_fsa,r,fsa
