order,color
fresh groundwater,#00B6EF
fresh surface water that is appropriated,#52216B
fresh surface water that is unappropriated,#5B9844
fresh surface lake,#106BA7
brackish or saline groundwater,#222222
saline surface water,#820000
wastewater effluent,#C2A1DB
