order,color
AC (initial),#98DF8A
B2B,#9467BD
"DC, LCC (initial)",#FFBB78
AC,#2CA02C
"DC, LCC",#FF7F0E
"DC, VSC",#D62728
Spur,#8C564B
Reinforcement,#8C1C04
