order,color
nuclear,#820000
nuclear-smr,#D40000
nuclear-nsp,#820000
coal,#000000
coal-ccs-nsp,#666666
coal-ccs-flex,#666666
coal-ccs_mod,#666666
coal-ccs_mod_upgrade,#666666
coal-ccs_max,#c6c8ce
coal-ccs_max_upgrade,#c6c8ce
cofire,#66C238
gas-cc,#5E1688
gas-cc-nsp,#52216B
gas-cc-ccs_mod,#9467BD
gas-cc-ccs_max,#70298D
gas-cc-ccs-flex,#9824DB
gas-cc-ccs_mod_upgrade,#9467BD
gas-cc-ccs_max_upgrade,#70298D
gas-ct,#C2A1DB
gas-ct-nsp,#C2A1DB
o-g-s,#3D3376
hydro,#187F94
geothermal,#A96235
biopower,#5B9844
beccs_mod,#66C238
beccs_max,#99F56B
lfill-gas,#88BA41
re-cc,#708238
h2-cc,#708238
re-cc_upgrade,#4B5320
h2-cc_upgrade,#4B5320
re-ct,#A8C839
h2-ct,#A8C839
re-ct_upgrade,#66C238
h2-ct_upgrade,#66C238
wind-ons,#00B6EF
wind-ofs,#106BA7
csp,#FC761A
upv,#FFC903
dupv,#FFAB02
distpv,#FEE603
caes,#FF4741
pvb,#D1C202
battery,#FF4A88
battery_2,#FF7F9D
battery_4,#FF6882
battery_6,#DF5282
battery_8,#CC015C
battery_10,#9B014F
dr,#B9CBF5
storage-h2,#FF7FBB
pumped-hydro,#CC0079
pumped-hydro-flex,#CC0079
Canada,#193A71
smr,#D49E2E
smr-ccs,#5F522D
electrolyzer,#896F2D
Other,#ff69b4
