order,color
input_processing/calc_financial_inputs.py,#393B79
input_processing/fuelcostprep.py,#5254A3
input_processing/writecapdat.py,#6B6ECF
input_processing/writesupplycurves.py,#9C9EDE
input_processing/writeload.py,#637939
input_processing/cfgather.py,#8CA252
input_processing/writedrshift.py,#B5CF6B
input_processing/plantcostprep.py,#CEDB9C
input_processing/all_year_load.py,#8C6D31
input_processing/climateprep.py,#BD9E39
input_processing/ldc_prep.py,#E7BA52
input_processing/forecast.py,#E7CB94
input_processing/writehintage.py,#7B4173
input_processing/transmission_multilink.py,#A55194
input_processing/hourly_process.py,#CE6DBD
input_processing/aggregate_regions.py,#DE9ED6
createmodel.gms,#843C39
d_solveoneyear.gms,#AD494A
reeds_augur/a_prep_data.py,#3182BD
reeds_augur/b1_osprey.gms,#6BAED6
reeds_augur/b2_gdx_dump.gms,#9ECAE1
reeds_augur/c1_existing_curtailment.py,#C6DBEF
reeds_augur/c2_marginal_curtailment.py,#E6550D
reeds_augur/d_condor.py,#FD8D3C
reeds_augur/e_capacity_credit.py,#FDAE6B
reeds_augur/f_plots.py,#FDD0A2
e_report.gms,#31A354
e_report_dump.gms,#74C476
retail_rate_calculations.py,#A1D99B
pickle_jar,#C7E9C0
