cost_cat,type
cap_trade_export_cost,Operation
cap_trade_import_cost,Operation
energy_trade_export_cost,Operation
energy_trade_import_cost,Operation
inv_co2_network_pipe,Capital
inv_co2_network_spur,Capital
inv_consume_capacity_costs,Capital
inv_converter_costs,Capital
inv_geothermal_investment,Capital
inv_h2_network,Capital
inv_investment_capacity_costs,Capital
inv_investment_refurbishment_capacity,Capital
inv_investment_spurline_costs_rsc_technologies,Capital
inv_investment_water_access,Capital
inv_itc_payments_negative_refurbishments,Capital
inv_itc_payments_negative,Capital
inv_pumpedhydro_investment,Capital
inv_spurline_investment,Capital
inv_substation_investment_costs,Capital
inv_transmission_intrazone_investment,Capital
inv_transmission_line_investment,Capital
op_acp_compliance_costs,Operation
op_co2_incentive_negative,Operation
op_co2_network_fom_pipe,Operation
op_co2_network_fom_spur,Operation
op_co2_storage,Operation
op_co2_transport_storage,Operation
op_consume_fom,O&M
op_consume_vom,O&M
op_emissions_taxes,Operation
op_fom_costs,Operation
op_fuelcosts_objfn,Operation
op_gen_pol_costs,Operation
op_h2_fuel_costs,Operation
op_h2_revenue_exog,Operation
op_h2_transport_storage,Operation
op_h2_vom,Operation
op_operating_reserve_costs,Operation
op_ptc_payments_negative,Operation
op_rect_fuel_costs,Operation
op_spurline_fom,Operation
op_transmission_fom,Operation
op_transmission_hurdle_rate,Operation
op_transmission_intrazone_fom,Operation
op_vom_costs,Operation
