raw,display,cost_type
cap_trade_export_cost,Capacity Export,Operation
cap_trade_import_cost,Capacity Import,Operation
energy_trade_export_cost,Energy Export,Operation
energy_trade_import_cost,Energy Import,Operation
inv_co2_network_pipe,CO2 T&S Capex,Capital
inv_co2_network_spur,CO2 T&S Capex,Capital
inv_converter_costs,Transmission Capex,Capital
inv_dac,DAC Capex,Capital
inv_geothermal_investment,Gen & Stor Capex,Capital
inv_h2_pipeline,H2 Prod Capex,Capital
inv_h2_production,H2 Prod Capex,Capital
inv_h2_storage,H2 Prod Capex,Capital
inv_investment_capacity_costs,Gen & Stor Capex,Capital
inv_investment_refurbishment_capacity,Gen & Stor Capex,Capital
inv_investment_spurline_costs_rsc_technologies,Interconnection Capex,Capital
inv_investment_water_access,Gen & Stor Capex,Capital
inv_itc_payments_negative_refurbishments,ITC,Capital
inv_itc_payments_negative,ITC,Capital
inv_pumpedhydro_investment,Gen & Stor Capex,Capital
inv_spurline_investment,Interconnection Capex,Capital
inv_transmission_intrazone_investment,Interconnection Capex,Capital
inv_transmission_line_investment,Transmission Capex,Capital
inv_transmission_interzone_ac_investment,Transmission Capex,Capital
inv_transmission_interzone_dc_investment,Transmission Capex,Capital
op_acp_compliance_costs,ACP,Operation
op_co2_incentive_negative,CCS Incentives,Operation
op_co2_network_fom_pipe,CO2 T&S O&M,Operation
op_co2_network_fom_spur,CO2 T&S O&M,Operation
op_co2_storage,CO2 T&S Capex,Operation
op_co2_transport_storage,CO2 T&S Capex,Operation
op_consume_fom,Gen & Stor O&M,Operation
op_consume_vom,Gen & Stor O&M,Operation
op_emissions_taxes,Emissions Tax,Operation
op_fom_costs,Gen & Stor O&M,Operation
op_fuelcosts_objfn,Fuel,Operation
op_gen_pol_costs,ACP,Operation
op_h2_fuel_costs,H2 Prod O&M,Operation
op_h2_revenue_exog,H2 Revenue,Operation
op_h2_storage,H2 Prod O&M,Operation
op_h2_transport,H2 Prod O&M,Operation
op_h2_transport_intrareg,H2 Prod O&M,Operation
op_h2_vom,H2 Prod O&M,Operation
op_h2_ptc_payments_negative,H2 PTC,Operation
op_operating_reserve_costs,Gen & Stor O&M,Operation
op_ptc_payments_negative,PTC,Operation
op_rect_fuel_costs,Fuel,Operation
op_spurline_fom,Interconnection O&M,Operation
op_startcost,Gen & Stor O&M,Operation
op_transmission_fom,Transmission O&M,Operation
op_transmission_intrazone_fom,Transmission O&M,Operation
op_vom_costs,Gen & Stor O&M,Operation
