s,p,rto,census_region,state,interconnect,country,custreg,cc_reg
s96,p35,rto11,WNC,MT,eastern,usa,MT,cc7
s97,p36,rto11,WNC,ND,eastern,usa,ND,cc7
s98,p36,rto11,WNC,ND,eastern,usa,ND,cc7
s99,p37,rto11,WNC,ND,eastern,usa,ND,cc7
s100,p36,rto11,WNC,ND,eastern,usa,ND,cc7
s101,p36,rto11,WNC,ND,eastern,usa,ND,cc7
s102,p37,rto11,WNC,ND,eastern,usa,ND,cc7
s103,p37,rto11,WNC,ND,eastern,usa,ND,cc7
s104,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s105,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s106,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s107,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s108,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s109,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s110,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s111,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s112,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s113,p38,rto11,WNC,SD,eastern,usa,SD,cc7
s114,p39,rto8,WNC,NE,eastern,usa,NE,cc8
s115,p39,rto8,WNC,NE,eastern,usa,NE,cc8
s116,p40,rto8,WNC,NE,eastern,usa,NE,cc8
s117,p40,rto8,WNC,NE,eastern,usa,NE,cc8
s118,p40,rto8,WNC,NE,eastern,usa,NE,cc8
s119,p41,rto8,WNC,NE,eastern,usa,NE,cc8
s120,p42,rto11,WNC,MN,eastern,usa,MN,cc7
s121,p43,rto11,WNC,MN,eastern,usa,MN,cc7
s122,p44,rto11,WNC,MN,eastern,usa,MN,cc7
s123,p44,rto11,WNC,MN,eastern,usa,MN,cc7
s124,p43,rto11,WNC,MN,eastern,usa,MN,cc7
s125,p43,rto11,WNC,MN,eastern,usa,MN,cc7
s126,p43,rto11,WNC,MN,eastern,usa,MN,cc7
s127,p43,rto11,WNC,MN,eastern,usa,MN,cc7
s128,p43,rto11,WNC,MN,eastern,usa,MN,cc7
s129,p46,rto11,ENC,WI,eastern,usa,WI,cc7
s130,p46,rto11,ENC,WI,eastern,usa,WI,cc7
s131,p46,rto11,ENC,WI,eastern,usa,WI,cc7
s132,p45,rto6,WNC,IA,eastern,usa,IA,cc9
s133,p69,rto6,WNC,IA,eastern,usa,IA,cc9
s134,p45,rto6,WNC,IA,eastern,usa,IA,cc9
s135,p52,rto8,WNC,KS,eastern,usa,KS,cc8
s136,p53,rto8,WNC,KS,eastern,usa,KS,cc8
s137,p53,rto8,WNC,KS,eastern,usa,KS,cc8
s138,p53,rto8,WNC,KS,eastern,usa,KS,cc8
s139,p53,rto8,WNC,KS,eastern,usa,KS,cc8
s140,p53,rto8,WNC,KS,eastern,usa,KS,cc8
s141,p53,rto8,WNC,KS,eastern,usa,KS,cc8
s142,p53,rto8,WNC,KS,eastern,usa,KS,cc8
s143,p53,rto8,WNC,KS,eastern,usa,KS,cc8
s144,p54,rto8,WNC,MO,eastern,usa,MO,cc8
s145,p54,rto8,WNC,MO,eastern,usa,MO,cc8
s146,p55,rto8,WNC,MO,eastern,usa,MO,cc8
s147,p55,rto8,WNC,MO,eastern,usa,MO,cc8
s148,p47,rto8,WSC,NM,eastern,usa,NM,cc8
s149,p48,rto8,WSC,TX,eastern,usa,TX,cc8
s150,p48,rto8,WSC,TX,eastern,usa,TX,cc8
s151,p57,rto8,WSC,TX,eastern,usa,TX,cc8
s152,p49,rto8,WSC,OK,eastern,usa,OK,cc8
s153,p50,rto8,WSC,OK,eastern,usa,OK,cc8
s154,p50,rto8,WSC,OK,eastern,usa,OK,cc8
s155,p50,rto8,WSC,OK,eastern,usa,OK,cc8
s156,p50,rto8,WSC,OK,eastern,usa,OK,cc8
s157,p51,rto8,WSC,OK,eastern,usa,OK,cc8
s158,p50,rto8,WSC,OK,eastern,usa,OK,cc8
s159,p56,rto8,WSC,AR,eastern,usa,AR,cc8
s160,p56,rto8,WSC,AR,eastern,usa,AR,cc8
s161,p58,rto13,WSC,LA,eastern,usa,LA,cc10
s162,p58,rto13,WSC,LA,eastern,usa,LA,cc10
s176,p68,rto11,WNC,MN,eastern,usa,MN,cc7
s177,p69,rto6,WNC,IA,eastern,usa,IA,cc9
s178,p70,rto6,WNC,IA,eastern,usa,IA,cc9
s179,p70,rto6,WNC,IA,eastern,usa,IA,cc9
s180,p70,rto6,WNC,IA,eastern,usa,IA,cc9
