s,p,rto,census_region,state,interconnect,country,custreg,cc_reg
s163,p61,rto10,WSC,TX,texas,usa,TX,cc6
s164,p62,rto10,WSC,TX,texas,usa,TX,cc6
s165,p60,rto10,WSC,TX,texas,usa,TX,cc6
s166,p61,rto10,WSC,TX,texas,usa,TX,cc6
s167,p63,rto10,WSC,TX,texas,usa,TX,cc6
s168,p63,rto10,WSC,TX,texas,usa,TX,cc6
s169,p63,rto10,WSC,TX,texas,usa,TX,cc6
s170,p63,rto10,WSC,TX,texas,usa,TX,cc6
s171,p64,rto10,WSC,TX,texas,usa,TX,cc6
s172,p65,rto10,WSC,TX,texas,usa,TX,cc6
s173,p65,rto10,WSC,TX,texas,usa,TX,cc6
s174,p65,rto10,WSC,TX,texas,usa,TX,cc6
s175,p67,rto10,WSC,TX,texas,usa,TX,cc6
