column_name,column_value,color
class,class_1,#1f77b4
class,class_2,#ff7f0e
class,class_3,#2ca02c
class,class_4,#d62728
class,class_5,#9467bd
class,class_6,#8c564b
class,class_7,#e377c2
class,class_8,#7f7f7f
class,class_9,#bcbd22
class,class_10,#17becf
class,class_11,#aec7e8
class,class_12,#ffbb78
class,class_13,#98df8a
class,class_14,#ff9896
class,class_15,#c5b0d5
class,class_16,#c49c94
class,class_17,#f7b6d2
class,class_18,#c7c7c7
class,class_19,#dbdb8d
class,class_20,#9edae5
con_adj,Capital,#1f77b4
con_adj,Fixed O&M,#ff7f0e
con_adj,Variable O&M and Fuel,#2ca02c
con_adj,NG Fuel,#d62728
con_adj,Bio Fuel,#9467bd
con_adj,Supply Curve,#8c564b
con_adj,Energy,#e377c2
con_adj,Reserve Margin,#7f7f7f
con_adj,Operating Reserves,#bcbd22
con_adj,Curtailment Caused,#17becf
con_adj,Curtailment Realized,#aec7e8
con_adj,National RPS,#ffbb78
con_adj,State RPS,#98df8a
con_adj,Emissions,#ff9896
con_adj,CO2 Capture and Storage,#c5b0d5
con_adj,"invsubstation, eq_objfn_inv",#c5b0d5
con_adj,"invtran, eq_objfn_inv",#c49c94
con_adj,eq_ab32_cap,#f7b6d2
con_adj,eq_batterymandate,#c7c7c7
con_adj,eq_cap_new_noret,#dbdb8d
con_adj,eq_capacity_limit,#9edae5
con_adj,eq_captran,#1f77b4
con_adj,eq_csapr_assurance,#ff7f0e
con_adj,eq_csapr_budget,#2ca02c
con_adj,eq_dhyd_dispatch,#d62728
con_adj,eq_forceprescription,#9467bd
con_adj,eq_growthlimit_relative,#8c564b
con_adj,eq_invtran_vclimit,#e377c2
con_adj,eq_minloading,#7f7f7f
con_adj,eq_orcap,#bcbd22
con_adj,eq_prmtradelimit,#17becf
con_adj,eq_rec_bundlelimit,#aec7e8
con_adj,eq_rec_launder,#ffbb78
con_adj,eq_refurblim,#98df8a
con_adj,eq_rsc_inv_account,#ff9896
con_adj,eq_rsc_invlim,#c5b0d5
con_adj,eq_storage_capacity,#c49c94
con_adj,eq_storage_duration,#f7b6d2
con_adj,eq_storage_level,#c7c7c7
con_adj,eq_storage_in_min,#dbdb8d
con_adj,eq_storage_in_max,#9edae5
con_adj,eq_substationaccounting,#1f77b4
con_adj,eq_transmission_limit,#ff7f0e
con_adj,kW,#2ca02c
con_adj,MWh,#d62728
con_adj,Other,#9467bd
cost_cat,capacity,#1f77b4
cost_cat,ITC,#ff7f0e
cost_cat,H2 Revenue,#98DF8A
cost_cat,operating_reserves,#bcbd22
cost_cat,variable_O&M,#2ca02c
cost_cat,fuel,#9467bd
cost_cat,transmission,#636363
cost_cat,substations,#ffc903
cost_cat,fixed_O&M,#ff7f0e
cost_cat,Emissions Tax,#e377c2
cost_cat,ACP,#BCBD22
cost_cat,Capacity Import,#8ba4b3
cost_cat,Capacity Export,#749eb8
cost_cat,Energy Import,#1978b0
cost_cat,Energy Export,#0B364F
cost_cat,CO2 Capture,#66C238
cost_cat,H2 Stor & Trans,#FF7FBB
cost_cat,H2 Fuel,#FFC903
cost_cat,H2 Network,#009E73
cost_cat,H2 VOM,#E69F00
cost_cat,CO2 Network,#1261A0
cost_cat,CO2 Storage,#3895D3
cost_cat,CO2 FOM,#58CCED
cost_cat,Other,#000000
ctt,once through,#820000
ctt,recirculating,#5B9844
ctt,dry cooled,#C2A1DB
ctt,pond cooled,#00B6EF
ctt,no cooling,#FF7F9D
m,Summer 10pm-6am,#1f77b4
