,core,OR0,SC0,OR0_d25,OR0_d20,OR0_LCGBN0,OR0_y5,OR0_agg69,OR0_agg69_d25,OR0_agg69_d20,OR0_agg69_LCGBN0,OR0_agg69_y5,OR0_agg54,OR0_agg54_d25,OR0_agg54_d20,OR0_agg54_LCGBN0,OR0_agg54_y5
ignore,,,,,,,,,,,,,,,,,
GSw_OpRes,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSw_StartCost,,,0,,,,,,,,,,,,,,
GSw_RegionResolution,,,,,,,,aggreg,aggreg,aggreg,aggreg,aggreg,aggreg,aggreg,aggreg,aggreg,aggreg
GSw_HierarchyFile,,,,,,,,agg69,agg69,agg69,agg69,agg69,agg54,agg54,agg54,agg54,agg54
GSw_TransSquiggliness,,,,,,,,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
GSw_HourlyNumClusters,,,,25,20,,,,25,20,,,,25,20,,
GSw_LfillGas,,,,,,0,,,,,0,,,,,0,
GSw_CSP,,,,,,0,,,,,0,,,,,0,
GSw_Geothermal,,,,,,0,,,,,0,,,,,0,
GSw_Biopower,,,,,,0,,,,,0,,,,,0,
GSw_Nuclear,,,,,,0,,,,,0,,,,,0,
yearset_suffix,,,,,,,5yr,,,,,5yr,,,,,5yr
