,ERCOT_BA_zc0,ERCOT_BA_cc1,ERCOT_BA_mc2,ERCOT_BA_ac3,ERCOT_BA_cm4,ERCOT_BA_mm5,ERCOT_BA_am6,ERCOT_BA_ca7,ERCOT_BA_ma8,ERCOT_BA_aa9,USA_BA_zc0,USA_BA_cc1,USA_BA_mc2,USA_BA_ac3,USA_BA_cm4,USA_BA_mm5,USA_BA_am6,USA_BA_ca7,USA_BA_ma8,USA_BA_aa9
ignore,,,,,,,,,,,,,,,,,,,,
endyear,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
GSw_Region,ercot,ercot,ercot,ercot,ercot,ercot,ercot,ercot,ercot,ercot,,,,,,,,,,
GSw_RegionResolution,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba,ba
GSw_gopt,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GSw_GasCurve,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GSw_AnnualCap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_AnnualCapScen,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035,start2023_100pct2035
GSw_Storage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_H2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GSw_H2CT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_H2_SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSw_H2_CompressorLoad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_H2_Transport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_H2_Inputs,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced
h2ctscen,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced
h2tsscen,h2-ts_zero,h2-ts_conservative,h2-ts_moderate,h2-ts_advanced,h2-ts_conservative,h2-ts_moderate,h2-ts_advanced,h2-ts_conservative,h2-ts_moderate,h2-ts_advanced,h2-ts_zero,h2-ts_conservative,h2-ts_moderate,h2-ts_advanced,h2-ts_conservative,h2-ts_moderate,h2-ts_advanced,h2-ts_conservative,h2-ts_moderate,h2-ts_advanced
batteryscen,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced
