,Utah_county,utah_mixed,Western_BA_opgw1,Western_BA_opgw2,Western_BA_opgw3,Utah_county_add_DC_load,Utah_ba_add_DC_load,Utah_mixed_add_DC_load,Utah_mixed_IRP_builds,Utah_mixed_add_DC_load_IRP_builds
ignore,1,1,1,1,1,1,1,1,1,1
endyear,2030,2026,2040,2030,2030,,2029,,,
GSw_Region,st/UT,WECC_aggreg_UT_county,western,western,western,st/UT,st/UT,WECC_aggreg_UT_county,WECC_aggreg_UT_county,WECC_aggreg_UT_county
GSw_RegionResolution,county,mixed,ba,ba,ba,county,,mixed,mixed,mixed
GSw_GasCurve,2,2,2,2,2,2,2,2,2,2
GSw_HierarchyFile,,,,,,,,,,
GSw_OPGW,0,0,1,2,3,,,,,
GSw_OPGW_load_mult,,,,2,2,,,,,
GSw_BuildRequirements,,,,,,,,,1,1
GSw_BuildRequirementsFile,,,,,,,,,pacificorp25,pacificorp25
GSw_LargeLoadAdd,,,,,,test,add3,add3,,add3
