case,Description,Default Value,Mid_Case_NoNascent,Mid_Case,Mid_Case_RefLoad,No_IRA,Low_NG_Price,High_NG_Price,Low_RE_Cost,High_RE_Cost,Low_AllClean_Cost,High_AllClean_Cost,Constrained,LII,HII,REF_Mid_Case_NoNascent,REF_Mid_Case,REF_Mid_Case_RefLoad,REF_Low_NG_Price,REF_High_NG_Price,REF_Low_RE_Cost,REF_High_RE_Cost,REF_Low_AllClean_Cost,REF_High_AllClean_Cost,REF_Constrained,REF_Mid_Case_StretchLoad
GSw_CCS,Turn on/off all CCS,0,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
GSw_CO2_Detail,Switch to enable detailed representation CO2 transportation and storage,0,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
GSw_MaxCaptureCCSTechs,Switch to enable max capture (_max) CCS techs in addition to _mod. Note that you’ll need to add your own cost and performance for Gas-CC-CCS_max and coal-CCS_max,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_DAC,"Turn on or off the representation of direct air capture [0 = off, 1 = BAU, 2 = conservative, 3 = BVRE projection specified with dacscen]",0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_DAC_Gas,"Turn on or off the representation of gas fueled direct air capture [0 = off, 1 = BVRE projection specified with GSw_DAC_Gas_Case]",0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_EFS_Flex,Switch for turning EFS load flexibility on or off,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_EFS1_AllYearLoad,"Switch to choose EFS profiles - e.g. historic, EPREFERENCE, EPMEDIUM, EPHIGH",EPMEDIUMStretch2046,,,historic,historic,,,,,,,,,,historic,historic,historic,historic,historic,historic,historic,historic,historic,historic,EPMEDIUMStretch2046
GSw_EFS2_FlexCase,"Case used for EFS flex_type - format is {1}_{2}, where 1 in [EPREFERENCE, EPMEDIUM, EPHIGH] and 2 in [Baseflex, Currentflex, Enhancedflex]",EPMEDIUM_EnhancedflexStretch2046,,,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,,,,,,,,,,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPREFERENCE_Baseflex,EPMEDIUM_EnhancedflexStretch2046
GSw_EV,Turn EV demand on/off,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_GasSector,Select sector scope of gas curves,electric_sector,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Geothermal,"Geothermal can be turned off [0], left to the default representation [1], or have an extended representation [2]",1,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2
GSw_H2,Turn on/off the representation of the production of hydrogen at a national (1) or regional(2) level,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_H2_Transport,Switch to enable or disable H2 transport network (only valid with Sw_H2=2),0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_H2_Demand_Case,H2 demand case as indicated by the column headers in inputs/consume/h2_exogenous_demand.csv,None,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearSMR,Turn on [1] / off [0] Nuclear-SMR,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_NukeNoRetire,Switch to prevent nuclear from retiring before the year in GSw_NukeNoRetireYear has passed,1,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
GSw_NukeNoRetireYear,If GSw_NukeNoRetire is enabled nuclear cannot retire through the end of this year,2032,,,,,,,,,,,,,,,,,,,,,,,,
GSw_PVB,Turn on/off hybrid PV+Battery,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_RECT,Switch to turn on/off RECT and RECC techs,0,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
GSw_ReducedResource,Turn on/off switch to reduce the RE resource available,0,,,,,,,,,,,1,,,,,,,,,,,,1,
GSw_Retire,retirement switch,5,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3
GSw_SitingUPV,"Specify the UPV siting scenario [reference, open, limited]",reference,,,,,,,,,,,limited,,,,,,,,,,,,limited,
GSw_SitingWindOfs,"Specify the offshore wind siting scenario [open, limited]",open,,,,,,,,,,,limited,,,,,,,,,,,,limited,
GSw_SitingWindOns,"Specify the onshore wind siting scenario [reference, open, limited, limitedplus]",reference,,,,,,,,,,,limited,,,,,,,,,,,,limited,
GSw_TCPhaseout,"Switch for whether tax credit Phaseout is enabled (0=no, 1=yes)",1,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
GSw_TCPhaseout_start,Earliest allowed Applicable Year for the tax credit phaseout. The tax credit phaseout schedule starts on the year following this year; or later if the emission threshold is not met by this year,2032,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TCPhaseout_ref_year,The reference year used to determine whether the trigger for the tax credit phaseout threshold has been hit,2022,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TCPhaseout_trigger_f,The fraction of emissions from the ref year used to determine whether the trigger for the tax credit phaseout has been hit,0.25,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TCPhaseout_schedule,The schedule by which the tax credits phase out. This assumes that the phaseout schedule starts on the year after the threshold is met. The phaseout may still have a period of full credit after the trigger has been met depending on the policy definition. ,ira2022,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TransRestrict,"hierarchy level within which to allow new transmission lines [country, interconnect, transreg, st, etc]",country,,,,,,,,,,,transreg,,,,,,,,,,,,transreg,
GSw_TransScen,"Select Transmission Scenario [default, LCC_all, LCC_SeamsD3_certain, etc]",default,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TransCostMult,Multiplier for bulk BA-BA transmission costs,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_VSC,Switch to turn on/off multi-terminal VSC HVDC macrogrid as an investment option,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_CO2_CostAdj,adjust costs for co2,1,,,,,,,,,,,2,,,,,,,,,,,,2,
GSw_BioSupply,adjustment to biosupply capacity,1,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,
GSw_TransInterconnect,allow interconnection transmission builds,1,,,,,,,,,,,0,,,,,,,,,,,,0,
endyear,final year,2040,,,,,,,,,,,,,,,,,,,,,,,,
capcredit_szn_hours,,10,,,,,,,,,,,,,,,,,,,,,,,,
GSw_AugurCurtailment,,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_calc_powfrac,,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_CO2_pipeline_cost,,3000,,,,,,,,,,,,,,,,,,,,,,,,
GSw_CO2_pipeline_fom,,80,,,,,,,,,,,,,,,,,,,,,,,,
GSw_CO2_spurline_cost,,3000,,,,,,,,,,,,,,,,,,,,,,,,
GSw_CO2_spurline_fom,,80,,,,,,,,,,,,,,,,,,,,,,,,
GSw_CO2_Storage,,15,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Hourly,,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_MinLoadTechs,,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_OpRes,,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Storage,,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Storage_in_Min,,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Upgrades,,1,,,,,,,,,,,,,,,,,,,,,,,,
GSw_UpgradeATBCosts,Use ATB upgrade costs,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_UpgradeCostMult,Upgrade Cost multiplier,2,,,,,,,,,1,2,,,,,,,,,,,1,2,,
