,conservative,moderate,advanced,sfr,natrium-only
timetype,seq,seq,seq,seq,seq
endyear,2035,2035,2035,2035,2035
GSw_Region,country/USA,country/USA,country/USA,country/USA,country/USA
plantchar_tes,tes_ATB_2024_moderate,tes_ATB_2024_moderate,tes_ATB_2024_moderate,tes_ATB_2024_moderate,tes_ATB_2024_moderate
plantchar_nuclear,nuclear_ATB_2024_conservative,nuclear_ATB_2024_moderate,nuclear_ATB_2024_advanced,nuclear_ATB_2024_natrium,nuclear_ATB_2024_moderate
plantchar_nuclear_stor,nuclear_ATB_2024_conservative,nuclear_ATB_2024_moderate,nuclear_ATB_2024_advanced,nuclear_ATB_2024_natrium,nuclear_ATB_2024_natrium
GSw_Nuclear,1,1,1,1,1
GSw_NuclearStor,1,1,1,1,1
GSw_NuclearStor_Types,1_2_3,1_2_3,1_2_3,1_2_3,1_2_3
GSw_NuclearStor_StorageTechs,tes-ms_tes-ms_battery-li,tes-ms_tes-ms_battery-li,tes-ms_tes-ms_battery-li,tes-ms_tes-ms_battery-li,tes-ms_tes-ms_battery-li
GSw_NuclearStor_BCR,0.45_0.45_0.45,0.45_0.45_0.45,0.45_0.45_0.45,0.45_0.45_0.45,0.45_0.45_0.45
GSw_NuclearDemo,1,1,1,1,1
GSw_ForcePrescription,1,1,1,1,1

