,startcost,nuclear,tes
timetype,seq,seq,seq
endyear,2035,2035,2035
MCS_runs,25,15,15
MCS_dist,nuclearstorage,nuclearstorage,nuclearstorage
MCS_dist_groups,startcost,nuclear,tes
GSw_HourlyChunkLengthRep,3,3,
GSw_HourlyClusterAlgorithm,user,user,user
GSw_Region,st/UT,st/UT,st/UT
GSw_BatteryMandate,0,0,0
GSw_StartCost,5,5,5
GSw_TES,0,0,0
GSw_Nuclear,1,1,1
GSw_NuclearStor,1,1,1
GSw_NuclearStor_Types,1,1,1
GSw_NuclearStor_StorageTechs,tes-ms,tes-ms,tes-ms
GSw_NuclearStor_BCR,0.45,0.45,0.45
GSw_NuclearDemo,1,1,1
GSw_Biopower,0,0,0
GSw_CCS,0,0,0
GSw_CoalIGCC,0,0,0
GSw_CoalNew,0,0,0
GSw_CofireNew,0,0,0
GSw_CSAPR,0,0,0
GSw_CSP,0,0,0
GSw_ForcePrescription,1,1,1
GSw_GasCurve,2,2,2
GSw_Geothermal,0,0,0
GSw_H2Combustion,0,0,0
GSw_hydED,0,0,0
GSw_LfillGas,0,0,0
GSw_MinCF,0,0,0
GSw_Mingen,0,0,0
GSw_MinLoading,0,0,0
GSw_OfsWind,0,0,0
GSw_OnsWind6to10,0,0,0
GSw_OpRes,0,0,0
GSw_PVB,0,0,0
GSw_Refurb,0,0,0
GSw_PRM_CapCredit,0,0,0
GSw_Retire,0,0,0
GSw_RGGI,0,0,0
GSw_SkipAugurYear,2030,2030,2030
GSw_StateCap,0,0,0
GSw_StateRPS,0,0,0
GSw_Storage,1,1,1
GSw_Upgrades,0,0,0
ivt_suffix,small,small,small
numhintage,1,1,1
