,Description,Default Value,Constant,Ref,RE80,RE90,RE95,RE97,RE99,RE100,LowRE_Ref,LowRE_RE80,LowRE_RE90,LowRE_RE95,LowRE_RE97,LowRE_RE99,LowRE_RE100,HighRE_Ref,HighRE_RE80,HighRE_RE90,HighRE_RE95,HighRE_RE97,HighRE_RE99,HighRE_RE100,NoTrans_Ref,NoTrans_RE80,NoTrans_RE90,NoTrans_RE95,NoTrans_RE97,NoTrans_RE99,NoTrans_RE100,HighBatt_Ref,HighBatt_RE80,HighBatt_RE90,HighBatt_RE95,HighBatt_RE97,HighBatt_RE99,HighBatt_RE100,LowBatt_Ref,LowBatt_RE80,LowBatt_RE90,LowBatt_RE95,LowBatt_RE97,LowBatt_RE99,LowBatt_RE100,LowDem_Ref,LowDem_RE80,LowDem_RE90,LowDem_RE95,LowDem_RE97,LowDem_RE99,LowDem_RE100,HighDem_Ref,HighDem_RE80,HighDem_RE90,HighDem_RE95,HighDem_RE97,HighDem_RE99,HighDem_RE100,LowNG_Ref,LowNG_RE80,LowNG_RE90,LowNG_RE95,LowNG_RE97,LowNG_RE99,LowNG_RE100,HighNG_Ref,HighNG_RE80,HighNG_RE90,HighNG_RE95,HighNG_RE97,HighNG_RE99,HighNG_RE100,CleanEnergy_RE80,CleanEnergy_RE90,CleanEnergy_RE95,CleanEnergy_RE97,CleanEnergy_RE99,CleanEnergy_RE100,CleanEnergy_CCS_RE80,CleanEnergy_CCS_RE90,CleanEnergy_CCS_RE95,CleanEnergy_CCS_RE97,CleanEnergy_CCS_RE99,CleanEnergy_CCS_RE100,HVDC_overlay_Ref,HVDC_overlay_RE80,HVDC_overlay_RE90,HVDC_overlay_RE95,HVDC_overlay_RE97,HVDC_overlay_RE99,HVDC_overlay_RE100,Low_RE_Batt_Cost_Ref,Low_RE_Batt_Cost_RE80,Low_RE_Batt_Cost_RE90,Low_RE_Batt_Cost_RE95,Low_RE_Batt_Cost_RE97,Low_RE_Batt_Cost_RE99,Low_RE_Batt_Cost_RE100,High_RE_Batt_Cost_Ref,High_RE_Batt_Cost_RE80,High_RE_Batt_Cost_RE90,High_RE_Batt_Cost_RE95,High_RE_Batt_Cost_RE97,High_RE_Batt_Cost_RE99,High_RE_Batt_Cost_RE100,Bus_Bar_Load_RE80,Bus_Bar_Load_RE90,Bus_Bar_Load_RE95,Bus_Bar_Load_RE97,Bus_Bar_Load_RE99,Bus_Bar_Load_RE100,LowCost_RE80,LowCost_RE90,LowCost_RE95,LowCost_RE97,LowCost_RE99,LowCost_RE100,2030_RE80,2030_RE90,2030_RE95,2030_RE97,2030_RE99,2030_RE100,2040_RE80,2040_RE90,2040_RE95,2040_RE97,2040_RE99,2040_RE100,No_RE_CT_RE97,No_RE_CT_RE99,No_RE_CT_RE100
batteryscen,Battery cost and performance characteristics,battery_ATB_2020_moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battery_ATB_2020_conservative,battery_ATB_2020_conservative,battery_ATB_2020_conservative,battery_ATB_2020_conservative,battery_ATB_2020_conservative,battery_ATB_2020_conservative,battery_ATB_2020_conservative,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_conservative,,,,,,,,,,,,,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,battery_ATB_2020_advanced,,,,,,,,,,,,,,,
cspscen,CSP cost and performance characteristics,csp_ATB_2020_moderate,,,,,,,,,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_conservative,csp_ATB_2020_conservative,csp_ATB_2020_conservative,csp_ATB_2020_conservative,csp_ATB_2020_conservative,csp_ATB_2020_conservative,csp_ATB_2020_conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_conservative,,,,,,,,,,,,,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,csp_ATB_2020_advanced,,,,,,,,,,,,,,,
demandscen,Demand scenario,AEO_2020_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEO_2020_low,AEO_2020_low,AEO_2020_low,AEO_2020_low,AEO_2020_low,AEO_2020_low,AEO_2020_low,AEO_2020_high,AEO_2020_high,AEO_2020_high,AEO_2020_high,AEO_2020_high,AEO_2020_high,AEO_2020_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geoscen,Geothermal cost setting,geo_ATB_2020_moderate,,,,,,,,,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_conservative,geo_ATB_2020_conservative,geo_ATB_2020_conservative,geo_ATB_2020_conservative,geo_ATB_2020_conservative,geo_ATB_2020_conservative,geo_ATB_2020_conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_conservative,,,,,,,,,,,,,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,geo_ATB_2020_advanced,,,,,,,,,,,,,,,
geodiscov,Annual discover rates for new geothermal sites,BAU,,,,,,,,,TI,TI,TI,TI,TI,TI,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TI,TI,TI,TI,TI,TI,TI,,,,,,,,,,,,,,TI,TI,TI,TI,TI,TI,,,,,,,,,,,,,,,
ngscen,Natural gas price scenario,AEO_2020_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEO_2020_HOG,AEO_2020_HOG,AEO_2020_HOG,AEO_2020_HOG,AEO_2020_HOG,AEO_2020_HOG,AEO_2020_HOG,AEO_2020_LOG,AEO_2020_LOG,AEO_2020_LOG,AEO_2020_LOG,AEO_2020_LOG,AEO_2020_LOG,AEO_2020_LOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upvscen,UPV cost and performance characteristics,upv_ATB_2020_moderate,,,,,,,,,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,upv_ATB_2020_conservative,,,,,,,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,upv_ATB_2020_advanced,,,,,,,,,,,,,,,
onswindscen,Onshore wind cost and performance characteristics,ons-wind_ATB_2020_moderate,,,,,,,,,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,ons-wind_ATB_2020_conservative,,,,,,,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,ons-wind_ATB_2020_advanced,,,,,,,,,,,,,,,
ofswindscen,Offshore wind cost and performance characteristics,ofs-wind_ATB_2020_moderate,,,,,,,,,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,ofs-wind_ATB_2020_conservative,,,,,,,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,ofs-wind_ATB_2020_advanced,,,,,,,,,,,,,,,
marg_vre_mw,MW for marginal VRE curt/cc calcs,1000,500,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,5000,7500,10000,10000,10000,10000,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,,5000,7500,10000,10000,10000,10000,5000,7500,10000,10000,10000,10000,5000,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
