case,Description,Default Value,Mid_Case,Mid_Case_NoNascent,Low_Demand_Growth,High_Demand_Growth,Adv_NG,Con_NG,Adv_RE,Con_RE,Adv_Nuclear,Con_Nuclear,Con_CCS,Adv_CCS,DC_Trans,Limited_Trans,Reduced_RE_Resource,No_TC_Expiration,DAC,High_H2,High_H2_and_Demand,Mid_Case_95by2050,Mid_Case_CO2e_95by2050,Mid_Case_CO2e_95by2050_NoFFOffset,Mid_Case_100by2035,Mid_Case_CO2e_100by2035,Mid_Case_CO2e_100by2035_NoFFOffset,Mid_Case_CO2e_100by2035_NoNascent,Low_Demand_Growth_CO2e_100by2035,High_Demand_Growth_CO2e_100by2035,Adv_NG_CO2e_100by2035,Con_NG_CO2e_100by2035,Adv_RE_CO2e_100by2035,Con_RE_CO2e_100by2035,Adv_Nuclear_CO2e_100by2035,Con_Nuclear_CO2e_100by2035,Con_CCS_CO2e_100by2035,Adv_CCS_CO2e_100by2035,DC_Tran_CO2e_100by2035,Limited_Trans_CO2e_100by2035,Reduced_RE_Resource_CO2e_100by2035,No_TC_Expiration_CO2e_100by2035,DAC_CO2e_100by2035,High_H2_CO2e_100by2035,High_H2_and_Demand_CO2e_100by2035,Mid_Case_95by2035,Mid_Case_CO2e_95by2035,Mid_Case_CO2e_95by2035_NoFFOffset,High_Demand_NoNascent,Mid_Case_noGrowthPenalties,Reduced_Wind_Resource,Mid_Case_NoFirmCapImpConst,Mid_Case_No_TC_Expiration,Mid_Case_NoNascent_No_TC_Expiration,Low_Demand_Growth_No_TC_Expiration,High_Demand_Growth_No_TC_Expiration,Adv_NG_No_TC_Expiration,Con_NG_No_TC_Expiration,Adv_RE_No_TC_Expiration,Con_RE_No_TC_Expiration,Adv_Nuclear_No_TC_Expiration,Con_Nuclear_No_TC_Expiration,Con_CCS_No_TC_Expiration,Adv_CCS_No_TC_Expiration,DC_Trans_No_TC_Expiration,Limited_Trans_No_TC_Expiration,Reduced_RE_Resource_No_TC_Expiration,DAC_No_TC_Expiration,High_H2_No_TC_Expiration,High_H2_and_Demand_No_TC_Expiration,Mid_Case_No_IRA,Mid_Case_No_111D,Mid_Case_No_IRA_111D,Mid_Case_No_IRA_111D_Upgrades
ignore,"0=run this case, 1=ignore this case",0,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,1
timetype,Sequential or Intertemporal,seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distpvscen,Setting for distpv scenario,stscen2023_mid_case,,,,,,,stscen2023_lowre,stscen2023_highre,,,,,,,,,,,,stscen2023_mid_case_95_by_2050,stscen2023_mid_case_95_by_2050,stscen2023_mid_case_95_by_2050,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_lowre,stscen2023_highre,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,stscen2023_mid_case_95_by_2035,,,,,,,,,,,stscen2023_lowre,stscen2023_highre,,,,,,,,,,,,,,
plantchar_battery,Battery cost and performance characteristics,battery_ATB_2024_moderate,,,,,,,battery_ATB_2024_advanced,battery_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,battery_ATB_2024_advanced,battery_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,,,battery_ATB_2024_advanced,battery_ATB_2024_conservative,,,,,,,,,,,,,,
convscen,Conventional generators cost and performance characteristics,conv_ATB_2024,,,,,,,,,conv_ATB_2024_adv_nuclear,conv_ATB_2024_con_nuclear,conv_ATB_2024_con_ccs,conv_ATB_2024_adv_ccs,,,,,,,,,,,,,,,,,,,,,conv_ATB_2024_adv_nuclear,conv_ATB_2024_con_nuclear,conv_ATB_2024_con_ccs,conv_ATB_2024_adv_ccs,,,,,,,,,,,,,,,,,,,,,,,conv_ATB_2024_adv_nuclear,conv_ATB_2024_con_nuclear,conv_ATB_2024_con_ccs,conv_ATB_2024_adv_ccs,,,,,,,,,,
cspscen,CSP cost and performance characteristics,csp_ATB_2024_moderate,,,,,,,csp_ATB_2024_advanced,csp_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,csp_ATB_2024_advanced,csp_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,,,csp_ATB_2024_advanced,csp_ATB_2024_conservative,,,,,,,,,,,,,,
geodiscov,Annual discover rates for new geothermal sites,BAU,,,,,,,TI,,,,,,,,,,,,,,,,,,,,,,,,TI,,,,,,,,,,,,,,,,,,,,,,,,,,TI,,,,,,,,,,,,,,,
geoscen,Geothermal cost projections,geo_ATB_2024_moderate,,,,,,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,,,,,,,,,,,,,
hydroscen,Hydropower cost setting,hydro_ATB_2019_mid,,,,,,,hydro_ATB_2019_low,,,,,,,,,,,,,,,,,,,,,,,,hydro_ATB_2019_low,,,,,,,,,,,,,,,,,,,,,,,,,,hydro_ATB_2019_low,,,,,,,,,,,,,,,
incentives_suffix,File suffix for incentive definition,ira,,,,,,,,,,,,,,,,ira_45q_extension,,,,,,,,,,,,,,,,,,,,,,,,ira_45q_extension,,,,,,,,,,,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,ira_45q_extension,none,,none,none
