,BAU_ercot_nlcd,BAU_west_nlcd,BAU_east_nlcd,High_Solar_ercot_nlcd,High_Solar_west_nlcd,High_Solar_east_nlcd,BAU_ercot_a1b,BAU_west_a1b,BAU_east_a1b,High_Solar_ercot_a1b,High_Solar_west_a1b,High_Solar_east_a1b,BAU_ercot_a2,BAU_west_a2,BAU_east_a2,High_Solar_ercot_a2,High_Solar_west_a2,High_Solar_east_a2,BAU_ercot_b1,BAU_west_b1,BAU_east_b1,High_Solar_ercot_b1,High_Solar_west_b1,High_Solar_east_b1,BAU_ercot_b2,BAU_west_b2,BAU_east_b2,High_Solar_ercot_b2,High_Solar_west_b2,High_Solar_east_b2
ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yearset_suffix,,,5yr,,,5yr,,,5yr,,,5yr,,,5yr,,,5yr,,,5yr,,,5yr,,,5yr,,,5yr
GSw_Region,ercot,western,eastern,ercot,western,eastern,ercot,western,eastern,ercot,western,eastern,ercot,western,eastern,ercot,western,eastern,ercot,western,eastern,ercot,western,eastern,ercot,western,eastern,ercot,western,eastern
GSw_RegionResolution,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county
GSw_GasCurve,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GSw_SitingUPV,reference_nlcd,reference_nlcd,reference_nlcd,reference_nlcd,reference_nlcd,reference_nlcd,reference_a1b,reference_a1b,reference_a1b,reference_a1b,reference_a1b,reference_a1b,reference_a2,reference_a2,reference_a2,reference_a2,reference_a2,reference_a2,reference_b1,reference_b1,reference_b1,reference_b1,reference_b1,reference_b1,reference_b2,reference_b2,reference_b2,reference_b2,reference_b2,reference_b2
GSw_SitingWindOns,reference_nlcd,reference_nlcd,reference_nlcd,reference_nlcd,reference_nlcd,reference_nlcd,reference_a1b,reference_a1b,reference_a1b,reference_a1b,reference_a1b,reference_a1b,reference_a2,reference_a2,reference_a2,reference_a2,reference_a2,reference_a2,reference_b1,reference_b1,reference_b1,reference_b1,reference_b1,reference_b1,reference_b2,reference_b2,reference_b2,reference_b2,reference_b2,reference_b2
ngscen,,,,AEO_2023_LOG,AEO_2023_LOG,AEO_2023_LOG,,,,AEO_2023_LOG,AEO_2023_LOG,AEO_2023_LOG,,,,AEO_2023_LOG,AEO_2023_LOG,AEO_2023_LOG,,,,AEO_2023_LOG,AEO_2023_LOG,AEO_2023_LOG,,,,AEO_2023_LOG,AEO_2023_LOG,AEO_2023_LOG
upvscen,,,,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,,,,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,,,,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,,,,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,,,,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced
onswindscen,,,,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,,,,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,,,,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,,,,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,,,,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative
ofswindscen,,,,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,,,,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,,,,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,,,,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,,,,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative,ofs-wind_ATB_2022_conservative
GSw_AnnualCap,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,1
GSw_AnnualCapScen,,,,start2023_95pct2050,start2023_95pct2050,start2023_95pct2050,,,,start2023_95pct2050,start2023_95pct2050,start2023_95pct2050,,,,start2023_95pct2050,start2023_95pct2050,start2023_95pct2050,,,,start2023_95pct2050,start2023_95pct2050,start2023_95pct2050,,,,start2023_95pct2050,start2023_95pct2050,start2023_95pct2050
GSw_OpRes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSw_CSP,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
numhintage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_gopt,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GSw_StartCost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srun_template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Upgrades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSw_HourlyNumClusters,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10
GSw_CofireNew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSw_H2_SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSw_Geothermal,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
land_use_analysis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
