i,country,t_start_construction,ptc_value,ptc_dur,itc_frac,ptc_tax_equity_penalty,itc_tax_equity_penalty
HYDRO,usa,2010,9.1273,10,0,0.33,0.33
HYDRO,usa,2011,9.1273,10,0,0.33,0.33
HYDRO,usa,2012,9.1273,10,0,0.33,0.33
HYDRO,usa,2013,9.1273,10,0,0.33,0.33
HYDRO,usa,2014,9.1273,10,0,0.33,0.33
HYDRO,usa,2015,9.1273,10,0,0.33,0.33
HYDRO,usa,2016,9.1273,10,0,0.33,0.33
HYDRO,usa,2017,9.1273,10,0,0.33,0.33
HYDRO,usa,2020,9.1273,10,0,0.33,0.33
HYDRO,usa,2021,9.1273,10,0,0.33,0.33
HYDRO,usa,2022,9.1273,10,0,0.33,0.33
HYDRO,usa,2023,9.1273,10,0,0.33,0.33
HYDRO,usa,2024,9.1273,10,0,0.33,0.33
HYDRO,usa,2025,9.1273,10,0,0.33,0.33
HYDRO,usa,2026,9.1273,10,0,0.33,0.33
HYDRO,usa,2027,9.1273,10,0,0.33,0.33
HYDRO,usa,2028,9.1273,10,0,0.33,0.33
HYDRO,usa,2029,9.1273,10,0,0.33,0.33
HYDRO,usa,2030,9.1273,10,0,0.33,0.33
ONSWIND,usa,2010,18.2547,10,0,0.33,0.33
ONSWIND,usa,2011,18.2547,10,0,0.33,0.33
ONSWIND,usa,2012,18.2547,10,0,0.33,0.33
ONSWIND,usa,2013,18.2547,10,0,0.33,0.33
ONSWIND,usa,2014,18.2547,10,0,0.33,0.33
ONSWIND,usa,2015,18.2547,10,0,0.33,0.33
ONSWIND,usa,2016,18.2547,10,0,0.33,0.33
ONSWIND,usa,2017,14.60372045,10,0,0.33,0.33
ONSWIND,usa,2018,10.95279033,10,0,0.33,0.33
ONSWIND,usa,2019,7.301860223,10,0,0.33,0.33
ONSWIND,usa,2020,18.2547,10,0,0.33,0.33
ONSWIND,usa,2021,18.2547,10,0,0.33,0.33
ONSWIND,usa,2022,18.2547,10,0,0.33,0.33
ONSWIND,usa,2023,18.2547,10,0,0.33,0.33
ONSWIND,usa,2024,18.2547,10,0,0.33,0.33
ONSWIND,usa,2025,18.2547,10,0,0.33,0.33
ONSWIND,usa,2026,18.2547,10,0,0.33,0.33
ONSWIND,usa,2027,18.2547,10,0,0.33,0.33
ONSWIND,usa,2028,18.2547,10,0,0.33,0.33
ONSWIND,usa,2029,18.2547,10,0,0.33,0.33
ONSWIND,usa,2030,18.2547,10,0,0.33,0.33
