i,country,t_start_construction,ptc_value,ptc_dur,itc_frac,ptc_tax_equity_penalty,itc_tax_equity_penalty
HYDRO,usa,2010,9.1273,10,0,0.33,0.33
HYDRO,usa,2011,9.1273,10,0,0.33,0.33
HYDRO,usa,2012,9.1273,10,0,0.33,0.33
HYDRO,usa,2013,9.1273,10,0,0.33,0.33
HYDRO,usa,2014,9.1273,10,0,0.33,0.33
HYDRO,usa,2015,9.1273,10,0,0.33,0.33
HYDRO,usa,2016,9.1273,10,0,0.33,0.33
HYDRO,usa,2017,9.1273,10,0,0.33,0.33
ONSWIND,usa,2010,18.2547,10,0,0.33,0.33
ONSWIND,usa,2011,18.2547,10,0,0.33,0.33
ONSWIND,usa,2012,18.2547,10,0,0.33,0.33
ONSWIND,usa,2013,18.2547,10,0,0.33,0.33
ONSWIND,usa,2014,18.2547,10,0,0.33,0.33
ONSWIND,usa,2015,18.2547,10,0,0.33,0.33
ONSWIND,usa,2016,18.2547,10,0,0.33,0.33
ONSWIND,usa,2017,14.60376,10,0,0.33,0.33
ONSWIND,usa,2018,10.95282,10,0,0.33,0.33
ONSWIND,usa,2019,7.30188,10,0,0.33,0.33
OFSWIND,usa,2010,0,0,0.3,0.33,0.33
OFSWIND,usa,2011,0,0,0.3,0.33,0.33
OFSWIND,usa,2012,0,0,0.3,0.33,0.33
OFSWIND,usa,2013,0,0,0.3,0.33,0.33
OFSWIND,usa,2014,0,0,0.3,0.33,0.33
OFSWIND,usa,2015,0,0,0.3,0.33,0.33
OFSWIND,usa,2016,0,0,0.3,0.33,0.33
OFSWIND,usa,2017,0,0,0.24,0.33,0.33
OFSWIND,usa,2018,0,0,0.18,0.33,0.33
OFSWIND,usa,2019,0,0,0.12,0.33,0.33
CSP,usa,2010,0,0,0.3,0.33,0.33
CSP,usa,2011,0,0,0.3,0.33,0.33
CSP,usa,2012,0,0,0.3,0.33,0.33
CSP,usa,2013,0,0,0.3,0.33,0.33
CSP,usa,2014,0,0,0.3,0.33,0.33
CSP,usa,2015,0,0,0.3,0.33,0.33
CSP,usa,2016,0,0,0.3,0.33,0.33
CSP,usa,2017,0,0,0.3,0.33,0.33
CSP,usa,2018,0,0,0.279999,0.33,0.33
CSP,usa,2019,0,0,0.279999,0.33,0.33
CSP,usa,2020,0,0,0.159999,0.33,0.33
CSP,usa,2021,0,0,0.159999,0.33,0.33
CSP,usa,2022,0,0,0.1,0.33,0.33
