"","date.time","heat","cool","lght","appl","misc","watr","heat.ind","cool.ind","lght.ind","appl.ind","misc.ind","watr.ind"
"1",2009-01-01 00:00:00,1039747164.18663,2014321.99071613,131376080.874133,10245322.8604575,69591734.7158326,38768418.8535013,0.00026923813709651,1.66029318243912e-05,6.75543858450083e-05,2.26580252354447e-05,5.51084394777966e-05,5.98991674101825e-05
"2",2009-01-01 01:00:00,1031288455.10711,1475142.20491643,127085390.721601,9881235.07163872,67709866.6959545,24726911.1502453,0.000267047790103266,1.21587738069633e-05,6.53480866756548e-05,2.18528275448171e-05,5.36182221365832e-05,3.8204328015598e-05
"3",2009-01-01 02:00:00,1066339095.78192,1394452.26324646,122883168.506908,10059144.6669061,67052932.2071285,22633588.4316706,0.000276124005479824,1.14936916569222e-05,6.31872782620608e-05,2.22462831883435e-05,5.3098007564175e-05,3.49700385688897e-05
"4",2009-01-01 03:00:00,1115156675.70134,1327691.10097215,122883168.506908,9818473.94756872,66681917.8921247,23898624.1880149,0.000288765111633115,1.09434166607368e-05,6.31872782620608e-05,2.17140282944322e-05,5.28042080202023e-05,3.69245827775527e-05
"5",2009-01-01 04:00:00,1098753430.78275,1345419.91640872,127475747.874888,10853593.2614605,68440477.1126442,31058177.0235993,0.000284517560635777,1.10895453905909e-05,6.55488107159448e-05,2.40032445402547e-05,5.41967793473555e-05,4.79864539232723e-05
"6",2009-01-01 05:00:00,1304795043.4586,1419816.73256121,137734416.252966,18801249.8593959,74067854.0668652,39636374.897531,0.000337871166081388,1.17027568196596e-05,7.08238808600497e-05,4.15798701099272e-05,5.86529976549857e-05,6.12402033854303e-05
"7",2009-01-01 06:00:00,1341131620.41287,1500712.99301743,159471467.663901,33206416.1696767,104543890.98114,79378258.6331393,0.000347280369226737,1.23695395402937e-05,8.20012058980372e-05,7.34375896005304e-05,8.27864215834358e-05,0.000122643423260626
"8",2009-01-01 07:00:00,1421386425.04923,1597001.55825493,121716643.915036,46740848.5483867,122578862.792919,108249221.335869,0.000368062011954505,1.31631924376333e-05,6.25874441685737e-05,0.000103369639040165,9.70679904598482e-05,0.00016725052046412
"9",2009-01-01 08:00:00,1683420022.9312,1753468.994117,93778138.6956106,53720099.7250522,133640687.298635,143480087.597874,0.000435914505503384,1.44528661751631e-05,4.822129358037e-05,0.000118804589352539,0.000105827649761006,0.000221683990248071
"10",2009-01-01 09:00:00,1407001922.18979,1959886.9151031,87269338.7305805,53144478.1871323,118681182.521416,113314104.384348,0.000364337205687818,1.61542538804358e-05,4.48744287530741e-05,0.000117531574581809,9.39814877562871e-05,0.000175076020874139
"11",2009-01-01 10:00:00,1174883307.58843,2241032.77455736,119005062.231039,82299462.9403656,127052301.3978,103224418.524269,0.000304231070722224,1.84715822712008e-05,6.11931322503602e-05,0.000182009228363455,0.000100610425802513,0.000159486946046692
"12",2009-01-01 11:00:00,971510185.448415,2488161.02444293,117565803.75116,88793661.3034644,127763540.329926,91210415.3693468,0.000251568459631275,2.05085224940857e-05,6.04530567203743e-05,0.00019637146100358,0.000101173643084068,0.000140924703697772
"13",2009-01-01 12:00:00,862933223.256989,3532176.72410882,144341533.559751,84338055.7648056,131150821.120325,72568958.2365789,0.000223452913815013,2.91137611624995e-05,7.42213010669551e-05,0.000186517674635972,0.000103855969644746,0.000112122709843319
"14",2009-01-01 13:00:00,802705553.073216,3798449.98101415,142865285.737233,72261800.4734284,121831849.676334,72325782.2921865,0.000207857212974966,3.13085029919754e-05,7.34622053903167e-05,0.000159810454095586,9.64764442468882e-05,0.000111746990713315
"15",2009-01-01 14:00:00,834348832.821605,3136796.84884543,142865570.786688,56984350.0117835,118499404.412858,65540293.8465474,0.000216051106629626,2.58548655420429e-05,7.34623519644933e-05,0.000126023636168235,9.3837540950897e-05,0.000101263067964206
"16",2009-01-01 15:00:00,834413794.869728,3131004.56256321,144132002.196086,65073704.4819881,119074164.573417,62027626.8263456,0.000216067928277639,2.58071229593305e-05,7.4113558755771e-05,0.000143913633410954,9.42926831549503e-05,9.58358198039344e-05
"17",2009-01-01 16:00:00,889509119.585491,3142632.82030775,214584781.642479,85094066.3623248,132414400.091073,56865038.4357687,0.000230334629933713,2.59029681973108e-05,0.000110340809674717,0.000188189628505085,0.000104856575040189,8.7859359700014e-05
"18",2009-01-01 17:00:00,1085900920.91531,2776822.42618733,209806411.287837,78599674.5031451,137072665.578211,71057639.6465888,0.00028118945748444,2.28877973049572e-05,0.000107883742356983,0.000173826967939053,0.000108545371457145,0.000109787646203659
"19",2009-01-01 18:00:00,1101417665.48653,2720190.31419223,198406842.512599,78318000.772474,134119942.848347,86649360.810531,0.000285207452960702,2.24210104164361e-05,0.000102022014237334,0.000173204032909612,0.000106207163586369,0.000133877643779805
"20",2009-01-01 19:00:00,677914054.763174,2804740.6392842,183156279.370983,60407515.6420228,117557365.138842,97742010.5333015,0.000175542981508163,2.31179115522535e-05,9.41800812159845e-05,0.000133594131924345,9.30915570416044e-05,0.00015101634848885
"21",2009-01-01 20:00:00,691678550.358781,3537088.09023022,184801629.268344,58293768.4316193,115062740.031434,91201273.0970517,0.000179107239512304,2.91542428120342e-05,9.50261302157474e-05,0.000128919478105526,9.11161084152299e-05,0.000140910578424807
"22",2009-01-01 21:00:00,704996741.664099,3881809.48227617,174286234.204228,47770756.9214914,111099595.125027,93677784.4515494,0.00018255592890531,3.19955888316512e-05,8.96190496364862e-05,0.000105647331039317,8.79777654480905e-05,0.000144736913689519
