category,Max Capacity_max,Max Capacity_avg,Min Up Time,Min Down Time,Forced Outage Rate,Maintenance Rate,Mean Time To Repair,Start Cost/capacity,Min Stable Level/capacity,Max Ramp Up/capacity
CCGT-GAS,944,320,8,8,8.5,22,389,7031,0.5,0.03
COGENERATION-BAGASSE,236.8,11.87,24,24,8.5,2.4,389,13451,0.5,0.01
CT-GAS,803,53,2,2,4.3,5,256,2812.4,0.1,0.05
DIESEL,803,53,1,1,4.3,4.1,107,6181,0,0.02
HYDRO-PONDAGE,,,0,0,0,0,0,0,0,0.1
HYDRO-PUMPED,,,0,0,0,0,0,0,0,0.1
HYDRO-ROR,,,0,0,0,0,0,0,0,0.1
HYDRO-STORAGE,,,0,0,0,0,0,0,0,0.1
NUCLEAR,1000,500,48,48,8.3,20,435,0,1,0.005
SUBCRITICAL-COAL,856,281,24,24,10,8.2,404,14549,0.55,0.01
SUBCRITICAL-LIGNITE,856,281,24,24,10,9,404,16455,0.55,0.01
SUBCRITICAL-OIL,803,53,1,1,24.7,4.1,107,6181,0.55,0.02
SUPERCRITICAL-COAL,856,690,24,24,8,4,404,14111,0.55,0.01
WHR,36.8,11.87,0,0,8.5,5,404,0,0,0.01
BATTERY_2,,,0,0,0,,,,0,
BATTERY_4,,,0,0,0,,,,0,
BATTERY_6,,,0,0,0,,,,0,
BATTERY_8,,,0,0,0,,,,0,
BATTERY_10,,,0,0,0,,,,0,
