idx_hr,hr,d
0,hr1,d1
1,hr2,d1
2,hr3,d1
3,hr4,d1
4,hr5,d1
5,hr6,d1
6,hr7,d1
7,hr8,d1
8,hr9,d1
9,hr10,d1
10,hr11,d1
11,hr12,d1
12,hr13,d1
13,hr14,d1
14,hr15,d1
15,hr16,d1
16,hr17,d1
17,hr18,d1
18,hr19,d1
19,hr20,d1
20,hr21,d1
21,hr22,d1
22,hr23,d1
23,hr24,d1
24,hr1,d2
25,hr2,d2
26,hr3,d2
27,hr4,d2
28,hr5,d2
29,hr6,d2
30,hr7,d2
31,hr8,d2
32,hr9,d2
33,hr10,d2
34,hr11,d2
35,hr12,d2
36,hr13,d2
37,hr14,d2
38,hr15,d2
39,hr16,d2
40,hr17,d2
41,hr18,d2
42,hr19,d2
43,hr20,d2
44,hr21,d2
45,hr22,d2
46,hr23,d2
47,hr24,d2
48,hr1,d3
49,hr2,d3
50,hr3,d3
51,hr4,d3
52,hr5,d3
53,hr6,d3
54,hr7,d3
55,hr8,d3
56,hr9,d3
57,hr10,d3
58,hr11,d3
59,hr12,d3
60,hr13,d3
61,hr14,d3
62,hr15,d3
63,hr16,d3
64,hr17,d3
65,hr18,d3
66,hr19,d3
67,hr20,d3
68,hr21,d3
69,hr22,d3
70,hr23,d3
71,hr24,d3
72,hr1,d4
73,hr2,d4
74,hr3,d4
75,hr4,d4
76,hr5,d4
77,hr6,d4
78,hr7,d4
79,hr8,d4
80,hr9,d4
81,hr10,d4
82,hr11,d4
83,hr12,d4
84,hr13,d4
85,hr14,d4
86,hr15,d4
87,hr16,d4
88,hr17,d4
89,hr18,d4
90,hr19,d4
91,hr20,d4
92,hr21,d4
93,hr22,d4
94,hr23,d4
95,hr24,d4
96,hr1,d5
97,hr2,d5
98,hr3,d5
99,hr4,d5
100,hr5,d5
101,hr6,d5
102,hr7,d5
103,hr8,d5
104,hr9,d5
105,hr10,d5
106,hr11,d5
107,hr12,d5
108,hr13,d5
109,hr14,d5
110,hr15,d5
111,hr16,d5
112,hr17,d5
113,hr18,d5
114,hr19,d5
115,hr20,d5
116,hr21,d5
117,hr22,d5
118,hr23,d5
119,hr24,d5
120,hr1,d6
121,hr2,d6
122,hr3,d6
123,hr4,d6
124,hr5,d6
125,hr6,d6
126,hr7,d6
127,hr8,d6
128,hr9,d6
129,hr10,d6
130,hr11,d6
131,hr12,d6
132,hr13,d6
133,hr14,d6
134,hr15,d6
135,hr16,d6
136,hr17,d6
137,hr18,d6
138,hr19,d6
139,hr20,d6
140,hr21,d6
141,hr22,d6
142,hr23,d6
143,hr24,d6
144,hr1,d7
145,hr2,d7
146,hr3,d7
147,hr4,d7
148,hr5,d7
149,hr6,d7
150,hr7,d7
151,hr8,d7
152,hr9,d7
153,hr10,d7
154,hr11,d7
155,hr12,d7
156,hr13,d7
157,hr14,d7
158,hr15,d7
159,hr16,d7
160,hr17,d7
161,hr18,d7
162,hr19,d7
163,hr20,d7
164,hr21,d7
165,hr22,d7
166,hr23,d7
167,hr24,d7
168,hr1,d8
169,hr2,d8
170,hr3,d8
171,hr4,d8
172,hr5,d8
173,hr6,d8
174,hr7,d8
175,hr8,d8
176,hr9,d8
177,hr10,d8
178,hr11,d8
179,hr12,d8
180,hr13,d8
181,hr14,d8
182,hr15,d8
183,hr16,d8
184,hr17,d8
185,hr18,d8
186,hr19,d8
187,hr20,d8
188,hr21,d8
189,hr22,d8
190,hr23,d8
191,hr24,d8
192,hr1,d9
193,hr2,d9
194,hr3,d9
195,hr4,d9
196,hr5,d9
197,hr6,d9
198,hr7,d9
199,hr8,d9
