time_slice,Month,Day,Hour,h,
Winter_night,1,1,1,H1,1
Winter_night,1,1,2,H1,2
Winter_night,1,1,3,H1,3
Winter_night,1,1,4,H1,4
Winter_night,1,1,5,H1,5
Winter_sunrise,1,1,6,H2,6
Winter_sunrise,1,1,7,H2,7
Winter_sunrise,1,1,8,H2,8
Winter_morning,1,1,9,H3,9
Winter_morning,1,1,10,H3,10
Winter_morning,1,1,11,H3,11
Winter_afternoon,1,1,12,H4,12
Winter_afternoon,1,1,13,H4,13
Winter_afternoon,1,1,14,H4,14
Winter_sunset,1,1,15,H5,15
Winter_sunset,1,1,16,H5,16
Winter_sunset,1,1,17,H5,17
Winter_evening,1,1,18,H6,18
Winter_evening,1,1,19,H6,19
Winter_evening,1,1,20,H6,20
Winter_evening,1,1,21,H6,21
Winter_evening,1,1,22,H6,22
Winter_night,1,1,23,H1,23
Winter_night,1,1,24,H1,24
Winter_night,1,2,1,H1,25
Winter_night,1,2,2,H1,26
Winter_night,1,2,3,H1,27
Winter_night,1,2,4,H1,28
Winter_night,1,2,5,H1,29
Winter_sunrise,1,2,6,H2,30
Winter_sunrise,1,2,7,H2,31
Winter_sunrise,1,2,8,H2,32
Winter_morning,1,2,9,H3,33
Winter_morning,1,2,10,H3,34
Winter_morning,1,2,11,H3,35
Winter_afternoon,1,2,12,H4,36
Winter_afternoon,1,2,13,H4,37
Winter_afternoon,1,2,14,H4,38
Winter_sunset,1,2,15,H5,39
Winter_sunset,1,2,16,H5,40
Winter_sunset,1,2,17,H5,41
Winter_evening,1,2,18,H6,42
Winter_evening,1,2,19,H6,43
Winter_evening,1,2,20,H6,44
Winter_evening,1,2,21,H6,45
Winter_evening,1,2,22,H6,46
Winter_night,1,2,23,H1,47
Winter_night,1,2,24,H1,48
Winter_night,1,3,1,H1,49
Winter_night,1,3,2,H1,50
Winter_night,1,3,3,H1,51
Winter_night,1,3,4,H1,52
Winter_night,1,3,5,H1,53
Winter_sunrise,1,3,6,H2,54
Winter_sunrise,1,3,7,H2,55
Winter_sunrise,1,3,8,H2,56
Winter_morning,1,3,9,H3,57
Winter_morning,1,3,10,H3,58
Winter_morning,1,3,11,H3,59
Winter_afternoon,1,3,12,H4,60
Winter_afternoon,1,3,13,H4,61
Winter_afternoon,1,3,14,H4,62
Winter_sunset,1,3,15,H5,63
Winter_sunset,1,3,16,H5,64
Winter_sunset,1,3,17,H5,65
Winter_evening,1,3,18,H6,66
Winter_evening,1,3,19,H6,67
Winter_evening,1,3,20,H6,68
Winter_evening,1,3,21,H6,69
Winter_evening,1,3,22,H6,70
Winter_night,1,3,23,H1,71
Winter_night,1,3,24,H1,72
Winter_night,1,4,1,H1,73
Winter_night,1,4,2,H1,74
Winter_night,1,4,3,H1,75
Winter_night,1,4,4,H1,76
Winter_night,1,4,5,H1,77
Winter_sunrise,1,4,6,H2,78
Winter_sunrise,1,4,7,H2,79
Winter_sunrise,1,4,8,H2,80
Winter_morning,1,4,9,H3,81
Winter_morning,1,4,10,H3,82
Winter_morning,1,4,11,H3,83
Winter_afternoon,1,4,12,H4,84
Winter_afternoon,1,4,13,H4,85
Winter_afternoon,1,4,14,H4,86
Winter_sunset,1,4,15,H5,87
Winter_sunset,1,4,16,H5,88
Winter_sunset,1,4,17,H5,89
Winter_evening,1,4,18,H6,90
Winter_evening,1,4,19,H6,91
Winter_evening,1,4,20,H6,92
Winter_evening,1,4,21,H6,93
Winter_evening,1,4,22,H6,94
Winter_night,1,4,23,H1,95
Winter_night,1,4,24,H1,96
Winter_night,1,5,1,H1,97
Winter_night,1,5,2,H1,98
Winter_night,1,5,3,H1,99
Winter_night,1,5,4,H1,100
Winter_night,1,5,5,H1,101
Winter_sunrise,1,5,6,H2,102
Winter_sunrise,1,5,7,H2,103
Winter_sunrise,1,5,8,H2,104
Winter_morning,1,5,9,H3,105
Winter_morning,1,5,10,H3,106
Winter_morning,1,5,11,H3,107
Winter_afternoon,1,5,12,H4,108
Winter_afternoon,1,5,13,H4,109
Winter_afternoon,1,5,14,H4,110
Winter_sunset,1,5,15,H5,111
Winter_sunset,1,5,16,H5,112
Winter_sunset,1,5,17,H5,113
Winter_evening,1,5,18,H6,114
Winter_evening,1,5,19,H6,115
Winter_evening,1,5,20,H6,116
Winter_evening,1,5,21,H6,117
Winter_evening,1,5,22,H6,118
Winter_night,1,5,23,H1,119
Winter_night,1,5,24,H1,120
Winter_night,1,6,1,H1,121
Winter_night,1,6,2,H1,122
Winter_night,1,6,3,H1,123
Winter_night,1,6,4,H1,124
Winter_night,1,6,5,H1,125
Winter_sunrise,1,6,6,H2,126
Winter_sunrise,1,6,7,H2,127
Winter_sunrise,1,6,8,H2,128
Winter_morning,1,6,9,H3,129
Winter_morning,1,6,10,H3,130
Winter_morning,1,6,11,H3,131
Winter_afternoon,1,6,12,H4,132
Winter_afternoon,1,6,13,H4,133
Winter_afternoon,1,6,14,H4,134
Winter_sunset,1,6,15,H5,135
Winter_sunset,1,6,16,H5,136
Winter_sunset,1,6,17,H5,137
Winter_evening,1,6,18,H6,138
Winter_evening,1,6,19,H6,139
Winter_evening,1,6,20,H6,140
Winter_evening,1,6,21,H6,141
Winter_evening,1,6,22,H6,142
Winter_night,1,6,23,H1,143
Winter_night,1,6,24,H1,144
Winter_night,1,7,1,H1,145
