region,class,timeslice,cfmean
p1,1,H1,0.0
p1,1,H10,0.0
p1,1,H11,0.0
p1,1,H12,0.0
p1,1,H13,0.0
p1,1,H14,0.0001
p1,1,H15,0.0001
p1,1,H16,0.0
p1,1,H17,0.0
p1,1,H2,9e-05
p1,1,H3,0.0
p1,1,H4,0.0
p1,1,H5,0.0
p1,1,H6,0.0
p1,1,H7,0.0
p1,1,H8,0.0
p1,1,H9,0.0
p1,2,H1,0.0
p1,2,H10,0.0
p1,2,H11,0.0
p1,2,H12,0.0
p1,2,H13,0.0
p1,2,H14,0.00113
p1,2,H15,0.00038
p1,2,H16,0.0
p1,2,H17,0.0006
p1,2,H2,0.00123
p1,2,H3,0.0006
p1,2,H4,0.0
p1,2,H5,0.0
p1,2,H6,0.0
p1,2,H7,0.0
p1,2,H8,0.0
p1,2,H9,0.0
p1,3,H1,0.0
p1,3,H10,0.0
p1,3,H11,0.0
p1,3,H12,0.0
p1,3,H13,0.0
p1,3,H14,0.00399
p1,3,H15,0.00282
p1,3,H16,0.0
p1,3,H17,0.00507
p1,3,H2,0.00486
p1,3,H3,0.00507
p1,3,H4,0.0
p1,3,H5,0.0
p1,3,H6,0.0
p1,3,H7,0.0
p1,3,H8,0.0
p1,3,H9,0.0
p10,5,H1,0.0
p10,5,H10,0.0
p10,5,H11,0.0
p10,5,H12,0.0
p10,5,H13,0.0
p10,5,H14,0.0187
p10,5,H15,0.01133
p10,5,H16,0.0
p10,5,H17,0.01129
p10,5,H2,0.02146
p10,5,H3,0.01129
p10,5,H4,0.0
p10,5,H5,0.0
p10,5,H6,0.00015
p10,5,H7,0.0
p10,5,H8,0.0
p10,5,H9,0.0
p10,6,H1,0.0
p10,6,H10,0.0
p10,6,H11,0.0
p10,6,H12,0.0
p10,6,H13,0.0
p10,6,H14,0.03171
p10,6,H15,0.0174
p10,6,H16,0.0
p10,6,H17,0.01272
p10,6,H2,0.0234
p10,6,H3,0.01272
p10,6,H4,0.0
p10,6,H5,0.0
p10,6,H6,0.00019
p10,6,H7,0.00033
p10,6,H8,0.0
p10,6,H9,0.0
p10,7,H1,0.0
p10,7,H10,0.0
p10,7,H11,0.0
p10,7,H12,0.0
p10,7,H13,0.0
p10,7,H14,0.02626
p10,7,H15,0.01086
p10,7,H16,0.0
p10,7,H17,0.00384
p10,7,H2,0.01191
p10,7,H3,0.00384
p10,7,H4,0.0
p10,7,H5,0.0
p10,7,H6,0.0
p10,7,H7,0.0
p10,7,H8,0.0
p10,7,H9,0.0
p100,3,H1,0.0
p100,3,H10,0.0
p100,3,H11,0.0
p100,3,H12,0.0
p100,3,H13,0.0
p100,3,H14,0.00419
p100,3,H15,0.00276
p100,3,H16,0.0
p100,3,H17,0.00072
p100,3,H2,0.00038
p100,3,H3,0.00072
p100,3,H4,0.0
p100,3,H5,0.0
p100,3,H6,0.0
p100,3,H7,0.0
p100,3,H8,0.0
p100,3,H9,0.0
p101,4,H1,0.0
p101,4,H10,0.0
p101,4,H11,0.0
p101,4,H12,0.0
p101,4,H13,0.0
p101,4,H14,0.0025
p101,4,H15,0.00216
p101,4,H16,0.0
p101,4,H17,0.00027
p101,4,H2,0.00016
p101,4,H3,0.00027
p101,4,H4,0.0
p101,4,H5,0.0
p101,4,H6,0.0
p101,4,H7,0.0
p101,4,H8,0.0
p101,4,H9,0.0
p101,5,H1,0.0
p101,5,H10,8e-05
p101,5,H11,7e-05
p101,5,H12,0.0
p101,5,H13,0.0
p101,5,H14,0.00771
p101,5,H15,0.00479
p101,5,H16,0.0
p101,5,H17,0.00088
p101,5,H2,0.00192
p101,5,H3,0.00088
p101,5,H4,0.0
p101,5,H5,0.0
p101,5,H6,0.0
p101,5,H7,0.0
p101,5,H8,0.0
p101,5,H9,0.0
p102,5,H1,0.0
p102,5,H10,5e-05
p102,5,H11,0.0
p102,5,H12,0.0
p102,5,H13,0.0
p102,5,H14,0.00805
p102,5,H15,0.00682
p102,5,H16,0.0
p102,5,H17,0.00177
p102,5,H2,0.00286
p102,5,H3,0.00177
p102,5,H4,0.0
p102,5,H5,0.0
p102,5,H6,6e-05
p102,5,H7,0.0
p102,5,H8,0.0
p102,5,H9,0.0
p103,2,H1,0.0
p103,2,H10,0.0
p103,2,H11,0.0
p103,2,H12,0.0
p103,2,H13,0.0
p103,2,H14,0.01182
p103,2,H15,0.01232
p103,2,H16,0.0
p103,2,H17,0.00403
p103,2,H2,0.00432
p103,2,H3,0.00403
p103,2,H4,0.0
p103,2,H5,0.0
p103,2,H6,0.0
p103,2,H7,0.0
p103,2,H8,0.0
p103,2,H9,0.0
p103,3,H1,0.0
p103,3,H10,0.0
p103,3,H11,0.0
p103,3,H12,0.0
p103,3,H13,0.0
p103,3,H14,0.01359
p103,3,H15,0.01084
p103,3,H16,0.0
p103,3,H17,0.00679
p103,3,H2,0.0072
p103,3,H3,0.00679
p103,3,H4,0.0
p103,3,H5,0.0
p103,3,H6,7e-05
p103,3,H7,0.0
p103,3,H8,0.0
p103,3,H9,0.0
p104,2,H1,0.0
p104,2,H10,0.0
p104,2,H11,0.0
p104,2,H12,0.0
p104,2,H13,0.0
p104,2,H14,0.01442
p104,2,H15,0.01697
p104,2,H16,0.0
p104,2,H17,0.00875
p104,2,H2,0.0081
p104,2,H3,0.00875
p104,2,H4,0.0
p104,2,H5,0.0
p104,2,H6,0.0
p104,2,H7,0.0
p104,2,H8,0.0
p104,2,H9,0.0
p104,3,H1,0.0
p104,3,H10,0.0
p104,3,H11,0.0
p104,3,H12,0.0
p104,3,H13,0.0
p104,3,H14,0.01514
p104,3,H15,0.01777
p104,3,H16,0.0
p104,3,H17,0.0091
p104,3,H2,0.00917
p104,3,H3,0.0091
p104,3,H4,0.0
p104,3,H5,0.0
p104,3,H6,7e-05
p104,3,H7,0.0
p104,3,H8,0.0
p104,3,H9,0.0
p105,2,H1,0.0
p105,2,H10,0.0
p105,2,H11,0.0
p105,2,H12,0.0
p105,2,H13,0.0
p105,2,H14,0.01415
p105,2,H15,0.01468
p105,2,H16,0.0
p105,2,H17,0.00709
p105,2,H2,0.00795
p105,2,H3,0.00709
p105,2,H4,0.0
p105,2,H5,0.0
p105,2,H6,0.0
p105,2,H7,0.0
p105,2,H8,0.0
p105,2,H9,0.0
p105,3,H1,0.0
p105,3,H10,0.0
p105,3,H11,0.0
p105,3,H12,0.0
p105,3,H13,0.0
p105,3,H14,0.01296
p105,3,H15,0.01124
p105,3,H16,0.0
p105,3,H17,0.00567
p105,3,H2,0.00693
p105,3,H3,0.00567
p105,3,H4,0.0
p105,3,H5,0.0
p105,3,H6,7e-05
p105,3,H7,0.0
p105,3,H8,0.0
p105,3,H9,0.0
p106,3,H1,0.0
p106,3,H10,0.0
p106,3,H11,0.0
p106,3,H12,0.0
p106,3,H13,0.0
p106,3,H14,0.01189
p106,3,H15,0.01093
p106,3,H16,0.0
p106,3,H17,0.00588
p106,3,H2,0.00699
p106,3,H3,0.00588
p106,3,H4,0.0
p106,3,H5,0.0
p106,3,H6,0.0
p106,3,H7,0.00027
p106,3,H8,0.0
p106,3,H9,0.0
p107,3,H1,0.0
p107,3,H10,0.0
p107,3,H11,0.0
p107,3,H12,0.0
p107,3,H13,0.0
p107,3,H14,0.0071
p107,3,H15,0.00479
p107,3,H16,0.0
p107,3,H17,0.00203
p107,3,H2,0.00329
p107,3,H3,0.00203
p107,3,H4,0.0
p107,3,H5,0.0
p107,3,H6,0.0
p107,3,H7,0.0
p107,3,H8,0.0
p107,3,H9,0.0
p108,3,H1,0.0
p108,3,H10,0.0
p108,3,H11,0.0
p108,3,H12,0.0
p108,3,H13,0.0
p108,3,H14,0.00876
p108,3,H15,0.00424
p108,3,H16,0.0
p108,3,H17,0.00141
p108,3,H2,0.00384
p108,3,H3,0.00141
p108,3,H4,0.0
p108,3,H5,0.0
p108,3,H6,0.0
p108,3,H7,0.0
p108,3,H8,0.0
p108,3,H9,0.0
p109,3,H1,0.0
p109,3,H10,0.0
p109,3,H11,0.0
p109,3,H12,0.0
p109,3,H13,0.0
p109,3,H14,0.00604
p109,3,H15,0.00424
p109,3,H16,0.0
p109,3,H17,0.00114
p109,3,H2,0.00254
p109,3,H3,0.00114
p109,3,H4,0.0
p109,3,H5,0.0
p109,3,H6,0.0
p109,3,H7,0.0
p109,3,H8,0.0
p109,3,H9,0.0
