region,class,timeslice,cfmean
s1,6,H1,0.16618
s1,6,H10,0.54807
s1,6,H11,0.51712
s1,6,H12,0.52512
s1,6,H13,0.35968
s1,6,H14,0.34628
s1,6,H15,0.40565
s1,6,H16,0.39443
s1,6,H17,0.19897
s1,6,H2,0.13535
s1,6,H3,0.19897
s1,6,H4,0.21207
s1,6,H5,0.32606
s1,6,H6,0.27754
s1,6,H7,0.29653
s1,6,H8,0.33734
s1,6,H9,0.52886
s1,13,H1,0.19837
s1,13,H10,0.54512
s1,13,H11,0.53708
s1,13,H12,0.53715
s1,13,H13,0.37779
s1,13,H14,0.37909
s1,13,H15,0.39536
s1,13,H16,0.39962
s1,13,H17,0.20652
s1,13,H2,0.16207
s1,13,H3,0.20652
s1,13,H4,0.23569
s1,13,H5,0.32922
s1,13,H6,0.28837
s1,13,H7,0.31157
s1,13,H8,0.35749
s1,13,H9,0.5486
s1,14,H1,0.44539
s1,14,H10,0.27106
s1,14,H11,0.24131
s1,14,H12,0.25973
s1,14,H13,0.24856
s1,14,H14,0.19787
s1,14,H15,0.25795
s1,14,H16,0.36312
s1,14,H17,0.48866
s1,14,H2,0.29265
s1,14,H3,0.48866
s1,14,H4,0.67144
s1,14,H5,0.23474
s1,14,H6,0.15948
s1,14,H7,0.19675
s1,14,H8,0.29729
s1,14,H9,0.23415
s10,6,H1,0.16052
s10,6,H10,0.52786
s10,6,H11,0.51358
s10,6,H12,0.50057
s10,6,H13,0.34613
s10,6,H14,0.34923
s10,6,H15,0.42075
s10,6,H16,0.39741
s10,6,H17,0.21889
s10,6,H2,0.16271
s10,6,H3,0.21889
s10,6,H4,0.19901
s10,6,H5,0.33948
s10,6,H6,0.30491
s10,6,H7,0.36145
s10,6,H8,0.38123
s10,6,H9,0.50534
s10,13,H1,0.2176
s10,13,H10,0.52573
s10,13,H11,0.51626
s10,13,H12,0.50273
s10,13,H13,0.38746
s10,13,H14,0.38129
s10,13,H15,0.42586
s10,13,H16,0.42433
s10,13,H17,0.25061
s10,13,H2,0.20519
s10,13,H3,0.25061
s10,13,H4,0.25354
s10,13,H5,0.38899
s10,13,H6,0.35433
s10,13,H7,0.40864
s10,13,H8,0.43814
s10,13,H9,0.51122
s125,7,H1,0.17338
s125,7,H10,0.21526
s125,7,H11,0.25742
s125,7,H12,0.29252
s125,7,H13,0.3136
s125,7,H14,0.2784
s125,7,H15,0.36665
s125,7,H16,0.39691
s125,7,H17,0.23861
s125,7,H2,0.16152
s125,7,H3,0.23861
s125,7,H4,0.25176
s125,7,H5,0.24783
s125,7,H6,0.24235
s125,7,H7,0.28052
s125,7,H8,0.32938
s125,7,H9,0.239
s125,13,H1,0.25966
s125,13,H10,0.34844
s125,13,H11,0.36574
s125,13,H12,0.42153
s125,13,H13,0.38909
s125,13,H14,0.33295
s125,13,H15,0.36064
s125,13,H16,0.3841
s125,13,H17,0.29038
s125,13,H2,0.24272
s125,13,H3,0.29038
s125,13,H4,0.29726
s125,13,H5,0.32931
s125,13,H6,0.33368
s125,13,H7,0.34742
s125,13,H8,0.38931
s125,13,H9,0.36675
s125,14,H1,0.19423
s125,14,H10,0.24345
s125,14,H11,0.2806
s125,14,H12,0.32885
s125,14,H13,0.29151
s125,14,H14,0.26331
s125,14,H15,0.32399
s125,14,H16,0.32437
s125,14,H17,0.2444
s125,14,H2,0.18708
s125,14,H3,0.2444
s125,14,H4,0.23162
s125,14,H5,0.27252
s125,14,H6,0.26986
s125,14,H7,0.28321
s125,14,H8,0.31465
s125,14,H9,0.26732
s129,5,H1,0.28455
s129,5,H10,0.37305
s129,5,H11,0.39849
s129,5,H12,0.46486
s129,5,H13,0.43866
s129,5,H14,0.3413
s129,5,H15,0.36549
s129,5,H16,0.4542
s129,5,H17,0.23955
s129,5,H2,0.23885
s129,5,H3,0.23955
s129,5,H4,0.3046
s129,5,H5,0.34631
s129,5,H6,0.34869
s129,5,H7,0.33756
s129,5,H8,0.40344
s129,5,H9,0.41151
s129,6,H1,0.24756
s129,6,H10,0.31674
s129,6,H11,0.3503
s129,6,H12,0.40451
s129,6,H13,0.36952
s129,6,H14,0.2929
s129,6,H15,0.34153
s129,6,H16,0.40638
s129,6,H17,0.24452
s129,6,H2,0.20488
s129,6,H3,0.24452
s129,6,H4,0.28048
s129,6,H5,0.30939
s129,6,H6,0.28777
s129,6,H7,0.30169
s129,6,H8,0.37673
