region,class,timeslice,cfmean
s1,7,H1,0.20101
s1,7,H10,0.56301
s1,7,H11,0.56781
s1,7,H12,0.57915
s1,7,H13,0.37951
s1,7,H14,0.3695
s1,7,H15,0.40993
s1,7,H16,0.40418
s1,7,H17,0.24268
s1,7,H2,0.1668
s1,7,H3,0.24268
s1,7,H4,0.25474
s1,7,H5,0.36754
s1,7,H6,0.35141
s1,7,H7,0.34369
s1,7,H8,0.35306
s1,7,H9,0.58337
s1,8,H1,0.19226
s1,8,H10,0.5093
s1,8,H11,0.49565
s1,8,H12,0.53316
s1,8,H13,0.3665
s1,8,H14,0.33893
s1,8,H15,0.39036
s1,8,H16,0.3851
s1,8,H17,0.20385
s1,8,H2,0.13516
s1,8,H3,0.20385
s1,8,H4,0.24129
s1,8,H5,0.3373
s1,8,H6,0.25853
s1,8,H7,0.26493
s1,8,H8,0.35275
s1,8,H9,0.53701
s1,9,H1,0.16778
s1,9,H10,0.46812
s1,9,H11,0.459
s1,9,H12,0.48779
s1,9,H13,0.31305
s1,9,H14,0.29687
s1,9,H15,0.34639
s1,9,H16,0.33672
s1,9,H17,0.17163
s1,9,H2,0.10496
s1,9,H3,0.17163
s1,9,H4,0.21779
s1,9,H5,0.29117
s1,9,H6,0.22392
s1,9,H7,0.23443
s1,9,H8,0.31529
s1,9,H9,0.49169
s1,10,H1,0.11856
s1,10,H10,0.36815
s1,10,H11,0.3581
s1,10,H12,0.37289
s1,10,H13,0.24603
s1,10,H14,0.24497
s1,10,H15,0.32494
s1,10,H16,0.29989
s1,10,H17,0.19052
s1,10,H2,0.08521
s1,10,H3,0.19052
s1,10,H4,0.22495
s1,10,H5,0.18648
s1,10,H6,0.14762
s1,10,H7,0.18731
s1,10,H8,0.24608
s1,10,H9,0.38129
s10,7,H1,0.19004
s10,7,H10,0.5337
s10,7,H11,0.5352
s10,7,H12,0.55186
s10,7,H13,0.40903
s10,7,H14,0.3955
s10,7,H15,0.44387
s10,7,H16,0.43724
s10,7,H17,0.23648
s10,7,H2,0.1645
s10,7,H3,0.23648
s10,7,H4,0.23404
s10,7,H5,0.38449
s10,7,H6,0.32258
s10,7,H7,0.34438
s10,7,H8,0.39354
s10,7,H9,0.56616
s10,8,H1,0.17939
s10,8,H10,0.46694
s10,8,H11,0.48501
s10,8,H12,0.47759
s10,8,H13,0.36885
s10,8,H14,0.35332
s10,8,H15,0.42598
s10,8,H16,0.41148
s10,8,H17,0.23115
s10,8,H2,0.1382
s10,8,H3,0.23115
s10,8,H4,0.25908
s10,8,H5,0.35172
s10,8,H6,0.28582
s10,8,H7,0.33475
s10,8,H8,0.39123
s10,8,H9,0.4846
s10,9,H1,0.18679
s10,9,H10,0.45658
s10,9,H11,0.44615
s10,9,H12,0.45743
s10,9,H13,0.33422
s10,9,H14,0.31585
s10,9,H15,0.37027
s10,9,H16,0.37637
s10,9,H17,0.19992
s10,9,H2,0.1032
s10,9,H3,0.19992
s10,9,H4,0.29169
s10,9,H5,0.31401
s10,9,H6,0.23565
s10,9,H7,0.28112
s10,9,H8,0.3868
s10,9,H9,0.47105
s10,10,H1,0.10926
s10,10,H10,0.3853
s10,10,H11,0.40299
s10,10,H12,0.38629
s10,10,H13,0.26279
s10,10,H14,0.28549
s10,10,H15,0.35458
s10,10,H16,0.31873
s10,10,H17,0.17354
s10,10,H2,0.08586
s10,10,H3,0.17354
s10,10,H4,0.20856
s10,10,H5,0.22414
s10,10,H6,0.1819
s10,10,H7,0.24404
s10,10,H8,0.29754
s10,10,H9,0.39128
s100,2,H1,0.48008
s100,2,H10,0.49568
s100,2,H11,0.49057
s100,2,H12,0.6012
s100,2,H13,0.64135
s100,2,H14,0.47932
s100,2,H15,0.48498
s100,2,H16,0.57753
s100,2,H17,0.34804
s100,2,H2,0.32828
s100,2,H3,0.34804
s100,2,H4,0.45244
s100,2,H5,0.59236
s100,2,H6,0.43795
s100,2,H7,0.46204
s100,2,H8,0.58736
s100,2,H9,0.57885
s100,3,H1,0.46773
s100,3,H10,0.48141
s100,3,H11,0.47866
s100,3,H12,0.5812
s100,3,H13,0.63927
s100,3,H14,0.48312
s100,3,H15,0.47708
s100,3,H16,0.55741
s100,3,H17,0.32653
s100,3,H2,0.30196
s100,3,H3,0.32653
s100,3,H4,0.45366
s100,3,H5,0.59536
s100,3,H6,0.42521
s100,3,H7,0.43937
s100,3,H8,0.56162
s100,3,H9,0.55528
s100,4,H1,0.4722
s100,4,H10,0.4564
s100,4,H11,0.46277
s100,4,H12,0.57027
s100,4,H13,0.62724
s100,4,H14,0.47017
s100,4,H15,0.47124
s100,4,H16,0.55803
s100,4,H17,0.32531
s100,4,H2,0.2965
s100,4,H3,0.32531
s100,4,H4,0.45506
s100,4,H5,0.59086
s100,4,H6,0.41289
s100,4,H7,0.43967
s100,4,H8,0.56977
s100,4,H9,0.54181
s100,5,H1,0.45706
s100,5,H10,0.43934
s100,5,H11,0.44775
s100,5,H12,0.5604
s100,5,H13,0.61947
s100,5,H14,0.45352
s100,5,H15,0.46676
s100,5,H16,0.55229
s100,5,H17,0.32599
s100,5,H2,0.28697
s100,5,H3,0.32599
s100,5,H4,0.44391
s100,5,H5,0.57563
s100,5,H6,0.40139
s100,5,H7,0.44035
s100,5,H8,0.56709
s100,5,H9,0.52982
s100,6,H1,0.42198
s100,6,H10,0.39358
s100,6,H11,0.41904
s100,6,H12,0.51763
