region,class,timeslice,cfcorr
s1,6,H1,0.4656753926005648
s1,6,H10,1.4839296506642976
s1,6,H11,1.4727512174588524
s1,6,H12,1.511812915149356
s1,6,H13,0.9268083559044697
s1,6,H14,0.9215336558470604
s1,6,H15,1.0002542818284814
s1,6,H16,0.9489909256955029
s1,6,H17,0.5750020019902696
s1,6,H2,0.4544536662585335
s1,6,H3,0.5750020019902696
s1,6,H4,0.49599502587831396
s1,6,H5,0.9059340668811346
s1,6,H6,0.8911441359945873
s1,6,H7,0.8567272608185759
s1,6,H8,0.8310042859852043
s1,6,H9,1.5197780269731882
s1,7,H1,0.49184286681261474
s1,7,H10,1.3934119114795116
s1,7,H11,1.424983193220394
s1,7,H12,1.481180160936551
s1,7,H13,0.9604151193539098
s1,7,H14,0.9284756096723148
s1,7,H15,1.0495315080628769
s1,7,H16,1.001021736490752
s1,7,H17,0.6160970676002765
s1,7,H2,0.42626754374034215
s1,7,H3,0.6160970676002765
s1,7,H4,0.6188906479885126
s1,7,H5,0.9421402310932353
s1,7,H6,0.8644574692692644
s1,7,H7,0.8483437762875191
s1,7,H8,0.8849457930521877
s1,7,H9,1.4704316284188834
s1,8,H1,0.4668355791601374
s1,8,H10,1.461457631013528
s1,8,H11,1.3786326114857252
s1,8,H12,1.4835905743837616
s1,8,H13,1.0300494630399448
s1,8,H14,0.9199786395082326
s1,8,H15,1.0475372775319611
s1,8,H16,1.030874841463882
s1,8,H17,0.5516290160479944
s1,8,H2,0.3224429005691099
s1,8,H3,0.5516290160479944
s1,8,H4,0.5584546466539164
s1,8,H5,0.952814708492393
s1,8,H6,0.7241291404847043
s1,8,H7,0.7449262396349051
s1,8,H8,0.9605371657202825
s1,8,H9,1.5730868850184285
s1,9,H1,0.4306292387959498
s1,9,H10,1.4515821613213253
s1,9,H11,1.370878907516861
s1,9,H12,1.5094455468813133
s1,9,H13,1.0395096937412551
s1,9,H14,0.9206960473131347
s1,9,H15,1.0935253302443553
s1,9,H16,1.1109631063936785
s1,9,H17,0.48978863003818585
s1,9,H2,0.27780667428064326
s1,9,H3,0.48978863003818585
s1,9,H4,0.588829427039047
s1,9,H5,0.9432422900255025
s1,9,H6,0.6587663891006403
s1,9,H7,0.7026248482182544
s1,9,H8,1.0706577964396922
s1,9,H9,1.582263639977731
s1,10,H1,0.25631246472731484
s1,10,H10,1.5518698054116984
s1,10,H11,1.5434039136043287
s1,10,H12,1.5909363096737812
s1,10,H13,0.9666291970237266
s1,10,H14,1.0412394721043876
s1,10,H15,1.2959832095303374
s1,10,H16,1.0913742473810086
s1,10,H17,0.6086098021119085
s1,10,H2,0.3115893683449153
s1,10,H3,0.6086098021119085
s1,10,H4,0.45678479703423974
s1,10,H5,0.6834640017068084
s1,10,H6,0.5796548943237086
s1,10,H7,0.7020708243770726
s1,10,H8,0.8701807212112249
s1,10,H9,1.623885416958097
s10,7,H1,0.3157378995060629
