r,h,i,value
s100,H1,csp1_1,0.000362704
s100,H10,csp1_1,0.170288571
s100,H11,csp1_1,0.193010625
s100,H13,csp1_1,3.29E-05
s100,H14,csp1_1,0.372159394
s100,H15,csp1_1,0.433775
s100,H16,csp1_1,0.027419457
s100,H17,csp1_1,0.54097894
s100,H2,csp1_1,0.512247205
s100,H3,csp1_1,0.54097894
s100,H4,csp1_1,0.081065
s100,H6,csp1_1,0.360597307
s100,H7,csp1_1,0.367143238
s100,H8,csp1_1,0.006011475
s101,H1,csp1_1,0.000174524
s101,H10,csp1_1,0.175733512
s101,H11,csp1_1,0.195886146
s101,H14,csp1_1,0.385887966
s101,H15,csp1_1,0.430588723
s101,H16,csp1_1,0.026953587
s101,H17,csp1_1,0.556805299
s101,H2,csp1_1,0.504989519
s101,H3,csp1_1,0.556805299
s101,H4,csp1_1,0.084900326
s101,H6,csp1_1,0.3921863
s101,H7,csp1_1,0.390033811
s101,H8,csp1_1,0.005389508
s104,H1,csp1_1,0.000117052
s104,H10,csp1_3,0.21478869
s104,H10,csp1_2,0.19913625
s104,H10,csp1_1,0.195855119
s104,H11,csp1_3,0.249329583
s104,H11,csp1_2,0.221114271
s104,H11,csp1_1,0.213025104
s104,H14,csp1_3,0.467688742
s104,H14,csp1_2,0.438594953
s104,H14,csp1_1,0.403931444
s104,H15,csp1_3,0.515446467
s104,H15,csp1_2,0.490890625
s104,H15,csp1_1,0.437352582
s104,H16,csp1_3,0.037242065
s104,H16,csp1_2,0.035203478
s104,H16,csp1_1,0.027284239
s104,H17,csp1_3,0.616875543
s104,H17,csp1_2,0.591433967
s104,H17,csp1_1,0.558080571
s104,H2,csp1_3,0.574219953
s104,H2,csp1_2,0.542639596
s104,H2,csp1_1,0.513404581
s104,H3,csp1_3,0.616875543
s104,H3,csp1_2,0.591433967
s104,H3,csp1_1,0.558080571
s104,H4,csp1_3,0.088044239
s104,H4,csp1_2,0.083054891
s104,H4,csp1_1,0.075536522
