region,class,timeslice,cfmean
s1,7,H1,0.18169
s1,7,H10,0.58942
s1,7,H11,0.57106
s1,7,H12,0.60109
s1,7,H13,0.39822
s1,7,H14,0.37839
s1,7,H15,0.42383
s1,7,H16,0.41237
s1,7,H17,0.21197
s1,7,H2,0.15683
s1,7,H3,0.21197
s1,7,H4,0.21152
s1,7,H5,0.37735
s1,7,H6,0.33699
s1,7,H7,0.32966
s1,7,H8,0.37471
s1,7,H9,0.6119
s1,8,H1,0.17348
s1,8,H10,0.5264
s1,8,H11,0.51309
s1,8,H12,0.54637
s1,8,H13,0.3783
s1,8,H14,0.3511
s1,8,H15,0.39931
s1,8,H16,0.39022
s1,8,H17,0.19679
s1,8,H2,0.13741
s1,8,H3,0.19679
s1,8,H4,0.21196
s1,8,H5,0.35129
s1,8,H6,0.27861
s1,8,H7,0.27874
s1,8,H8,0.36019
s1,8,H9,0.54953
s1,9,H1,0.14827
s1,9,H10,0.46167
s1,9,H11,0.44966
s1,9,H12,0.48282
s1,9,H13,0.31511
s1,9,H14,0.29654
s1,9,H15,0.35403
s1,9,H16,0.34398
s1,9,H17,0.17191
s1,9,H2,0.10254
s1,9,H3,0.17191
s1,9,H4,0.20917
s1,9,H5,0.28077
s1,9,H6,0.20446
s1,9,H7,0.2206
s1,9,H8,0.30997
s1,9,H9,0.48601
s1,10,H1,0.11144
s1,10,H10,0.35803
s1,10,H11,0.35742
s1,10,H12,0.3719
s1,10,H13,0.25221
s1,10,H14,0.24884
s1,10,H15,0.30828
s1,10,H16,0.28828
s1,10,H17,0.16613
s1,10,H2,0.09576
s1,10,H3,0.16613
s1,10,H4,0.17761
s1,10,H5,0.20128
s1,10,H6,0.16044
s1,10,H7,0.17482
s1,10,H8,0.22522
s1,10,H9,0.36783
s10,6,H1,0.26373
s10,6,H10,0.55906
s10,6,H11,0.53031
s10,6,H12,0.54305
s10,6,H13,0.44325
s10,6,H14,0.4096
s10,6,H15,0.45292
s10,6,H16,0.44768
s10,6,H17,0.33235
s10,6,H2,0.22433
s10,6,H3,0.33235
s10,6,H4,0.30267
s10,6,H5,0.46204
s10,6,H6,0.40092
s10,6,H7,0.42866
s10,6,H8,0.48357
s10,6,H9,0.55613
s10,7,H1,0.17437
s10,7,H10,0.55859
s10,7,H11,0.54776
s10,7,H12,0.56056
s10,7,H13,0.41843
s10,7,H14,0.40491
s10,7,H15,0.44208
s10,7,H16,0.43482
s10,7,H17,0.22344
s10,7,H2,0.15807
s10,7,H3,0.22344
s10,7,H4,0.20472
s10,7,H5,0.40466
s10,7,H6,0.35103
s10,7,H7,0.369
s10,7,H8,0.41717
s10,7,H9,0.57252
s10,8,H1,0.15559
s10,8,H10,0.51676
s10,8,H11,0.50978
s10,8,H12,0.518
s10,8,H13,0.38867
s10,8,H14,0.37166
s10,8,H15,0.41794
s10,8,H16,0.41207
s10,8,H17,0.20188
s10,8,H2,0.12446
s10,8,H3,0.20188
s10,8,H4,0.21104
s10,8,H5,0.36235
s10,8,H6,0.3031
s10,8,H7,0.3231
s10,8,H8,0.39332
s10,8,H9,0.52943
s10,9,H1,0.12502
s10,9,H10,0.46351
s10,9,H11,0.45671
s10,9,H12,0.45814
s10,9,H13,0.3281
s10,9,H14,0.32392
s10,9,H15,0.38136
s10,9,H16,0.35345
s10,9,H17,0.18762
s10,9,H2,0.09693
s10,9,H3,0.18762
s10,9,H4,0.21526
s10,9,H5,0.28852
s10,9,H6,0.23226
s10,9,H7,0.27672
s10,9,H8,0.34395
s10,9,H9,0.47133
s10,10,H1,0.11152
s10,10,H10,0.38553
s10,10,H11,0.39482
s10,10,H12,0.37948
s10,10,H13,0.27065
s10,10,H14,0.28074
s10,10,H15,0.35645
s10,10,H16,0.31604
s10,10,H17,0.19391
s10,10,H2,0.08565
s10,10,H3,0.19391
s10,10,H4,0.22028
s10,10,H5,0.23235
s10,10,H6,0.18058
s10,10,H7,0.23955
s10,10,H8,0.30237
s10,10,H9,0.38467
s100,4,H1,0.4631
s100,4,H10,0.4515
s100,4,H11,0.45988
s100,4,H12,0.57117
s100,4,H13,0.63268
s100,4,H14,0.46002
s100,4,H15,0.46755
s100,4,H16,0.5654
s100,4,H17,0.32225
s100,4,H2,0.28974
s100,4,H3,0.32225
s100,4,H4,0.44447
s100,4,H5,0.58566
s100,4,H6,0.40451
s100,4,H7,0.42834
s100,4,H8,0.56843
s100,4,H9,0.54062
s100,5,H1,0.44875
s100,5,H10,0.43076
s100,5,H11,0.44719
s100,5,H12,0.55387
s100,5,H13,0.61637
s100,5,H14,0.45658
s100,5,H15,0.46289
s100,5,H16,0.55169
