j,wind-ofs_1,wind-ofs_10,wind-ofs_11,wind-ofs_12,wind-ofs_13,wind-ofs_14,wind-ofs_15,wind-ofs_2,wind-ofs_3,wind-ofs_4,wind-ofs_5,wind-ofs_6,wind-ofs_7,wind-ofs_8,wind-ofs_9,wind-ons_1,wind-ons_10,wind-ons_2,wind-ons_3,wind-ons_4,wind-ons_5,wind-ons_6,wind-ons_7,wind-ons_8,wind-ons_9
2010,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2011,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2012,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2013,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2014,0.453713307,0.448644335,0.417646841,0.374678827,0.353568576,0.325557956,0.31305461,0.429855268,0.418873105,0.406093182,0.368513751,0.505297184,0.498493319,0.487093781,0.475451496,0.476608554,0.114581586,0.465106664,0.453274361,0.438962986,0.411686043,0.368889121,0.313597232,0.250451427,0.187423003
2015,0.453713307,0.448644335,0.417646841,0.374678827,0.353568576,0.325557956,0.31305461,0.429855268,0.418873105,0.406093182,0.368513751,0.505297184,0.498493319,0.487093781,0.475451496,0.476608554,0.114581586,0.465106664,0.453274361,0.438962986,0.411686043,0.368889121,0.313597232,0.250451427,0.187423003
2016,0.453713307,0.448644335,0.417646841,0.374678827,0.353568576,0.325557956,0.31305461,0.429855268,0.418873105,0.406093182,0.368513751,0.505297184,0.498493319,0.487093781,0.475451496,0.476608554,0.114581586,0.465106664,0.453274361,0.438962986,0.411686043,0.368889121,0.313597232,0.250451427,0.187423003
2017,0.455056609,0.449987637,0.418990143,0.376022129,0.354911878,0.326901258,0.314397912,0.43119857,0.420216407,0.407436483,0.369857053,0.506640486,0.499836621,0.488437083,0.476794798,0.47963758,0.118047468,0.468190243,0.456787725,0.442632952,0.41598356,0.37401469,0.318915018,0.255157018,0.192238596
2018,0.45637353,0.451304558,0.420307065,0.37733905,0.3562288,0.328218179,0.315714833,0.432515492,0.421533328,0.408753405,0.371173974,0.507957408,0.501153542,0.489754004,0.478111719,0.48260879,0.121447195,0.471214965,0.460234028,0.446232868,0.420199047,0.379042425,0.324131301,0.259772792,0.196962271
2019,0.457664072,0.4525951,0.421597606,0.378629591,0.357519341,0.32950872,0.317005374,0.433806033,0.42282387,0.410043946,0.372464515,0.509247949,0.502444083,0.491044545,0.479402261,0.485522184,0.124780767,0.474180829,0.46361327,0.449762734,0.424332507,0.383972325,0.329246081,0.264298748,0.201594029
2020,0.458928233,0.45385926,0.422861767,0.379893752,0.358783502,0.330772881,0.318269535,0.435070194,0.42408803,0.411308107,0.373728676,0.51051211,0.503708244,0.492308706,0.480666422,0.488377762,0.128048185,0.477087836,0.466925451,0.453222549,0.428383937,0.388804392,0.334259358,0.268734886,0.206133869
2021,0.460166013,0.455097041,0.424099548,0.381131533,0.360021282,0.332010662,0.319507316,0.436307975,0.425325811,0.412545888,0.374966457,0.51174989,0.504946025,0.493546487,0.481904202,0.491175523,0.131249447,0.479935985,0.470170571,0.456612314,0.43235334,0.393538625,0.339171133,0.273081206,0.210581793
2022,0.461377414,0.456308441,0.425310948,0.382342933,0.361232683,0.333222062,0.320718716,0.437519375,0.426537211,0.413757288,0.376177857,0.512961291,0.506157425,0.494757887,0.483115603,0.493915468,0.134384555,0.482725277,0.473348629,0.45993203,0.436240713,0.398175024,0.343981404,0.27733771,0.214937799
2023,0.462562434,0.457493461,0.426495968,0.383527953,0.362417703,0.334407082,0.321903736,0.438704395,0.427722231,0.414942308,0.377362877,0.514146311,0.507342445,0.495942907,0.484300623,0.496597596,0.137453509,0.485455711,0.476459627,0.463181695,0.440046059,0.40271359,0.348690173,0.281504395,0.219201888
2024,0.463721073,0.458652101,0.427654608,0.384686593,0.363576342,0.335565722,0.323062376,0.439863035,0.428880871,0.416100948,0.378521517,0.51530495,0.508501085,0.497101547,0.485459262,0.499221908,0.140456307,0.488127287,0.479503564,0.466361309,0.443769375,0.407154321,0.353297439,0.285581263,0.22337406
2025,0.464853332,0.45978436,0.428786867,0.385818852,0.364708602,0.336697981,0.324194635,0.440995294,0.43001313,0.417233207,0.379653776,0.51643721,0.509633344,0.498233806,0.486591521,0.501788404,0.143392951,0.490740006,0.482480439,0.469470874,0.447410664,0.411497218,0.357803203,0.289568313,0.227454315
