region,class,timeslice,cfmean
s1,13,H1,0.20224
s1,13,H10,0.54279
s1,13,H11,0.53937
s1,13,H12,0.53875
s1,13,H13,0.37939
s1,13,H14,0.38206
s1,13,H15,0.39244
s1,13,H16,0.39827
s1,13,H17,0.20696
s1,13,H2,0.16544
s1,13,H3,0.20696
s1,13,H4,0.23875
s1,13,H5,0.32912
s1,13,H6,0.28838
s1,13,H7,0.31087
s1,13,H8,0.35831
s1,13,H9,0.55094
s10,13,H1,0.22417
s10,13,H10,0.5349
s10,13,H11,0.53155
s10,13,H12,0.51792
s10,13,H13,0.40181
s10,13,H14,0.39302
s10,13,H15,0.42962
s10,13,H16,0.43118
s10,13,H17,0.24955
s10,13,H2,0.21076
s10,13,H3,0.24955
s10,13,H4,0.26207
s10,13,H5,0.3955
s10,13,H6,0.35549
s10,13,H7,0.4052
s10,13,H8,0.44477
s10,13,H9,0.51537
s125,13,H1,0.28286
s125,13,H10,0.38108
s125,13,H11,0.36784
s125,13,H12,0.44306
s125,13,H13,0.4229
s125,13,H14,0.36491
s125,13,H15,0.36163
s125,13,H16,0.41084
s125,13,H17,0.28304
s125,13,H2,0.26008
s125,13,H3,0.28304
s125,13,H4,0.31693
s125,13,H5,0.34765
s125,13,H6,0.35302
s125,13,H7,0.35394
s125,13,H8,0.4047
s125,13,H9,0.3904
s129,13,H1,0.27521
s129,13,H10,0.36799
s129,13,H11,0.38771
s129,13,H12,0.44825
s129,13,H13,0.4189
s129,13,H14,0.34661
s129,13,H15,0.38326
s129,13,H16,0.42559
s129,13,H17,0.27837
s129,13,H2,0.25521
s129,13,H3,0.27837
s129,13,H4,0.30924
s129,13,H5,0.32489
s129,13,H6,0.34186
s129,13,H7,0.35735
s129,13,H8,0.39643
s129,13,H9,0.38401
s13,13,H1,0.27452
s13,13,H10,0.49535
s13,13,H11,0.49283
s13,13,H12,0.48018
s13,13,H13,0.41174
s13,13,H14,0.40008
s13,13,H15,0.4442
s13,13,H16,0.44596
s13,13,H17,0.30566
s13,13,H2,0.24725
s13,13,H3,0.30566
s13,13,H4,0.31896
s13,13,H5,0.42532
s13,13,H6,0.40279
s13,13,H7,0.44395
s13,13,H8,0.47011
s13,13,H9,0.48247
s14,8,H1,0.60914
s14,8,H10,0.4248
s14,8,H11,0.45302
s14,8,H12,0.4214
s14,8,H13,0.48142
s14,8,H14,0.45932
s14,8,H15,0.46683
s14,8,H16,0.46478
s14,8,H17,0.62084
s14,8,H2,0.61624
s14,8,H3,0.62084
s14,8,H4,0.62893
s14,8,H5,0.46926
s14,8,H6,0.47089
s14,8,H7,0.48605
s14,8,H8,0.49546
s14,8,H9,0.39856
s14,9,H1,0.53725
s14,9,H10,0.44967
s14,9,H11,0.45908
s14,9,H12,0.44479
s14,9,H13,0.46968
s14,9,H14,0.46876
s14,9,H15,0.46905
s14,9,H16,0.47804
s14,9,H17,0.5952
s14,9,H2,0.55557
s14,9,H3,0.5952
s14,9,H4,0.57525
s14,9,H5,0.51829
s14,9,H6,0.52727
s14,9,H7,0.54716
s14,9,H8,0.52658
s14,9,H9,0.43684
s14,10,H1,0.50936
s14,10,H10,0.45391
s14,10,H11,0.47172
s14,10,H12,0.4483
s14,10,H13,0.46121
s14,10,H14,0.46296
s14,10,H15,0.46984
s14,10,H16,0.48021
s14,10,H17,0.56744
s14,10,H2,0.52415
s14,10,H3,0.56744
s14,10,H4,0.54639
s14,10,H5,0.51531
s14,10,H6,0.526
s14,10,H7,0.54679
s14,10,H8,0.51735
s14,10,H9,0.44242
s14,11,H1,0.45169
s14,11,H10,0.45908
s14,11,H11,0.46426
s14,11,H12,0.45145
s14,11,H13,0.45373
