region,class,timeslice,cfmean
p1,1,H1,0.02138
p1,1,H10,0.07747
p1,1,H11,0.06208
p1,1,H12,0.0
p1,1,H13,0.00877
p1,1,H14,0.28828
p1,1,H15,0.2773
p1,1,H16,0.02101
p1,1,H17,0.3798
p1,1,H2,0.35655
p1,1,H3,0.3798
p1,1,H4,0.04966
p1,1,H5,0.00114
p1,1,H6,0.30303
p1,1,H7,0.28006
p1,1,H8,0.00377
p1,1,H9,0.0
p1,2,H1,0.03173
p1,2,H10,0.1263
p1,2,H11,0.09171
p1,2,H12,0.0
p1,2,H13,0.01264
p1,2,H14,0.41301
p1,2,H15,0.38215
p1,2,H16,0.02158
p1,2,H17,0.48685
p1,2,H2,0.52117
p1,2,H3,0.48685
p1,2,H4,0.06522
p1,2,H5,0.00184
p1,2,H6,0.36668
p1,2,H7,0.30555
p1,2,H8,0.00356
p1,2,H9,0.0
p1,3,H1,0.03559
p1,3,H10,0.14149
p1,3,H11,0.09959
p1,3,H12,0.0
p1,3,H13,0.0147
p1,3,H14,0.44244
p1,3,H15,0.38822
p1,3,H16,0.02197
p1,3,H17,0.55384
p1,3,H2,0.56187
p1,3,H3,0.55384
p1,3,H4,0.07398
p1,3,H5,0.00214
p1,3,H6,0.38513
p1,3,H7,0.32522
p1,3,H8,0.00295
p1,3,H9,0.0
p10,5,H1,0.0321
p10,5,H10,0.29164
p10,5,H11,0.247
p10,5,H12,0.0
p10,5,H13,0.01553
p10,5,H14,0.58518
p10,5,H15,0.54038
p10,5,H16,0.01908
p10,5,H17,0.63442
p10,5,H2,0.65875
p10,5,H3,0.63442
p10,5,H4,0.05074
p10,5,H5,0.00211
p10,5,H6,0.52326
p10,5,H7,0.42683
p10,5,H8,0.00074
p10,5,H9,0.0
p10,6,H1,0.03932
p10,6,H10,0.39863
p10,6,H11,0.30119
p10,6,H12,0.0
p10,6,H13,0.02024
p10,6,H14,0.63767
p10,6,H15,0.57288
p10,6,H16,0.01434
p10,6,H17,0.63061
p10,6,H2,0.6669
p10,6,H3,0.63061
p10,6,H4,0.04208
p10,6,H5,0.00472
p10,6,H6,0.57212
p10,6,H7,0.44577
p10,6,H8,0.0
p10,6,H9,0.0
p10,7,H1,0.0359
p10,7,H10,0.42097
p10,7,H11,0.31191
p10,7,H12,0.0
p10,7,H13,0.02235
p10,7,H14,0.65353
p10,7,H15,0.57496
p10,7,H16,0.00803
p10,7,H17,0.56726
p10,7,H2,0.63775
p10,7,H3,0.56726
p10,7,H4,0.02648
p10,7,H5,0.00637
p10,7,H6,0.56877
p10,7,H7,0.41235
p10,7,H8,0.0
p10,7,H9,0.0
p100,3,H1,0.01608
p100,3,H10,0.24796
p100,3,H11,0.22708
p100,3,H12,0.0
p100,3,H13,0.00641
p100,3,H14,0.44944
p100,3,H15,0.43215
p100,3,H16,0.0217
p100,3,H17,0.44889
p100,3,H2,0.4924
p100,3,H3,0.44889
p100,3,H4,0.05362
p100,3,H5,1e-05
p100,3,H6,0.36287
p100,3,H7,0.32433
p100,3,H8,0.00302
p100,3,H9,0.0
p101,4,H1,0.00243
p101,4,H10,0.29234
p101,4,H11,0.31955
p101,4,H12,0.00079
p101,4,H13,0.00122
p101,4,H14,0.4836
p101,4,H15,0.47634
p101,4,H16,0.03688
p101,4,H17,0.41476
p101,4,H2,0.46018
p101,4,H3,0.41476
p101,4,H4,0.05331
p101,4,H5,0.0
p101,4,H6,0.42945
p101,4,H7,0.41491
p101,4,H8,0.0089
p101,4,H9,0.0
p101,5,H1,0.00247
p101,5,H10,0.36232
p101,5,H11,0.38342
p101,5,H12,0.00073
p101,5,H13,0.00137
p101,5,H14,0.54579
p101,5,H15,0.5304
p101,5,H16,0.03416
p101,5,H17,0.43619
p101,5,H2,0.5058
p101,5,H3,0.43619
p101,5,H4,0.03445
p101,5,H5,0.0
p101,5,H6,0.46121
p101,5,H7,0.38096
p101,5,H8,0.00475
p101,5,H9,0.0
p102,5,H1,0.00334
p102,5,H10,0.36489
p102,5,H11,0.35427
p102,5,H12,0.00032
p102,5,H13,0.00205
p102,5,H14,0.51965
p102,5,H15,0.51913
p102,5,H16,0.0273
p102,5,H17,0.43256
p102,5,H2,0.49394
p102,5,H3,0.43256
p102,5,H4,0.03191
p102,5,H5,0.0
p102,5,H6,0.46113
p102,5,H7,0.36703
p102,5,H8,0.00421
p102,5,H9,0.0
p103,2,H1,0.01084
p103,2,H10,0.15919
p103,2,H11,0.18876
p103,2,H12,3e-05
p103,2,H13,0.00447
p103,2,H14,0.43109
p103,2,H15,0.46456
p103,2,H16,0.06231
p103,2,H17,0.52117
p103,2,H2,0.50923
p103,2,H3,0.52117
p103,2,H4,0.10245
p103,2,H5,0.0
p103,2,H6,0.34367
p103,2,H7,0.3442
p103,2,H8,0.01112
p103,2,H9,0.0
p103,3,H1,0.00928
p103,3,H10,0.18856
p103,3,H11,0.20518
p103,3,H12,0.00016
p103,3,H13,0.00344
p103,3,H14,0.44349
p103,3,H15,0.47844
p103,3,H16,0.05721
p103,3,H17,0.54819
p103,3,H2,0.52553
p103,3,H3,0.54819
p103,3,H4,0.1065
p103,3,H5,0.0
p103,3,H6,0.34389
p103,3,H7,0.35105
p103,3,H8,0.01181
p103,3,H9,0.0
p104,2,H1,0.00764
p104,2,H10,0.16828
p104,2,H11,0.20857
p104,2,H12,0.00055
p104,2,H13,0.00285
p104,2,H14,0.43061
p104,2,H15,0.5034
p104,2,H16,0.06457
p104,2,H17,0.56189
p104,2,H2,0.52821
p104,2,H3,0.56189
p104,2,H4,0.11809
p104,2,H5,0.0
p104,2,H6,0.33116
p104,2,H7,0.36288
p104,2,H8,0.01444
p104,2,H9,0.0
p104,3,H1,0.00702
p104,3,H10,0.16738
p104,3,H11,0.21704
p104,3,H12,0.00113
p104,3,H13,0.00233
p104,3,H14,0.4355
p104,3,H15,0.51477
p104,3,H16,0.06858
p104,3,H17,0.56245
p104,3,H2,0.52257
p104,3,H3,0.56245
p104,3,H4,0.1228
p104,3,H5,0.0
p104,3,H6,0.33268
p104,3,H7,0.37274
p104,3,H8,0.01712
p104,3,H9,0.0
p105,2,H1,0.00767
p105,2,H10,0.17534
p105,2,H11,0.21436
p105,2,H12,0.00072
p105,2,H13,0.00265
p105,2,H14,0.43728
p105,2,H15,0.49668
p105,2,H16,0.06601
p105,2,H17,0.55204
p105,2,H2,0.52176
p105,2,H3,0.55204
p105,2,H4,0.11299
p105,2,H5,0.0
p105,2,H6,0.33713
p105,2,H7,0.35349
p105,2,H8,0.01564
p105,2,H9,0.0
p105,3,H1,0.00609
p105,3,H10,0.19008
p105,3,H11,0.22913
p105,3,H12,0.00096
p105,3,H13,0.00191
p105,3,H14,0.46022
p105,3,H15,0.52141
p105,3,H16,0.06584
p105,3,H17,0.54479
p105,3,H2,0.51826
p105,3,H3,0.54479
p105,3,H4,0.11354
p105,3,H5,0.0
p105,3,H6,0.33989
p105,3,H7,0.37208
p105,3,H8,0.01558
p105,3,H9,0.0
p106,3,H1,0.0061
p106,3,H10,0.20045
p106,3,H11,0.23565
p106,3,H12,0.00088
p106,3,H13,0.00208
p106,3,H14,0.45402
p106,3,H15,0.52067
p106,3,H16,0.0624
p106,3,H17,0.55885
p106,3,H2,0.53018
p106,3,H3,0.55885
p106,3,H4,0.11132
p106,3,H5,0.0
p106,3,H6,0.3302
p106,3,H7,0.37233
p106,3,H8,0.01398
p106,3,H9,0.0
p107,3,H1,0.00465
p107,3,H10,0.20875
p107,3,H11,0.24434
p107,3,H12,0.00149
p107,3,H13,0.00154
p107,3,H14,0.45079
p107,3,H15,0.50949
p107,3,H16,0.06349
p107,3,H17,0.52751
p107,3,H2,0.51079
p107,3,H3,0.52751
p107,3,H4,0.10318
p107,3,H5,0.0
p107,3,H6,0.32734
p107,3,H7,0.37337
p107,3,H8,0.01513
p107,3,H9,0.0
p108,3,H1,0.03128
p108,3,H10,0.27241
p108,3,H11,0.19155
p108,3,H12,0.0
p108,3,H13,0.01458
p108,3,H14,0.51806
p108,3,H15,0.42894
p108,3,H16,0.01151
p108,3,H17,0.50112
p108,3,H2,0.56889
p108,3,H3,0.50112
p108,3,H4,0.02935
p108,3,H5,0.00283
p108,3,H6,0.42161
p108,3,H7,0.32897
p108,3,H8,2e-05
p108,3,H9,0.0
p109,3,H1,0.00539
p109,3,H10,0.21786
p109,3,H11,0.25718
p109,3,H12,0.00103
p109,3,H13,0.00181
p109,3,H14,0.45162
p109,3,H15,0.49719
p109,3,H16,0.05352
p109,3,H17,0.54026
p109,3,H2,0.50976
p109,3,H3,0.54026
p109,3,H4,0.0948
p109,3,H5,0.0
p109,3,H6,0.34612
p109,3,H7,0.38381
p109,3,H8,0.01411
p109,3,H9,0.0
p11,5,H1,0.03012
p11,5,H10,0.35866
p11,5,H11,0.28142
p11,5,H12,0.0
p11,5,H13,0.01417
p11,5,H14,0.52497
p11,5,H15,0.52007
p11,5,H16,0.01111
p11,5,H17,0.61148
p11,5,H2,0.57856
p11,5,H3,0.61148
p11,5,H4,0.03552
p11,5,H5,0.00445
p11,5,H6,0.51213
p11,5,H7,0.42148
p11,5,H8,0.0
p11,5,H9,0.0
p11,6,H1,0.0375
p11,6,H10,0.37591
p11,6,H11,0.28884
p11,6,H12,0.0
p11,6,H13,0.01729
p11,6,H14,0.61568
p11,6,H15,0.54369
p11,6,H16,0.01172
p11,6,H17,0.60419
p11,6,H2,0.64316
p11,6,H3,0.60419
p11,6,H4,0.03602
p11,6,H5,0.00607
p11,6,H6,0.55729
p11,6,H7,0.42913
p11,6,H8,0.0
p11,6,H9,0.0
p11,7,H1,0.03977
p11,7,H10,0.41119
p11,7,H11,0.30811
