i,szn,r,value
hydED,summ,p1,0.08288257
hydED,summ,p2,0.1377595
hydED,summ,p3,0.5
hydED,summ,p4,0.1226082
hydED,summ,p5,0.1876752
hydED,summ,p6,0.5
hydED,summ,p7,0.5
hydED,summ,p8,0.5
hydED,summ,p9,0.01417845
hydED,summ,p10,0.5
hydED,summ,p11,0.5
hydED,summ,p12,0.5
hydED,summ,p13,0.02185
hydED,summ,p14,0.5
hydED,summ,p15,0.5
hydED,summ,p16,0.5
hydED,summ,p17,0.5
hydED,summ,p18,0.5
hydED,summ,p19,0.5
hydED,summ,p20,0.5
hydED,summ,p21,0.5
hydED,summ,p22,0.5
hydED,summ,p23,0.5
hydED,summ,p24,0.5
hydED,summ,p25,0.5
hydED,summ,p26,0.5
hydED,summ,p27,0.01717033
hydED,summ,p28,0.03428571
hydED,summ,p29,0.5
hydED,summ,p30,0.5
hydED,summ,p31,0.5
hydED,summ,p32,0.5
hydED,summ,p33,0.5
hydED,summ,p34,0.5
hydED,summ,p35,0.5
hydED,summ,p36,0.5
hydED,summ,p37,0.5
hydED,summ,p38,0.5
hydED,summ,p39,0.5
hydED,summ,p40,0.5
hydED,summ,p41,0.5
hydED,summ,p42,0.5
hydED,summ,p43,0.5
hydED,summ,p44,0.5
hydED,summ,p45,0.5
hydED,summ,p46,0.5
hydED,summ,p47,0.5
hydED,summ,p48,0.5
hydED,summ,p49,0.5
hydED,summ,p50,0.5
hydED,summ,p51,0.5
hydED,summ,p52,0.5
hydED,summ,p53,0.5
hydED,summ,p54,0.5
hydED,summ,p55,0.5
hydED,summ,p56,0.5
hydED,summ,p57,0.5
hydED,summ,p58,0.5
hydED,summ,p59,0.5
hydED,summ,p60,0.5
hydED,summ,p61,0.5
hydED,summ,p62,0.5
hydED,summ,p63,0.5
hydED,summ,p64,0.5
hydED,summ,p65,0.5
hydED,summ,p66,0.5
hydED,summ,p67,0.5
hydED,summ,p68,0.5
hydED,summ,p69,0.5
hydED,summ,p70,0.5
hydED,summ,p71,0.5
