r,i,h,value
p1,dupv_3,H1,0.012420178
p1,dupv_1,H10,0.088793974
p1,dupv_2,H10,0.095924853
p1,dupv_3,H10,0.130221752
p1,dupv_1,H11,0.113416656
p1,dupv_2,H11,0.12256207
p1,dupv_3,H11,0.154342927
p1,dupv_1,H14,0.301417081
p1,dupv_2,H14,0.31972669
p1,dupv_3,H14,0.417760663
p1,dupv_1,H15,0.364089486
p1,dupv_2,H15,0.393748319
p1,dupv_3,H15,0.434737059
p1,dupv_1,H16,0.055670851
p1,dupv_2,H16,0.066837802
p1,dupv_3,H16,0.063072754
p1,dupv_1,H17,0.43712405
p1,dupv_2,H17,0.482549268
p1,dupv_3,H17,0.571797027
p1,dupv_1,H2,0.362348173
p1,dupv_2,H2,0.375008046
p1,dupv_3,H2,0.538045475
p1,dupv_1,H3,0.43712405
p1,dupv_2,H3,0.482549268
p1,dupv_3,H3,0.571797027
p1,dupv_1,H4,0.111422394
p1,dupv_2,H4,0.128434753
p1,dupv_3,H4,0.146003486
p1,dupv_1,H6,0.284380899
p1,dupv_2,H6,0.28684953
p1,dupv_3,H6,0.348845953
p1,dupv_1,H7,0.357230897
p1,dupv_2,H7,0.362497192
p1,dupv_3,H7,0.39059913
p1,dupv_1,H8,0.027502461
p1,dupv_2,H8,0.027899494
p1,dupv_3,H8,0.020303221
p2,dupv_2,H1,0.014691067
p2,dupv_3,H1,0.015009685
p2,dupv_1,H10,0.093943144
p2,dupv_2,H10,0.104273012
p2,dupv_3,H10,0.123635425
p2,dupv_1,H11,0.118291607
p2,dupv_2,H11,0.108823711
p2,dupv_3,H11,0.144649842
p2,dupv_1,H14,0.276624572
p2,dupv_2,H14,0.38539473
p2,dupv_3,H14,0.444155809
p2,dupv_1,H15,0.343098017
p2,dupv_2,H15,0.401836818
p2,dupv_3,H15,0.440490073
p2,dupv_1,H16,0.052687427
p2,dupv_2,H16,0.045623285
p2,dupv_3,H16,0.052338907
p2,dupv_1,H17,0.516651732
p2,dupv_2,H17,0.575373793
p2,dupv_3,H17,0.60850166
p2,dupv_1,H2,0.389709495
p2,dupv_2,H2,0.545419908
p2,dupv_3,H2,0.561095138
p2,dupv_1,H3,0.516651732
p2,dupv_2,H3,0.575373793
p2,dupv_3,H3,0.60850166
p2,dupv_1,H4,0.13420073
p2,dupv_2,H4,0.121545043
p2,dupv_3,H4,0.134567677
p2,dupv_1,H6,0.301814584
p2,dupv_2,H6,0.379521175
p2,dupv_3,H6,0.376338254
p2,dupv_1,H7,0.376017669
p2,dupv_2,H7,0.401129345
p2,dupv_3,H7,0.403494064
p2,dupv_1,H8,0.029616402
