region,class,timeslice,cfmean
s1,7,H1,0.18822
s1,7,H10,0.58044
s1,7,H11,0.56343
s1,7,H12,0.59916
s1,7,H13,0.43591
s1,7,H14,0.39661
s1,7,H15,0.4506
s1,7,H16,0.44562
s1,7,H17,0.21321
s1,7,H2,0.1537
s1,7,H3,0.21321
s1,7,H4,0.22199
s1,7,H5,0.41868
s1,7,H6,0.32202
s1,7,H7,0.30579
s1,7,H8,0.42698
s1,7,H9,0.61077
s1,8,H1,0.16659
s1,8,H10,0.54506
s1,8,H11,0.52327
s1,8,H12,0.56854
s1,8,H13,0.40566
s1,8,H14,0.36051
s1,8,H15,0.40812
s1,8,H16,0.41001
s1,8,H17,0.18167
s1,8,H2,0.12579
s1,8,H3,0.18167
s1,8,H4,0.20109
s1,8,H5,0.38078
s1,8,H6,0.29211
s1,8,H7,0.27528
s1,8,H8,0.39799
s1,8,H9,0.58
s1,9,H1,0.14552
s1,9,H10,0.4845
s1,9,H11,0.47263
s1,9,H12,0.51387
s1,9,H13,0.33739
s1,9,H14,0.30836
s1,9,H15,0.36735
s1,9,H16,0.36068
s1,9,H17,0.16869
s1,9,H2,0.10002
s1,9,H3,0.16869
s1,9,H4,0.1938
s1,9,H5,0.30977
s1,9,H6,0.22123
s1,9,H7,0.23577
s1,9,H8,0.33698
s1,9,H9,0.52086
s1,10,H1,0.09379
s1,10,H10,0.4361
s1,10,H11,0.42493
s1,10,H12,0.44857
s1,10,H13,0.26892
s1,10,H14,0.28418
s1,10,H15,0.35858
s1,10,H16,0.30223
s1,10,H17,0.1599
s1,10,H2,0.0948
s1,10,H3,0.1599
s1,10,H4,0.1349
s1,10,H5,0.19903
s1,10,H6,0.18098
s1,10,H7,0.20578
s1,10,H8,0.23299
s1,10,H9,0.4494
s10,6,H1,0.23567
s10,6,H10,0.5832
s10,6,H11,0.56678
s10,6,H12,0.58196
s10,6,H13,0.4679
s10,6,H14,0.42759
s10,6,H15,0.47713
s10,6,H16,0.46516
s10,6,H17,0.30658
s10,6,H2,0.19478
s10,6,H3,0.30658
s10,6,H4,0.29688
s10,6,H5,0.43726
s10,6,H6,0.37369
s10,6,H7,0.39164
s10,6,H8,0.4689
s10,6,H9,0.58135
