region,class,timeslice,cfmean
p1,1,H1,0.02034
p1,1,H10,0.07928
p1,1,H11,0.06333
p1,1,H12,0.0
p1,1,H13,0.00836
p1,1,H14,0.29737
p1,1,H15,0.28459
p1,1,H16,0.01944
p1,1,H17,0.38567
p1,1,H2,0.36299
p1,1,H3,0.38567
p1,1,H4,0.05074
p1,1,H5,0.0011
p1,1,H6,0.30998
p1,1,H7,0.2844
p1,1,H8,0.00377
p1,1,H9,0.0
p1,2,H1,0.03091
p1,2,H10,0.12605
p1,2,H11,0.09147
p1,2,H12,0.0
p1,2,H13,0.01299
p1,2,H14,0.40966
p1,2,H15,0.38138
p1,2,H16,0.02226
p1,2,H17,0.48826
p1,2,H2,0.52096
p1,2,H3,0.48826
p1,2,H4,0.065
p1,2,H5,0.00181
p1,2,H6,0.36864
p1,2,H7,0.30966
p1,2,H8,0.00351
p1,2,H9,0.0
p1,3,H1,0.03558
p1,3,H10,0.14205
p1,3,H11,0.1028
p1,3,H12,0.0
p1,3,H13,0.01531
p1,3,H14,0.44328
p1,3,H15,0.38562
p1,3,H16,0.02126
p1,3,H17,0.55402
p1,3,H2,0.56393
p1,3,H3,0.55402
p1,3,H4,0.07353
p1,3,H5,0.00206
p1,3,H6,0.38635
p1,3,H7,0.32659
p1,3,H8,0.00294
p1,3,H9,0.0
p10,5,H1,0.03214
p10,5,H10,0.29662
p10,5,H11,0.24963
p10,5,H12,0.0
p10,5,H13,0.01541
p10,5,H14,0.59448
p10,5,H15,0.5442
p10,5,H16,0.01873
p10,5,H17,0.64018
p10,5,H2,0.66974
p10,5,H3,0.64018
p10,5,H4,0.05071
p10,5,H5,0.00208
p10,5,H6,0.52043
p10,5,H7,0.42819
p10,5,H8,0.00068
p10,5,H9,0.0
p10,6,H1,0.0391
p10,6,H10,0.36734
p10,6,H11,0.2756
p10,6,H12,0.0
p10,6,H13,0.02072
p10,6,H14,0.6464
p10,6,H15,0.57315
p10,6,H16,0.01405
p10,6,H17,0.61683
p10,6,H2,0.67801
p10,6,H3,0.61683
p10,6,H4,0.0409
p10,6,H5,0.00499
p10,6,H6,0.5689
p10,6,H7,0.43765
p10,6,H8,0.0
p10,6,H9,0.0
p10,7,H1,0.03758
p10,7,H10,0.43017
p10,7,H11,0.29737
p10,7,H12,0.0
p10,7,H13,0.02438
p10,7,H14,0.66068
p10,7,H15,0.5607
p10,7,H16,0.00629
p10,7,H17,0.55635
p10,7,H2,0.63556
p10,7,H3,0.55635
p10,7,H4,0.02274
p10,7,H5,0.0075
p10,7,H6,0.56553
p10,7,H7,0.39584
p10,7,H8,0.0
p10,7,H9,0.0
p100,3,H1,0.01572
p100,3,H10,0.24748
p100,3,H11,0.22506
p100,3,H12,0.0
p100,3,H13,0.00643
p100,3,H14,0.44988
p100,3,H15,0.43037
p100,3,H16,0.02222
p100,3,H17,0.45436
p100,3,H2,0.49222
p100,3,H3,0.45436
p100,3,H4,0.05501
p100,3,H5,0.0
p100,3,H6,0.37516
p100,3,H7,0.33152
p100,3,H8,0.00297
p100,3,H9,0.0
p101,4,H1,0.00223
p101,4,H10,0.29934
p101,4,H11,0.33217
p101,4,H12,0.00072
p101,4,H13,0.00103
p101,4,H14,0.49063
p101,4,H15,0.4913
p101,4,H16,0.03812
p101,4,H17,0.41642
p101,4,H2,0.46158
