region,class,timeslice,cfmean
p1,1,H1,0.02129
p1,1,H10,0.07946
p1,1,H11,0.06539
p1,1,H12,0.0
p1,1,H13,0.00855
p1,1,H14,0.29228
p1,1,H15,0.30157
p1,1,H16,0.02084
p1,1,H17,0.40648
p1,1,H2,0.3717
p1,1,H3,0.40648
p1,1,H4,0.05806
p1,1,H5,0.00083
p1,1,H6,0.2981
p1,1,H7,0.29516
p1,1,H8,0.00418
p1,1,H9,0.0
p1,2,H1,0.03077
p1,2,H10,0.12552
p1,2,H11,0.09132
p1,2,H12,0.0
p1,2,H13,0.01288
p1,2,H14,0.40659
p1,2,H15,0.37867
p1,2,H16,0.02193
p1,2,H17,0.487
p1,2,H2,0.5202
p1,2,H3,0.487
p1,2,H4,0.0647
p1,2,H5,0.00179
p1,2,H6,0.36778
p1,2,H7,0.30876
p1,2,H8,0.00351
p1,2,H9,0.0
p1,3,H1,0.03555
p1,3,H10,0.14215
p1,3,H11,0.10321
p1,3,H12,0.0
p1,3,H13,0.01532
p1,3,H14,0.44317
p1,3,H15,0.38508
p1,3,H16,0.02115
p1,3,H17,0.55318
p1,3,H2,0.56351
p1,3,H3,0.55318
p1,3,H4,0.07345
p1,3,H5,0.00207
p1,3,H6,0.38607
p1,3,H7,0.32643
p1,3,H8,0.00294
p1,3,H9,0.0
p10,5,H1,0.03214
p10,5,H10,0.2966
p10,5,H11,0.24963
p10,5,H12,0.0
p10,5,H13,0.01541
p10,5,H14,0.59445
p10,5,H15,0.54416
p10,5,H16,0.01873
p10,5,H17,0.64018
p10,5,H2,0.66973
p10,5,H3,0.64018
p10,5,H4,0.05071
p10,5,H5,0.00208
p10,5,H6,0.52038
p10,5,H7,0.42819
p10,5,H8,0.00068
p10,5,H9,0.0
p10,6,H1,0.03091
p10,6,H10,0.31133
p10,6,H11,0.2525
p10,6,H12,0.0
p10,6,H13,0.01515
p10,6,H14,0.60577
p10,6,H15,0.56442
p10,6,H16,0.01836
p10,6,H17,0.64143
p10,6,H2,0.66854
p10,6,H3,0.64143
p10,6,H4,0.0498
p10,6,H5,0.00202
p10,6,H6,0.52662
p10,6,H7,0.43631
p10,6,H8,0.00066
p10,6,H9,0.0
p10,7,H1,0.03628
p10,7,H10,0.41983
p10,7,H11,0.3049
p10,7,H12,0.0
p10,7,H13,0.02198
p10,7,H14,0.66323
p10,7,H15,0.58091
p10,7,H16,0.00826
p10,7,H17,0.57047
p10,7,H2,0.64125
p10,7,H3,0.57047
p10,7,H4,0.02598
p10,7,H5,0.00597
p10,7,H6,0.56859
p10,7,H7,0.40865
p10,7,H8,0.0
p10,7,H9,0.0
p100,3,H1,0.01573
p100,3,H10,0.24751
p100,3,H11,0.22507
p100,3,H12,0.0
p100,3,H13,0.00643
p100,3,H14,0.44993
p100,3,H15,0.43062
p100,3,H16,0.02221
p100,3,H17,0.45431
p100,3,H2,0.49234
p100,3,H3,0.45431
p100,3,H4,0.05504
p100,3,H5,0.0
p100,3,H6,0.37529
p100,3,H7,0.33153
p100,3,H8,0.00296
p100,3,H9,0.0
p101,4,H1,0.00323
p101,4,H10,0.30326
p101,4,H11,0.32771
p101,4,H12,0.0004
p101,4,H13,0.00166
p101,4,H14,0.48383
p101,4,H15,0.47999
p101,4,H16,0.03377
p101,4,H17,0.4219
p101,4,H2,0.46423
p101,4,H3,0.4219
p101,4,H4,0.04561
p101,4,H5,0.0
p101,4,H6,0.41176
p101,4,H7,0.38133
p101,4,H8,0.0069
p101,4,H9,0.0
p101,5,H1,0.00194
p101,5,H10,0.35662
p101,5,H11,0.37616
p101,5,H12,0.00095
p101,5,H13,0.00099
p101,5,H14,0.53815
p101,5,H15,0.53142
p101,5,H16,0.03544
p101,5,H17,0.41211
p101,5,H2,0.49094
p101,5,H3,0.41211
p101,5,H4,0.03597
p101,5,H5,0.0
p101,5,H6,0.45711
p101,5,H7,0.38661
p101,5,H8,0.00511
p101,5,H9,0.0
p102,5,H1,0.00325
p102,5,H10,0.36192
p102,5,H11,0.35732
p102,5,H12,0.00021
p102,5,H13,0.00216
p102,5,H14,0.51831
p102,5,H15,0.53238
p102,5,H16,0.02813
p102,5,H17,0.43477
p102,5,H2,0.49388
p102,5,H3,0.43477
p102,5,H4,0.034
p102,5,H5,0.0
p102,5,H6,0.45396
p102,5,H7,0.35471
p102,5,H8,0.0042
p102,5,H9,0.0
p103,2,H1,0.01114
p103,2,H10,0.16882
p103,2,H11,0.18341
p103,2,H12,0.0
p103,2,H13,0.00416
p103,2,H14,0.44406
p103,2,H15,0.47506
p103,2,H16,0.05521
p103,2,H17,0.54971
p103,2,H2,0.52699
p103,2,H3,0.54971
p103,2,H4,0.10506
p103,2,H5,0.0
p103,2,H6,0.35389
p103,2,H7,0.35368
p103,2,H8,0.01046
p103,2,H9,0.0
p103,3,H1,0.01007
p103,3,H10,0.18937
p103,3,H11,0.20312
p103,3,H12,0.0001
p103,3,H13,0.00363
p103,3,H14,0.45422
p103,3,H15,0.48497
p103,3,H16,0.05657
p103,3,H17,0.53956
p103,3,H2,0.53196
p103,3,H3,0.53956
p103,3,H4,0.10107
p103,3,H5,0.0
p103,3,H6,0.34319
p103,3,H7,0.34743
p103,3,H8,0.01049
p103,3,H9,0.0
p104,2,H1,0.00777
p104,2,H10,0.16545
p104,2,H11,0.19955
p104,2,H12,0.00044
p104,2,H13,0.0027
p104,2,H14,0.43139
p104,2,H15,0.513
p104,2,H16,0.06742
p104,2,H17,0.57336
p104,2,H2,0.52776
p104,2,H3,0.57336
p104,2,H4,0.11832
p104,2,H5,0.0
p104,2,H6,0.32715
p104,2,H7,0.35179
p104,2,H8,0.01458
p104,2,H9,0.0
p104,3,H1,0.00691
p104,3,H10,0.16564
p104,3,H11,0.21223
p104,3,H12,0.00095
p104,3,H13,0.00234
p104,3,H14,0.43846
p104,3,H15,0.51522
p104,3,H16,0.06669
p104,3,H17,0.57029
p104,3,H2,0.52767
p104,3,H3,0.57029
p104,3,H4,0.12134
p104,3,H5,0.0
p104,3,H6,0.3299
p104,3,H7,0.36248
p104,3,H8,0.01658
p104,3,H9,0.0
p105,2,H1,0.00757
p105,2,H10,0.17874
p105,2,H11,0.2155
p105,2,H12,0.00067
p105,2,H13,0.00269
p105,2,H14,0.44601
p105,2,H15,0.50339
p105,2,H16,0.06609
p105,2,H17,0.55472
p105,2,H2,0.52545
p105,2,H3,0.55472
p105,2,H4,0.11432
p105,2,H5,0.0
p105,2,H6,0.33542
p105,2,H7,0.35426
p105,2,H8,0.01543
p105,2,H9,0.0
p105,3,H1,0.00668
p105,3,H10,0.18777
p105,3,H11,0.22595
