region,class,timeslice,cfmean
p1,1,H1,0.02139
p1,1,H10,0.08946
p1,1,H11,0.07339
p1,1,H12,0.0
p1,1,H13,0.00839
p1,1,H14,0.30706
p1,1,H15,0.3056
p1,1,H16,0.02269
p1,1,H17,0.40262
p1,1,H2,0.37422
p1,1,H3,0.40262
p1,1,H4,0.05816
p1,1,H5,0.0008
p1,1,H6,0.31068
p1,1,H7,0.2947
p1,1,H8,0.00429
p1,1,H9,0.0
p1,2,H1,0.03113
p1,2,H10,0.12787
p1,2,H11,0.09307
p1,2,H12,0.0
p1,2,H13,0.01291
p1,2,H14,0.40241
p1,2,H15,0.36909
p1,2,H16,0.02188
p1,2,H17,0.48091
p1,2,H2,0.51715
p1,2,H3,0.48091
p1,2,H4,0.06296
p1,2,H5,0.00179
p1,2,H6,0.36829
p1,2,H7,0.31082
p1,2,H8,0.00341
p1,2,H9,0.0
p1,3,H1,0.0371
p1,3,H10,0.14311
p1,3,H11,0.10592
p1,3,H12,0.0
p1,3,H13,0.01614
p1,3,H14,0.44256
p1,3,H15,0.39064
p1,3,H16,0.02256
p1,3,H17,0.55383
p1,3,H2,0.56673
p1,3,H3,0.55383
p1,3,H4,0.07423
p1,3,H5,0.00211
p1,3,H6,0.39335
p1,3,H7,0.33204
p1,3,H8,0.00313
p1,3,H9,0.0
p10,5,H1,0.03293
p10,5,H10,0.30328
p10,5,H11,0.24484
p10,5,H12,0.0
p10,5,H13,0.01587
p10,5,H14,0.58655
p10,5,H15,0.53439
p10,5,H16,0.01824
p10,5,H17,0.63318
p10,5,H2,0.66389
p10,5,H3,0.63318
p10,5,H4,0.05
p10,5,H5,0.00238
p10,5,H6,0.52615
p10,5,H7,0.43033
p10,5,H8,0.0007
p10,5,H9,0.0
p10,6,H1,0.03799
p10,6,H10,0.37924
p10,6,H11,0.28423
p10,6,H12,0.0
p10,6,H13,0.02081
p10,6,H14,0.64027
p10,6,H15,0.56569
p10,6,H16,0.01346
p10,6,H17,0.59818
p10,6,H2,0.66054
p10,6,H3,0.59818
p10,6,H4,0.03866
p10,6,H5,0.00509
p10,6,H6,0.55827
p10,6,H7,0.42482
p10,6,H8,0.00024
p10,6,H9,0.0
p10,7,H1,0.03914
p10,7,H10,0.42215
p10,7,H11,0.30276
p10,7,H12,0.0
p10,7,H13,0.02382
p10,7,H14,0.66498
p10,7,H15,0.57539
p10,7,H16,0.00876
p10,7,H17,0.56949
p10,7,H2,0.64575
p10,7,H3,0.56949
p10,7,H4,0.02775
p10,7,H5,0.00687
p10,7,H6,0.57004
p10,7,H7,0.41322
p10,7,H8,0.0
p10,7,H9,0.0
p100,3,H1,0.01525
p100,3,H10,0.25504
p100,3,H11,0.23446
p100,3,H12,0.0
p100,3,H13,0.00617
p100,3,H14,0.44352
p100,3,H15,0.43389
p100,3,H16,0.02221
p100,3,H17,0.45522
p100,3,H2,0.49027
p100,3,H3,0.45522
p100,3,H4,0.05309
p100,3,H5,0.0
p100,3,H6,0.37272
p100,3,H7,0.32957
p100,3,H8,0.00326
p100,3,H9,0.0
p101,4,H1,0.00237
p101,4,H10,0.30196
p101,4,H11,0.33467
p101,4,H12,0.00079
p101,4,H13,0.00109
p101,4,H14,0.49615
p101,4,H15,0.50431
p101,4,H16,0.03858
p101,4,H17,0.42416
p101,4,H2,0.46674
p101,4,H3,0.42416
p101,4,H4,0.04963
p101,4,H5,0.0
p101,4,H6,0.42375
p101,4,H7,0.41206
p101,4,H8,0.00899
p101,4,H9,0.0
p101,5,H1,0.00218
p101,5,H10,0.34934
p101,5,H11,0.36477
p101,5,H12,0.0008
p101,5,H13,0.00118
p101,5,H14,0.52902
p101,5,H15,0.52589
p101,5,H16,0.03494
p101,5,H17,0.41935
p101,5,H2,0.48855
p101,5,H3,0.41935
p101,5,H4,0.03848
p101,5,H5,0.0
p101,5,H6,0.4471
p101,5,H7,0.39177
p101,5,H8,0.00621
p101,5,H9,0.0
p102,5,H1,0.00301
p102,5,H10,0.36342
p102,5,H11,0.35754
p102,5,H12,0.00031
p102,5,H13,0.00191
p102,5,H14,0.51986
