st,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
MA,0,0,0,800,800,800,1600,1600,1600,2400,2400,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
RI,30,30,30,30,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
NJ,0,0,0,0,0,1100,1100,1100,1100,2300,2300,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
MD,0,0,0,120,368,368,368,768,768,1168,1168,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568
NY,0,0,0,130,130,1826,1826,1826,2400,2400,4000,4000,5600,5600,7300,7300,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,2530,2530,2530,2530
CT,0,0,0,0,300,300,300,300,300,300,300,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
