i,SO2,NOx,CO2,N2O,CH4
Biopower,0.00E+00,0.00E+00,0.00246,0.00000001,0.00000294
beccs_mod,0.00E+00,0.00E+00,0,0,0
beccs_max,0.00E+00,0.00E+00,0,0,0
gas-CT,0.00E+00,0.00E+00,0.00627,0.00000002,0
gas-CC,0.00E+00,0.00E+00,0.00627,0.00000002,0
h2-ct,0.00E+00,0.00E+00,0,0,0
h2-cc,0.00E+00,0.00E+00,0,0,0
CoalOldScr,0.00E+00,0.00E+00,0.00294,0.00000005,0.00020826
CoalOldUns,0.00E+00,0.00E+00,0.00294,0.00000005,0.00020826
coal-new,0.00E+00,0.00E+00,0.00294,0.00000005,0.00020826
coal-IGCC,0.00E+00,0.00E+00,0.00294,0.00000005,0.00020826
o-g-s,0.00E+00,0.00E+00,0.00991,0.00000017,0.00015345
CofireOld,0.00E+00,0.00E+00,0.00294,0.00000005,0.00020826
CofireNew,0.00E+00,0.00E+00,0.00294,0.00000005,0.00020826
