i,etype,SO2,NOx,CO2,N2O,CH4
Biopower,process,3.63E-05,9.07E-06,0,0,0
beccs_mod,process,0,2.72E-05,-6.00E-02,0,0
beccs_max,process,0,2.54E-05,-7.12E-02,0,0
gas-CT,process,4.45E-06,6.35E-05,5.31E-02,1.00E-07,1.00E-06
gas-CC,process,1.50E-06,9.07E-06,5.31E-02,1.00E-07,1.00E-06
h2-ct,process,0,6.35E-05,0,0,0
h2-cc,process,0,6.35E-05,0,0,0
CoalOldScr,process,9.07E-05,8.62E-05,9.55E-02,1.60E-06,1.10E-05
CoalOldUns,process,1.51E-04,8.62E-05,9.55E-02,1.60E-06,1.10E-05
coal-new,process,4.08E-05,3.63E-05,9.55E-02,1.60E-06,1.10E-05
coal-IGCC,process,2.52E-05,3.86E-05,9.55E-02,1.60E-06,1.10E-05
o-g-s,process,1.36E-04,7.82E-05,6.21E-02,1.00E-07,3.00E-06
CofireOld,process,9.07E-05,8.62E-05,9.55E-02,1.60E-06,1.10E-05
CofireNew,process,4.08E-05,3.63E-05,9.55E-02,1.60E-06,1.10E-05
Biopower,upstream,0,0,2.46E-03,1.00E-08,2.94E-06
beccs_mod,upstream,0,0,2.46E-03,1.00E-08,2.94E-06
beccs_max,upstream,0,0,2.46E-03,1.00E-08,2.94E-06
gas-CT,upstream,0,0,6.27E-03,2.00E-08,0
gas-CC,upstream,0,0,6.27E-03,2.00E-08,0
h2-ct,upstream,0,0,0,0,0
h2-cc,upstream,0,0,0,0,0
CoalOldScr,upstream,0,0,2.94E-03,5.00E-08,2.08E-04
CoalOldUns,upstream,0,0,2.94E-03,5.00E-08,2.08E-04
coal-new,upstream,0,0,2.94E-03,5.00E-08,2.08E-04
coal-IGCC,upstream,0,0,2.94E-03,5.00E-08,2.08E-04
o-g-s,upstream,0,0,9.91E-03,1.70E-07,1.53E-04
CofireOld,upstream,0,0,2.94E-03,5.00E-08,2.08E-04
CofireNew,upstream,0,0,2.94E-03,5.00E-08,2.08E-04
nuclear,upstream,0,0,8.40E-04,2.00E-08,2.10E-06
