ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,aggreg
p1,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,WA
p2,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,WA
p3,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,WA
p4,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,WA
p5,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,OR
p6,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,OR
p7,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,OR
p8,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,CA_N
p9,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,CA_N
p10,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,CA_S
p11,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,CA_S
p12,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,NV,USA,mountain,NV
p13,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,NV,USA,mountain,NV
p14,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,ID
p15,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,ID
p16,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,ID
p17,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT,USA,mountain,MT
p18,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT,USA,mountain,MT
p19,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT,USA,mountain,MT
p20,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT,USA,mountain,MT
p21,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,WY
p22,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,WY
p23,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,WY
p24,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,WY
p25,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,UT,USA,mountain,UT
p26,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,UT,USA,mountain,UT
p27,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,AZ
p28,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,AZ
p29,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,AZ
p30,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,AZ
p31,WECC_SW,WestConnect,WestConnect_South,Mountain,NM,western,NM,USA,mountain,NM
p32,SPP,SPP,SPP_North,West_North_Central,SD,eastern,SD,USA,northern-plains,SD
p33,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,CO,USA,mountain,CO
p34,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,CO,USA,mountain,CO
p35,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT,USA,mountain,MT
p36,SPP,SPP,SPP_North,West_North_Central,ND,eastern,ND,USA,northern-plains,ND
p37,SPP,SPP,SPP_North,West_North_Central,ND,eastern,ND,USA,northern-plains,ND
p38,SPP,SPP,SPP_North,West_North_Central,SD,eastern,SD,USA,northern-plains,SD
p39,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,NE
p40,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,NE
p41,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,NE
p42,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,MN
p43,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,MN
p44,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,MN
p45,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,IA
p46,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,WI
p47,WECC_SW,WestConnect,WestConnect_South,Mountain,NM,western,NM,USA,mountain,NM
p48,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX,USA,southern-plains,TX_SPP
p49,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,OK
p50,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,OK
p51,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,OK
p52,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,KS
p53,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,KS
p54,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,MO
p55,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,MO
p56,MISO,MISO,MISO_South,West_South_Central,AR,eastern,AR,USA,delta-states,AR
p57,MISO,MISO,MISO_South,West_South_Central,TX,eastern,TX,USA,southern-plains,TX_MISO
p58,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,LA
p59,ERCOT,ERCOT,ERCOT,West_South_Central,TX,texas,TX,USA,southern-plains,TX_ERCOT_W
p60,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX,USA,southern-plains,TX_ERCOT_W
p61,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX,USA,southern-plains,TX_ERCOT_W
p62,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX,USA,southern-plains,TX_ERCOT_W
p63,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX,USA,southern-plains,TX_ERCOT_E
p64,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX,USA,southern-plains,TX_ERCOT_E
p65,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX,USA,southern-plains,TX_ERCOT_E
p66,MISO,MISO,MISO_South,West_South_Central,TX,eastern,TX,USA,southern-plains,TX_MISO
p67,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX,USA,southern-plains,TX_ERCOT_E
p68,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,MN
p69,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,IA
p70,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,IA
p71,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,MO
p72,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,MO
p73,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,MO
p74,MISO,MISO,MISO_North,East_North_Central,MI,eastern,MI,USA,lake-states,MI
p75,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,WI
p76,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,WI
p77,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,WI
p78,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,WI
p79,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,WI
p80,PJM,PJM,PJM_West,East_North_Central,IL,eastern,IL,USA,corn-belt,IL_PJM
p81,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,IL_MISO
p82,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,IL_MISO
p83,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,IL_MISO
p84,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,MO
p85,MISO,MISO,MISO_South,West_South_Central,AR,eastern,AR,USA,delta-states,AR
p86,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,LA
p87,MISO,MISO,MISO_South,East_South_Central,MS,eastern,MS,USA,delta-states,MS
p88,MISO,MISO,MISO_South,East_South_Central,MS,eastern,MS,USA,delta-states,MS
p89,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,AL
p90,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,AL
p91,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,FL
p92,SERC_C,SERTP,SERTP,East_South_Central,TN,eastern,TN,USA,appalachia,TN
p93,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,KY
p94,SERC_SE,SERTP,SERTP,South_Atlantic,GA,eastern,GA,USA,southeast,GA
