default,biennial,10yr,5yr,4yr,3yr,annual,1yr_2yr,1yr_5yr,2yr_1yr2040_5yr,annualMod,beyond2050step5,beyond2050step10,beyond2050step5yr10yr
2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
2012,2012,2020,2015,2015,2015,2011,2011,2011,2012,2012,2015,2015,2015
2014,2014,2030,2020,2020,2020,2012,2012,2012,2014,2014,2020,2020,2020
2016,2016,2040,2025,2024,2023,2013,2013,2013,2016,2016,2023,2023,2025
2018,2018,2050,2030,2028,2026,2014,2014,2014,2018,2018,2026,2026,2030
2020,2020,2060,2035,2032,2029,2015,2015,2015,2020,2020,2029,2029,2035
2022,2022,2070,2040,2036,2032,2016,2016,2016,2021,2021,2032,2032,2040
2024,2024,2080,2045,2040,2035,2017,2017,2017,2022,2022,2035,2035,2045
2026,2026,2090,2050,2045,2038,2018,2018,2018,2023,2023,2038,2038,2050
2028,2028,2100,,2050,2041,2019,2019,2019,2024,2024,2041,2041,2060
2030,2030,,,,2044,2020,2020,2020,2025,2025,2044,2044,2070
2035,2032,,,,2047,2021,2021,2021,2026,2026,2047,2047,2080
2040,2034,,,,2050,2022,2022,2022,2027,2027,2050,2050,2090
2045,2036,,,,,2023,2023,2023,2028,2028,2055,2060,2100
2050,2038,,,,,2024,2024,2024,2029,2029,2060,2070,
,2040,,,,,2025,2025,2025,2030,2030,2065,2080,
,2042,,,,,2026,2026,2026,2031,2031,2070,2090,
,2044,,,,,2027,2027,2027,2032,2032,2075,2100,
,2046,,,,,2028,2028,2028,2033,2033,2080,2110,
,2048,,,,,2029,2029,2029,2034,2034,2085,2120,
,2050,,,,,2030,2030,2030,2035,2035,2090,2130,
,,,,,,2031,2032,2035,2036,2040,2095,2140,
,,,,,,2032,2034,2040,2037,2045,2100,2150,
,,,,,,2033,2036,2045,2038,2050,,2160,
,,,,,,2034,2038,2050,2039,,,2170,
,,,,,,2035,2040,,2040,,,2180,
,,,,,,2036,2042,,2045,,,2190,
,,,,,,2037,2044,,2050,,,2200,
,,,,,,2038,2046,,,,,,
,,,,,,2039,2048,,,,,,
,,,,,,2040,2050,,,,,,
,,,,,,2041,,,,,,,
,,,,,,2042,,,,,,,
,,,,,,2043,,,,,,,
,,,,,,2044,,,,,,,
,,,,,,2045,,,,,,,
,,,,,,2046,,,,,,,
,,,,,,2047,,,,,,,
,,,,,,2048,,,,,,,
,,,,,,2049,,,,,,,
,,,,,,2050,,,,,,,
