ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg
oWA,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Bonneville_Power_Administration,oWA
oOR_N,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,PacifiCorp_West,oOR_N
oOR_S,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,PacifiCorp_West,oOR_S
oCA_NNN,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,oCA_NNN
oCA_NN,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,oCA_NN
oCA_N,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,oCA_N
oCA_S,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,oCA_S
oTX,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,oTX
oLA,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,Delta,MISO,oLA
oFL_W,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Seminole_Electric_Coop_Inc,oFL_W
oFL_E,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Seminole_Electric_Coop_Inc,oFL_E
oSC,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,South_Carolina_Electric_Gas_Co,oSC
oNC_S,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Progress_East,oNC_S
oNC_N,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Progress_East,oNC_N
oVA,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,oVA
oNJ,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,NJ,USA,northeast,MidAtlantic,PJM,oNJ
oNY,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,oNY
oRI,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,RI,USA,northeast,NewEngland,ISONE,oRI
oNH,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,NH,USA,northeast,NewEngland,ISONE,oNH
oME,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,ME,USA,northeast,NewEngland,ISONE,oME
oMS,MISO,MISO,MISO_South,East_South_Central,MS,eastern,MS,USA,delta-states,Delta,MISO,oMS
oAL,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,Southeast,PowerSouth_Energy_Coop,oAL
oGA,SERC_SE,SERTP,SERTP,South_Atlantic,GA,eastern,GA,USA,southeast,Southeast,Southern_Co_Services_Inc,oGA
oMD,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,oMD
oDE,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,DE,USA,northeast,MidAtlantic,PJM,oDE
oCT,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,CT,USA,northeast,NewEngland,ISONE,oCT
oMA,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,MA,USA,northeast,NewEngland,ISONE,oMA
