r,cendiv
p1,PA
p2,PA
p3,PA
p4,PA
p5,PA
p6,PA
p7,PA
p9,PA
p8,PA
p10,PA
p11,PA
p12,MTN
p13,MTN
p14,MTN
p15,MTN
p16,MTN
p25,MTN
p26,MTN
p27,MTN
p28,MTN
p29,MTN
p30,MTN
p17,MTN
p18,MTN
p20,MTN
p19,MTN
p21,MTN
p22,MTN
p23,MTN
p24,MTN
p33,MTN
p34,MTN
p31,MTN
p59,MTN
p32,MTN
p35,WNC
p36,WNC
p37,WNC
p38,WNC
p39,WNC
p40,WNC
p41,WNC
p42,WNC
p43,WNC
p44,WNC
p46,ENC
p45,WNC
p69,WNC
p52,WNC
p53,WNC
p54,WNC
p55,WNC
p47,WSC
p48,WSC
p57,WSC
p49,WSC
p50,WSC
p51,WSC
p56,WSC
p58,WSC
p61,WSC
p62,WSC
p60,WSC
p63,WSC
p64,WSC
p65,WSC
p67,WSC
p68,WNC
p70,WNC
p71,WNC
p72,WNC
p73,WNC
p84,WNC
p74,ENC
p75,ENC
p76,ENC
p77,ENC
p78,ENC
p79,ENC
p80,ENC
p81,ENC
p82,ENC
p83,ENC
p103,ENC
p104,ENC
p105,ENC
p106,ENC
p107,ENC
p111,ENC
p112,ENC
p113,ENC
p114,ENC
p108,ESC
p109,ESC
p110,ESC
p118,SA
p117,SA
p116,SA
p115,MA
p121,SA
p120,MA
p119,MA
p66,WSC
p85,WSC
p86,WSC
p87,ESC
p88,ESC
p89,ESC
p90,ESC
p91,SA
p94,SA
p92,ESC
p93,ESC
p97,SA
p98,SA
p95,SA
p96,SA
p99,SA
p100,SA
p101,SA
p102,SA
p124,SA
p123,SA
p125,SA
p122,MA
p126,MA
p127,MA
p128,MA
p132,NE
p133,NE
p131,NE
p129,NE
p130,NE
p134,NE
p135,PA
p136,PA
p137,PA
p138,PA
p139,PA
p140,MTN
p141,MTN
p142,WNC
p143,WNC
p144,MA
p145,MA
p146,MA
p147,MA
p148,NE
p149,NE
p150,NE
p151,NE
p152,NE
p153,NE
p154,NE
p155,NE
p156,NE
p157,MEX
p158,MEX
p159,MEX
p160,MEX
p161,MEX
p162,MEX
p163,MEX
p164,MEX
p165,MEX
p166,MEX
p167,MEX
p168,MEX
p169,MEX
p170,MEX
p171,MEX
p172,MEX
p173,MEX
p174,MEX
p175,MEX
p176,MEX
p177,MEX
p178,MEX
p179,MEX
p180,MEX
p181,MEX
p182,MEX
p183,MEX
p184,MEX
p185,MEX
p186,MEX
p187,MEX
p188,MEX
p189,MEX
p190,MEX
p191,MEX
p192,MEX
p193,MEX
p194,MEX
p195,MEX
p196,MEX
p197,MEX
p198,MEX
p199,MEX
p200,MEX
p201,MEX
p202,MEX
p203,MEX
p204,MEX
p205,MEX
