r,country
s199,usa
s200,usa
s201,usa
s202,usa
s203,usa
s204,usa
s205,usa
s206,usa
s207,usa
s208,usa
s209,usa
s210,usa
s211,usa
s212,usa
s213,usa
s214,usa
s215,usa
s216,usa
s217,usa
s218,usa
s219,usa
s220,usa
s221,usa
s222,usa
s223,usa
s224,usa
s225,usa
s226,usa
s227,usa
s228,usa
s229,usa
s230,usa
s231,usa
s232,usa
s233,usa
s234,usa
s235,usa
s236,usa
s237,usa
s238,usa
s239,usa
s240,usa
s241,usa
s242,usa
s243,usa
s244,usa
s245,usa
s246,usa
s247,usa
s248,usa
s249,usa
s250,usa
s251,usa
s252,usa
s253,usa
s254,usa
s255,usa
s256,usa
s257,usa
s258,usa
s259,usa
s260,usa
s261,usa
s262,usa
s263,usa
s264,usa
s265,usa
s266,usa
s267,usa
s268,usa
s269,usa
s270,usa
s271,usa
s272,usa
s273,usa
s274,usa
s275,usa
s276,usa
s277,usa
s278,usa
s279,usa
s280,usa
s281,usa
s282,usa
s283,usa
s284,usa
s285,usa
s286,usa
s287,usa
s288,usa
s289,usa
s290,usa
s291,usa
s292,usa
s293,usa
s294,usa
s295,usa
s296,usa
s297,usa
s298,usa
s299,usa
s300,usa
s301,usa
s302,usa
s303,usa
s304,usa
s305,usa
s306,usa
s307,usa
s308,usa
s309,usa
s310,usa
s311,usa
s312,usa
s313,usa
s314,usa
s315,usa
s316,usa
s317,usa
s318,usa
s319,usa
s320,usa
s321,usa
s322,usa
s323,usa
s324,usa
s325,usa
s326,usa
s327,usa
s328,usa
s329,usa
s330,usa
s331,usa
s332,usa
s333,usa
s334,usa
s335,usa
s336,usa
s337,usa
s338,usa
s339,usa
s340,usa
s341,usa
s342,usa
s343,usa
s344,usa
s345,usa
s346,usa
s347,usa
s348,usa
s349,usa
s350,usa
s351,usa
s352,usa
s353,usa
s354,usa
s355,usa
s356,usa
s357,mex
s358,mex
s359,can
s360,can
s361,can
s362,can
s363,can
s364,can
s365,can
s366,can
s367,can
s368,can
s369,can
s370,can
s371,can
s372,can
s373,can
s374,can
s375,can
s376,can
s377,can
s378,can
s379,can
s380,can
s381,can
s382,can
s383,can
s384,can
s385,can
s386,can
s387,can
s388,can
s389,can
s390,can
s391,can
s392,can
s393,can
s394,can
s395,can
s396,can
s397,can
s398,can
s399,can
s400,can
s401,can
s402,can
s403,can
s404,can
s405,can
s406,mex
s407,mex
s408,mex
s409,mex
s410,mex
s411,mex
s412,mex
s413,mex
s414,mex
s415,mex
s416,mex
s417,mex
s418,mex
s419,mex
s420,mex
s421,mex
s422,mex
s423,mex
s424,mex
s425,mex
s426,mex
s427,mex
s428,mex
s429,mex
s430,mex
s431,mex
s432,mex
s433,mex
s434,mex
s435,mex
s436,mex
s437,mex
s438,mex
s439,mex
s440,mex
s441,mex
s442,mex
s443,mex
s444,mex
s445,mex
s446,mex
s447,mex
s448,mex
s449,mex
s450,mex
s451,mex
s452,mex
s453,mex
s454,mex
