,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.343,0.423,0.052,0.0,0.241,0.253,0.006,0.0,0.112,0.119,0.0,0.002,0.276,0.307,0.025,0.395
p10,0.003,0.441,0.487,0.032,0.0,0.396,0.368,0.004,0.0,0.293,0.274,0.001,0.002,0.42,0.447,0.019,0.47
p100,0.002,0.346,0.36,0.039,0.0,0.288,0.276,0.008,0.0,0.222,0.241,0.003,0.001,0.329,0.349,0.029,0.345
p101,0.0,0.349,0.352,0.029,0.0,0.323,0.319,0.011,0.0,0.284,0.327,0.008,0.0,0.382,0.426,0.031,0.263
p102,0.0,0.349,0.36,0.027,0.0,0.323,0.313,0.008,0.0,0.287,0.326,0.006,0.0,0.383,0.422,0.024,0.28
p103,0.001,0.342,0.399,0.057,0.0,0.253,0.281,0.015,0.0,0.146,0.198,0.005,0.0,0.314,0.367,0.04,0.391
p104,0.001,0.341,0.417,0.06,0.0,0.247,0.291,0.016,0.0,0.134,0.193,0.006,0.0,0.302,0.374,0.042,0.42
p105,0.002,0.341,0.415,0.054,0.0,0.271,0.307,0.015,0.0,0.159,0.216,0.005,0.001,0.309,0.373,0.037,0.386
p106,0.0,0.325,0.416,0.061,0.0,0.269,0.329,0.021,0.0,0.159,0.24,0.008,0.0,0.293,0.374,0.045,0.349
p107,0.002,0.334,0.422,0.053,0.0,0.289,0.337,0.016,0.0,0.177,0.247,0.006,0.001,0.303,0.379,0.038,0.38
p108,0.004,0.395,0.351,0.021,0.0,0.366,0.275,0.002,0.0,0.237,0.21,0.0,0.002,0.369,0.324,0.012,0.346
p109,0.001,0.339,0.393,0.048,0.0,0.296,0.32,0.015,0.0,0.196,0.253,0.006,0.0,0.315,0.362,0.035,0.365
p11,0.002,0.451,0.437,0.019,0.0,0.416,0.34,0.001,0.0,0.328,0.27,0.0,0.001,0.441,0.415,0.01,0.453
p110,0.001,0.315,0.404,0.047,0.0,0.282,0.348,0.014,0.0,0.196,0.276,0.006,0.0,0.296,0.368,0.033,0.392
p111,0.001,0.327,0.409,0.053,0.0,0.258,0.3,0.012,0.0,0.153,0.202,0.003,0.0,0.302,0.372,0.036,0.383
p112,0.001,0.341,0.382,0.048,0.0,0.28,0.288,0.013,0.0,0.166,0.199,0.004,0.0,0.311,0.338,0.034,0.364
p113,0.001,0.335,0.407,0.053,0.0,0.277,0.317,0.015,0.0,0.17,0.227,0.005,0.0,0.306,0.361,0.037,0.384
p114,0.001,0.333,0.387,0.054,0.0,0.279,0.302,0.017,0.0,0.174,0.226,0.006,0.0,0.302,0.335,0.039,0.343
p115,0.001,0.333,0.369,0.043,0.0,0.276,0.282,0.01,0.0,0.18,0.212,0.002,0.001,0.311,0.335,0.029,0.343
p116,0.001,0.335,0.376,0.043,0.0,0.285,0.291,0.01,0.0,0.193,0.23,0.003,0.001,0.313,0.342,0.03,0.349
p117,0.001,0.331,0.371,0.044,0.0,0.287,0.296,0.012,0.0,0.194,0.236,0.004,0.0,0.31,0.338,0.03,0.373
p118,0.001,0.337,0.383,0.042,0.0,0.29,0.318,0.011,0.0,0.227,0.28,0.004,0.0,0.328,0.369,0.031,0.363
p119,0.002,0.342,0.362,0.04,0.0,0.274,0.267,0.008,0.0,0.192,0.211,0.002,0.001,0.33,0.336,0.027,0.307
p12,0.005,0.504,0.461,0.03,0.0,0.452,0.359,0.004,0.0,0.293,0.248,0.0,0.002,0.474,0.424,0.018,0.379
p120,0.002,0.345,0.36,0.039,0.0,0.274,0.272,0.008,0.0,0.201,0.222,0.002,0.001,0.326,0.351,0.029,0.3
p121,0.002,0.362,0.356,0.036,0.0,0.301,0.272,0.007,0.0,0.226,0.227,0.002,0.001,0.337,0.337,0.026,0.301
p122,0.003,0.361,0.341,0.034,0.0,0.296,0.256,0.006,0.0,0.217,0.206,0.001,0.002,0.344,0.326,0.023,0.322
p123,0.003,0.373,0.353,0.032,0.0,0.31,0.268,0.006,0.0,0.234,0.23,0.002,0.001,0.353,0.34,0.023,0.342
p124,0.003,0.369,0.382,0.034,0.0,0.313,0.285,0.006,0.0,0.222,0.224,0.002,0.002,0.353,0.359,0.025,0.375
p125,0.003,0.374,0.347,0.032,0.0,0.319,0.268,0.005,0.0,0.241,0.22,0.001,0.001,0.364,0.347,0.02,0.371
p126,0.003,0.368,0.338,0.029,0.0,0.314,0.256,0.004,0.0,0.232,0.202,0.001,0.002,0.354,0.329,0.019,0.349
p127,0.004,0.365,0.34,0.034,0.0,0.289,0.239,0.005,0.0,0.193,0.175,0.001,0.002,0.345,0.316,0.023,0.32
p128,0.005,0.368,0.335,0.03,0.0,0.312,0.247,0.004,0.0,0.221,0.179,0.0,0.003,0.353,0.312,0.02,0.334
p129,0.006,0.361,0.322,0.031,0.0,0.283,0.227,0.004,0.0,0.194,0.159,0.0,0.004,0.352,0.307,0.019,0.343
p13,0.004,0.492,0.438,0.018,0.0,0.468,0.35,0.001,0.0,0.368,0.28,0.0,0.003,0.51,0.436,0.01,0.375
p130,0.007,0.38,0.287,0.026,0.001,0.323,0.208,0.003,0.0,0.237,0.159,0.0,0.005,0.379,0.276,0.015,0.293
p131,0.006,0.379,0.319,0.026,0.0,0.321,0.225,0.002,0.0,0.233,0.17,0.0,0.003,0.369,0.296,0.014,0.317
p132,0.005,0.364,0.333,0.029,0.0,0.307,0.245,0.003,0.0,0.228,0.189,0.0,0.003,0.349,0.316,0.017,0.329
p133,0.006,0.388,0.316,0.024,0.0,0.326,0.221,0.002,0.0,0.237,0.171,0.0,0.004,0.374,0.293,0.013,0.307
