,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,21.313,50.528,77.221,87.1,90.285,93.514,103.228,125.08,171.938,211.044,238.363,258.814,275.57,302.997,314.933,320.749,387.577,393.363,431.522
p10,534.6252872,865.8653054,1727.451,3296.484,4882.324,5677.067,5749.949,5800.916,5894.594,6045.459,6191.272,6321.41,6425.715,6517.805,6604.522,6682.401,6750.552,6808.667,6847.46,6898.562,6986.717
p100,0,0,0.574,1.61,3.81,6.13,8.798,12.22,17.633,24.832,33.983,42.226,49.078,54.965,60.288,64.884,69.336,74.113,77.981,81.435,85.477
p101,8.377123095,26.91038637,60.221,105.98,223.557,344.19,538.658,806.871,1173.865,1629.4,2177.62,2679.006,3082.534,3410.98,3719.141,4038.247,4291.824,4598.959,4871.866,5067.899,5384.212
p102,5.087078563,14.23755315,26.932,46.985,104.354,165.307,250.227,358.816,511.516,703.452,939.689,1158.008,1333.751,1477.339,1610.859,1736.822,1852.477,1977.058,2093.939,2187.019,2332.685
p103,0,0,13.089,25.97,45.92,60.053,79.99,114.801,182.377,298.447,485.511,709.664,953.951,1185.413,1385.408,1549.818,1689.07,1823.168,1926.601,2001.898,2127.764
p104,0,0,1.262,2.702,4.601,5.418,6.767,9.137,13.546,20.98,33.817,49.722,67.295,84.467,100.053,112.397,122.514,130.607,136.788,142.518,148.906
p105,0,0,3.675,10.165,46.198,60.716,79.272,103.035,139.106,188.663,259.827,334.509,416.198,505.535,596.249,685.675,768.599,851.068,921.716,984.058,1070.699
p106,0,0,1.124,2.788,12.547,13.948,15.786,17.485,21.759,29.736,42.78,59.352,81.232,108.19,136.489,166.531,197.873,233.492,266.074,294.085,330.576
p107,0,0,1.46,4.176,19.093,26.292,33.942,43.512,59.242,83.096,120.208,164.91,219.482,283.764,351.097,416.289,475.433,533.932,582.983,627.127,680.623
p108,0,0,0.132,0.612,5.207,6.387,7.803,9.566,12.27,16.127,21.707,28.942,38.224,49.653,63.289,78.894,95.716,113.66,131.286,148.395,165.579
p109,0,0,0.118,0.379,4.89,6.035,6.862,7.923,9.846,13.002,18.279,25.948,37.004,52.735,74.574,104.379,143.201,192.765,251.778,319.416,398.148
p11,107.3777754,132.949176,214.13,437.939,686.333,834.356,842.705,847.56,859.423,876.859,890.496,903.04,914.46,924.743,933.408,941.344,948.731,953.151,957.904,962.822,970.288
p110,0,0,0.111,0.424,2.816,3.639,4.592,5.839,7.738,10.583,14.786,20.519,27.99,37.423,48.901,61.967,76.118,90.826,104.943,118.237,131.339
p111,0.030012846,18.41141759,24.439,30.524,43.794,45.834,49.2,54.984,65.633,84.332,118.6,169.817,238.992,322.563,411.99,499.771,578.223,644.646,693.37,727.5,762.233
p112,0,15.96889695,36.533,44.485,61.645,63.542,65.969,69.705,76.39,87.825,107.613,136.628,175.269,221.51,271.588,321.907,368.848,414.086,453.377,487.43,524.232
p113,0.00074308,3.858751976,6.305,7.799,11.23,11.918,12.982,14.77,18.168,24.101,34.607,50.368,71.724,96.878,123.578,149.767,173.368,192.058,206.395,216.295,223.983
p114,0,5.660933492,10.771,13.169,18.56,19.42,20.808,23.191,27.691,35.999,50.726,73.077,104.106,141.416,182.397,222.321,257.193,289.381,314.751,332.791,352.124
p115,0.438228156,35.5977707,67.253,87.926,115.744,125.859,140.427,159.55,185.374,215.931,254.819,289.088,318.347,345.199,373.592,398.575,426.445,453.384,471.575,489.661,506.133
p116,0,0,21.914,35.971,49.996,51.074,51.887,52.817,54.632,57.623,62.48,68.995,77.783,89.806,105.74,125.757,149.352,175.731,202.794,228.904,254.171
p117,0,0,3.316,4.695,5.789,5.806,5.821,5.838,5.865,5.989,6.313,6.853,7.746,9.198,11.521,15.146,20.571,28.448,39.225,53.181,70.27
p118,0,0,1.42,3.565,7.88,9.883,12.097,15.111,20.127,27.405,38.345,51.007,66.847,88.062,115.026,144.203,171.996,196.684,214.838,229.647,244.491
p119,0.123533323,4.106571736,9.642,11.158,13.385,13.84,14.221,14.739,15.917,17.925,21.042,24.404,27.695,30.496,33.11,35.554,37.793,39.899,41.544,42.95,43.126
p12,0.408189973,14.22757422,19.071,68.433,100.476,101.754,101.824,101.878,102.146,103.232,104.087,105.726,106.844,108.515,112.231,116.674,122.08,126.719,134.393,137.293,144.388
p120,0.304902382,2.880211639,7.827,9.082,11.035,11.493,12.205,13.11,14.651,16.774,19.694,22.423,24.893,27.023,29.018,30.837,32.47,33.675,34.889,35.938,36.852
p121,0,8.308360209,27.929,76.305,111.156,117.299,118.427,118.803,120.636,124.703,131.132,136.583,141.884,147.442,153.98,159.432,164.935,169.614,174.177,177.874,180.989
p122,2.438565672,132.0154459,138.503,171.607,255.266,300.064,363.589,438.588,527.475,623.531,739.278,837.501,930.938,1033.034,1140.562,1244.393,1349.407,1444.805,1520.703,1578.391,1591.656
p123,0.002115553,75.49163979,173.733,559.91,837.427,900.855,924.891,933.923,958.031,993.461,1053.844,1109.435,1161.442,1213.673,1265.186,1317.154,1367.427,1415.685,1457.615,1497.187,1508.792
p124,0,0,0.057,0.129,0.271,0.367,0.469,0.564,0.724,0.979,1.466,2.128,3.056,4.317,5.847,7.152,8.29,9.392,11.339,12.501,12.576
p125,0.947636682,17.6,27.561,62.168,92.367,102.631,110.452,115.978,123.103,130.826,142.065,151.533,159.835,167.845,177.673,187.11,198.554,209.818,220.078,228.503,229.724
p126,4.57672123,816.9,1210.57,1625.246,2169.931,2313.94,2399.582,2445.104,2497.847,2562.15,2652.894,2735.672,2813.722,2891.452,2974.628,3045.557,3119.729,3201.791,3282.201,3351.476,3371.415
p127,3.257673856,107.8581726,272.067,649.334,1144.94,1198.127,1231.722,1258.641,1297.694,1351.658,1424.575,1483.514,1534.835,1596.444,1659.78,1731.977,1803.052,1854.075,1891.511,1928.262,1968.652
p128,7.216393541,16.04182742,62.634,201.353,354.727,424.433,480.248,526.69,579.275,633.928,699.395,747.442,785.126,840.388,897.27,979.367,1046.566,1097.519,1131.394,1168.612,1207.141
p129,0.188722468,8.9,26.012,101.072,137.683,141.713,144.696,147.494,151.196,156.048,162.471,169.247,176.299,183.42,191.95,201.356,211.567,221.815,230.331,240.234,250.527
p13,0.543822861,29.67242578,64.126,187.886,263.015,276.887,280.232,282.167,284.353,288.809,291.94,298.465,301.538,309.204,327.986,337.956,347.768,351.425,366.526,368.36,382.179
p130,0,0,5.181,52.207,85.544,91.829,94.044,95.523,97.724,100.765,104.845,108.18,111.023,114.042,118.438,122.548,126.882,131.646,135.469,142.118,149.886
p131,2.936474285,178.4,681.585,1491.897,2384.945,2505.062,2574.949,2621.557,2667.428,2722.542,2786.771,2847.146,2904.311,2961.342,3027.585,3088.373,3153.034,3215.579,3266.412,3312.722,3353.238
