,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.344,0.409,0.051,0.0,0.24,0.243,0.006,0.0,0.111,0.113,0.0,0.002,0.279,0.3,0.025,0.385
p10,0.003,0.446,0.488,0.03,0.0,0.4,0.369,0.004,0.0,0.295,0.272,0.001,0.001,0.423,0.449,0.017,0.471
p100,0.002,0.348,0.363,0.039,0.0,0.287,0.276,0.008,0.0,0.222,0.24,0.002,0.001,0.33,0.353,0.028,0.345
p101,0.0,0.348,0.354,0.029,0.0,0.321,0.321,0.011,0.0,0.281,0.328,0.008,0.0,0.379,0.429,0.032,0.261
p102,0.0,0.349,0.364,0.027,0.0,0.327,0.32,0.008,0.0,0.287,0.33,0.006,0.0,0.383,0.425,0.024,0.283
p103,0.001,0.332,0.408,0.061,0.0,0.245,0.289,0.016,0.0,0.142,0.203,0.005,0.0,0.304,0.376,0.043,0.402
p104,0.001,0.336,0.41,0.063,0.0,0.241,0.287,0.018,0.0,0.129,0.191,0.006,0.0,0.298,0.367,0.044,0.407
p105,0.002,0.344,0.413,0.052,0.0,0.273,0.305,0.014,0.0,0.16,0.213,0.005,0.001,0.312,0.371,0.036,0.385
p106,0.0,0.318,0.437,0.063,0.0,0.265,0.348,0.021,0.0,0.157,0.253,0.007,0.0,0.286,0.395,0.046,0.367
p107,0.001,0.339,0.417,0.051,0.0,0.293,0.332,0.015,0.0,0.179,0.244,0.006,0.001,0.306,0.375,0.036,0.377
p108,0.005,0.395,0.343,0.024,0.0,0.358,0.265,0.003,0.0,0.228,0.2,0.001,0.002,0.365,0.316,0.014,0.333
p109,0.001,0.337,0.396,0.051,0.0,0.285,0.315,0.016,0.0,0.186,0.244,0.006,0.0,0.308,0.361,0.038,0.361
p11,0.002,0.444,0.439,0.018,0.0,0.408,0.346,0.001,0.0,0.332,0.278,0.0,0.001,0.439,0.419,0.01,0.456
p110,0.001,0.318,0.391,0.051,0.0,0.268,0.324,0.015,0.0,0.18,0.249,0.006,0.0,0.292,0.353,0.036,0.391
p111,0.001,0.333,0.392,0.051,0.0,0.262,0.288,0.012,0.0,0.155,0.195,0.003,0.0,0.307,0.354,0.035,0.368
p112,0.001,0.335,0.397,0.051,0.0,0.274,0.301,0.013,0.0,0.161,0.205,0.004,0.0,0.308,0.353,0.035,0.38
p113,0.001,0.348,0.384,0.051,0.0,0.281,0.294,0.015,0.0,0.167,0.205,0.005,0.0,0.31,0.336,0.036,0.362
p114,0.001,0.342,0.378,0.051,0.0,0.283,0.286,0.016,0.0,0.175,0.209,0.006,0.0,0.31,0.324,0.037,0.338
p115,0.001,0.329,0.377,0.044,0.0,0.269,0.284,0.009,0.0,0.17,0.209,0.002,0.001,0.304,0.342,0.03,0.338
p116,0.001,0.335,0.384,0.043,0.0,0.282,0.293,0.01,0.0,0.192,0.233,0.003,0.001,0.312,0.346,0.03,0.352
p117,0.001,0.327,0.379,0.045,0.0,0.283,0.302,0.012,0.0,0.192,0.243,0.004,0.0,0.305,0.345,0.031,0.377
p118,0.001,0.336,0.382,0.042,0.0,0.29,0.319,0.012,0.0,0.227,0.281,0.005,0.0,0.327,0.369,0.032,0.364
p119,0.002,0.341,0.367,0.039,0.0,0.276,0.271,0.008,0.0,0.19,0.212,0.002,0.001,0.327,0.34,0.026,0.315
p12,0.006,0.502,0.455,0.031,0.0,0.458,0.357,0.004,0.0,0.298,0.248,0.001,0.003,0.477,0.421,0.018,0.372
p120,0.003,0.348,0.362,0.038,0.0,0.277,0.27,0.008,0.0,0.204,0.218,0.002,0.001,0.328,0.349,0.027,0.296
p121,0.002,0.361,0.358,0.037,0.0,0.3,0.274,0.007,0.0,0.226,0.227,0.002,0.001,0.337,0.337,0.026,0.31
p122,0.003,0.364,0.344,0.033,0.0,0.301,0.255,0.005,0.0,0.222,0.206,0.001,0.001,0.348,0.329,0.022,0.318
p123,0.002,0.375,0.354,0.032,0.0,0.311,0.269,0.006,0.0,0.234,0.229,0.002,0.001,0.355,0.342,0.023,0.343
p124,0.003,0.368,0.372,0.035,0.0,0.308,0.274,0.006,0.0,0.216,0.213,0.002,0.002,0.35,0.348,0.025,0.368
p125,0.003,0.371,0.34,0.032,0.0,0.317,0.264,0.005,0.0,0.246,0.22,0.001,0.002,0.365,0.342,0.021,0.367
p126,0.003,0.368,0.337,0.029,0.0,0.313,0.254,0.004,0.0,0.231,0.201,0.001,0.002,0.353,0.326,0.019,0.347
p127,0.004,0.364,0.348,0.034,0.0,0.287,0.245,0.005,0.0,0.192,0.178,0.001,0.002,0.343,0.324,0.022,0.333
p128,0.005,0.379,0.326,0.029,0.0,0.321,0.234,0.004,0.0,0.22,0.163,0.0,0.003,0.364,0.302,0.018,0.326
p129,0.006,0.366,0.319,0.03,0.0,0.287,0.224,0.004,0.0,0.196,0.156,0.0,0.004,0.353,0.304,0.018,0.341
p13,0.004,0.493,0.435,0.019,0.0,0.464,0.348,0.002,0.0,0.358,0.276,0.0,0.002,0.509,0.433,0.011,0.383
p130,0.007,0.386,0.294,0.024,0.0,0.322,0.21,0.002,0.0,0.235,0.161,0.0,0.004,0.379,0.282,0.014,0.302
p131,0.006,0.378,0.321,0.025,0.0,0.32,0.227,0.002,0.0,0.234,0.174,0.0,0.003,0.369,0.299,0.014,0.321
p132,0.005,0.362,0.322,0.03,0.0,0.302,0.237,0.004,0.0,0.226,0.184,0.0,0.003,0.346,0.306,0.018,0.324
p133,0.007,0.387,0.303,0.025,0.001,0.32,0.209,0.002,0.0,0.228,0.158,0.0,0.004,0.369,0.278,0.014,0.292
