,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0,10.3,24,58.5,94.2,128.1,226,414.3,666,884.9,1303.7,1683,1728.6,1756.8,1782.7,1806.7,1829.9,1860,1886,1898.1,1922.3
p10,534.6,865.9,1695.1,3198.3,4759.4,5427.2,5959.6,6656.8,7545.5,8583.4,9706.2,10618.3,11306.2,11651.7,11981,12298.7,12625.3,12930.3,13215,13470,13677.8
p100,0,0,0.4,1,2.5,5,10.4,19.2,33,55.8,89.6,116.9,135.2,136.3,137.1,138.1,139.2,141.2,143.7,145.7,151.3
p101,8.4,26.9,57.3,101.9,216.6,398.3,758.9,1358.1,2288.2,3700.4,5733.2,6831.7,7535.4,7641.5,7746.1,7858.8,7979.8,8123.8,8297.9,8537.3,8857.2
p102,5.1,14.2,29.1,48.4,100.5,138.6,252,474.9,858.9,1472.1,2464.3,3091.3,3474.4,3503.1,3532.8,3563.2,3594.1,3635,3706,3837.4,4033.5
p103,0,0,13.1,25.7,46,65.9,114.2,207.7,394.6,779,1433.5,2208.5,2990.6,3240.7,3421.9,3571.3,3769.8,3988,4142.1,4387.9,4656.8
p104,0,0,1.2,3,4.5,6.4,10.2,16.9,28.9,51.3,87.8,129.9,170.8,184.5,195.4,206,219.7,235.3,249.3,263.9,281.7
p105,0,0,4.1,11,49.1,66.7,101,140.9,212.4,346.3,585,853.5,1123.2,1241.8,1339.8,1427.3,1510.5,1602.8,1687.3,1785.2,1907.5
p106,0,0,0.8,2.2,10.8,19.7,35.3,49.7,72.3,114.2,192.4,288.2,389.7,440.5,478.5,509.2,536.4,563.5,591.7,621.9,660.1
p107,0,0,1.4,3.9,17.9,27,49.7,74.8,120.3,206.7,365.6,554.8,754.5,838.7,903.9,958.2,1007.3,1057.7,1108.1,1166.5,1242.6
p108,0,0,0.1,0.4,3.7,5.3,7.9,11.6,17.2,26,39,55.5,76.2,98.3,122.8,149.2,176.6,204.8,232.6,260.6,288.9
p109,0,0,0.2,1.1,6.6,8.6,14.6,24.2,39.6,65.6,111.8,170.5,248,321.9,411,516.1,633,760.3,890.3,1017.4,1144
p11,107.4,132.9,229.1,491.1,748.6,875.9,931,1013,1147.9,1327.5,1528.6,1701.3,1827.1,1894.5,1950.4,1997.9,2039.3,2076.5,2110.8,2152,2186.8
p110,0,0,0.1,0.3,2.5,3.4,4.7,6.6,9.4,13.9,20.9,29.9,41.8,55.1,70.8,88.5,107.6,127.4,146.9,166,185.4
p111,0,18.4,26.6,33,47.4,55.1,74.2,108.2,164.7,255.7,404.2,616.9,898.4,1150.4,1425.2,1532.9,1633,1734.9,1826.3,1916.8,2011.2
p112,0,16,35.5,43.8,61.8,71.5,90.6,124.4,180.3,268.9,410.2,611.7,883.7,1159.5,1464.1,1601.3,1729.4,1854.9,1971.5,2084.2,2200.1
p113,0,3.9,6.5,7.8,10.6,11.6,14.5,20.2,29.7,45.9,73.3,116.2,179.8,252.4,335.6,370.6,402.4,433,460.2,478.9,505.6
p114,0,5.7,9.4,11.4,15.4,16.6,20.1,27.3,40.7,63.5,101.8,159.7,243.2,338.2,446.4,503.9,557.2,609.7,657.5,697.7,745.5
p115,0.4,35.6,55.5,71.7,94.2,170.3,261.2,382.1,563.4,832.8,1213.1,1281.4,1315.6,1323.5,1332.6,1342.9,1353.2,1366.5,1381.7,1399.1,1421
p116,0,0,20.8,33.8,46.8,54.5,66.6,83.9,108.8,149,211.7,278.4,345.8,380,414.7,450.8,488.7,531,573.5,614.5,660.6
p117,0,0,4.4,6.9,9,10.3,12.9,16.9,23.3,33.4,52.4,75.8,104.3,127.4,152.7,180.1,209.2,240.8,273.3,305.2,339.3
p118,0,0,1.8,4,7.8,15.1,29.9,55.9,96,163.6,273.9,366.2,451.4,464.8,480.7,498.9,522,549.3,574.7,593.1,630.1
p119,0.1,4.1,8.8,10.1,12.5,22.2,33.5,47.9,70.2,104.1,153.6,163.7,168.5,170.2,172.5,174.9,177.3,179.6,181.9,185,188.7
