state,USD2024
AL,29000943468
AR,15676323231
AZ,36692839228
CA,115690125363
CO,36713548204
CT,6516801050
DE,1843296852
FL,53959974033
GA,41024618099
IA,13116257347
ID,19383178638
IL,34373888702
IN,27135000148
KS,18671579154
KY,16354489831
LA,17577460072
MA,13896985514
MD,15553739140
ME,6079418120
MI,29153221059
MN,26772382444
MO,21281479713
MS,18600003769
MT,23333678382
NC,34639993818
ND,16208875809
NE,15492941282
NH,4333361558
NJ,12539522096
NM,16753235500
NV,21099532293
NY,37123595591
OH,34492813113
OK,26499086869
OR,37945954433
PA,25516020332
RI,1379417373
SC,27009408374
SD,11606835623
TN,26570022201
TX,113421615658
UT,37032779865
VA,28669269656
VT,1949959728
WA,55812505620
WI,18810323499
WV,12655544752
WY,14134874475
