i,region,cap_cost_mult_for_ratebase
battery_2,p2,1.019540506
battery_2,p1,1.02436708
battery_2,p3,1.005546475
battery_2,p4,1.011951552
battery_2,p5,1.017729275
battery_2,p6,1.032725048
battery_2,p7,1.015867452
battery_2,p9,1.056109144
battery_2,p8,1.039666411
battery_2,p10,1.046638129
battery_2,p11,1.056534125
battery_2,p12,1.028303217
battery_2,p13,1.023719489
battery_2,p14,1.002060616
battery_2,p15,1.000902035
battery_2,p16,0.998889445
battery_2,p25,1.002932839
battery_2,p26,0.993383912
battery_2,p27,1.01928754
battery_2,p28,0.998994678
battery_2,p29,0.995204249
battery_2,p30,0.995611017
battery_2,p17,1.00517411
battery_2,p18,1.006293228
battery_2,p20,1.000147188
battery_2,p19,0.998748796
battery_2,p21,0.992715072
battery_2,p22,0.98858061
battery_2,p23,0.983966527
battery_2,p24,0.986093457
battery_2,p33,0.983488928
battery_2,p34,0.984692031
battery_2,p31,0.988980295
battery_2,p59,0.99232753
battery_2,p32,0.980933981
battery_2,p35,0.991733568
battery_2,p36,0.990558798
battery_2,p37,0.995515902
battery_2,p38,0.992347767
battery_2,p39,0.985773709
battery_2,p40,0.992753523
battery_2,p41,0.995845769
battery_2,p42,1.008116601
battery_2,p43,1.02038035
battery_2,p44,1.012022382
battery_2,p46,1.02161482
battery_2,p45,1.000263552
battery_2,p69,0.99507979
battery_2,p52,0.98717716
battery_2,p53,0.991560539
battery_2,p54,1.00680017
battery_2,p55,1.000604549
battery_2,p47,0.986071196
battery_2,p48,0.984948031
battery_2,p57,0.978771635
battery_2,p49,0.985231352
battery_2,p50,0.985375036
battery_2,p51,0.988642334
battery_2,p56,0.98736739
battery_2,p58,0.969086106
battery_2,p61,0.98319043
battery_2,p62,0.982733069
battery_2,p60,0.983099362
battery_2,p63,0.977052484
battery_2,p64,0.97090442
battery_2,p65,0.971737181
battery_2,p67,0.962162957
battery_2,p68,1.013590766
battery_2,p70,1.000870668
battery_2,p71,1.008626578
battery_2,p72,1.012164043
battery_2,p73,1.009997649
battery_2,p84,1.001250115
battery_2,p74,1.009712305
battery_2,p75,1.007601564
battery_2,p76,1.008435337
battery_2,p77,1.010012827
battery_2,p78,1.016798364
battery_2,p79,1.021888022
battery_2,p80,1.031713187
battery_2,p81,1.011340388
battery_2,p82,1.014187764
battery_2,p83,1.011474966
battery_2,p103,1.009074833
battery_2,p104,1.016120417
battery_2,p105,1.013499699
battery_2,p106,1.003105868
battery_2,p107,0.992804116
battery_2,p111,1.013155666
battery_2,p112,1.00502132
battery_2,p113,0.991946058
battery_2,p114,0.983920993
battery_2,p108,0.989251474
battery_2,p109,0.983251141
battery_2,p110,0.989829246
battery_2,p118,0.985993283
battery_2,p117,1.008463669
battery_2,p116,1.013621122
battery_2,p115,1.021786836
battery_2,p121,1.034961259
battery_2,p120,1.038057552
battery_2,p119,1.036539762
battery_2,p66,0.96705429
battery_2,p85,0.984445137
battery_2,p86,0.979126798
battery_2,p87,0.977067662
battery_2,p88,0.977102065
battery_2,p89,0.971597544
battery_2,p90,0.971164468
battery_2,p91,0.973584838
battery_2,p94,0.970609968
battery_2,p92,0.975487136
battery_2,p93,0.985709962
battery_2,p97,0.96849518
battery_2,p98,0.997878596
battery_2,p95,0.959615092
battery_2,p96,0.969750899
battery_2,p99,1.01428895
battery_2,p100,1.030630497
battery_2,p101,0.979829029
battery_2,p102,0.979545708
battery_2,p124,1.04213535
battery_2,p123,1.037804587
battery_2,p125,1.048965409
battery_2,p122,1.033919043
battery_2,p126,1.085878079
battery_2,p127,1.034890429
