i,t,cost_cap
battery_2,2010,2329971.16
battery_2,2011,2329971.16
battery_2,2012,2329971.16
battery_2,2013,2329971.16
battery_2,2014,2329971.16
battery_2,2015,2329971.16
battery_2,2016,2329971.16
battery_2,2017,2329971.16
battery_2,2018,1002979.89
battery_2,2019,935305.8
battery_2,2020,867631.71
battery_2,2021,824859.42
battery_2,2022,782087.13
battery_2,2023,739316.05
battery_2,2024,696543.76
battery_2,2025,653771.47
battery_2,2026,632525.08
battery_2,2027,611278.69
battery_2,2028,590032.3
battery_2,2029,568785.91
battery_2,2030,547540.73
battery_2,2031,540695.76
battery_2,2032,533852
battery_2,2033,527007.03
battery_2,2034,520163.27
battery_2,2035,513319.51
battery_2,2036,506474.54
battery_2,2037,499630.78
battery_2,2038,492785.81
battery_2,2039,485942.05
battery_2,2040,479098.29
battery_2,2041,472253.32
battery_2,2042,465409.56
battery_2,2043,458564.59
battery_2,2044,451720.83
battery_2,2045,444877.07
battery_2,2046,438032.1
battery_2,2047,431188.34
battery_2,2048,424343.37
battery_2,2049,417499.61
battery_2,2050,410654.64
battery_4,2010,3582029.55
battery_4,2011,3322526.9
battery_4,2012,3063024.25
battery_4,2013,2803521.6
battery_4,2014,2544017.74
battery_4,2015,2284515.09
battery_4,2016,2163162.98
battery_4,2017,2041809.66
battery_4,2018,1383420.83
battery_4,2019,1290076.59
battery_4,2020,1196733.56
battery_4,2021,1137737.59
battery_4,2022,1078741.62
battery_4,2023,1019745.65
battery_4,2024,960749.68
battery_4,2025,901753.71
battery_4,2026,872448.72
battery_4,2027,843143.73
battery_4,2028,813838.74
battery_4,2029,784532.54
battery_4,2030,755227.55
battery_4,2031,745787.13
battery_4,2032,736346.71
battery_4,2033,726907.5
battery_4,2034,717467.08
battery_4,2035,708026.66
battery_4,2036,698586.24
battery_4,2037,689145.82
battery_4,2038,679705.4
battery_4,2039,670264.98
battery_4,2040,660824.56
battery_4,2041,651384.14
battery_4,2042,641943.72
battery_4,2043,632503.3
battery_4,2044,623062.88
battery_4,2045,613622.46
battery_4,2046,604182.04
battery_4,2047,594741.62
battery_4,2048,585301.2
battery_4,2049,575860.78
battery_4,2050,566421.57
battery_6,2010,3914351.21
battery_6,2011,3914351.21
battery_6,2012,3914351.21
battery_6,2013,3914351.21
battery_6,2014,3914351.21
battery_6,2015,3914351.21
battery_6,2016,3914351.21
battery_6,2017,3914351.21
battery_6,2018,1763860.56
battery_6,2019,1644848.59
battery_6,2020,1525835.41
battery_6,2021,1450615.76
battery_6,2022,1375396.11
battery_6,2023,1300175.25
battery_6,2024,1224955.6
battery_6,2025,1149735.95
battery_6,2026,1112371.15
battery_6,2027,1075007.56
battery_6,2028,1037643.97
battery_6,2029,1000279.17
battery_6,2030,962915.58
battery_6,2031,950879.71
battery_6,2032,938842.63
battery_6,2033,926806.76
battery_6,2034,914769.68
battery_6,2035,902733.81
battery_6,2036,890696.73
battery_6,2037,878660.86
battery_6,2038,866623.78
battery_6,2039,854587.91
battery_6,2040,842550.83
battery_6,2041,830514.96
battery_6,2042,818477.88
battery_6,2043,806442.01
battery_6,2044,794404.93
battery_6,2045,782369.06
battery_6,2046,770331.98
battery_6,2047,758296.11
battery_6,2048,746259.03
battery_6,2049,734223.16
battery_6,2050,722187.29
battery_8,2010,4193948.33
battery_8,2011,4193948.33
battery_8,2012,4193948.33
battery_8,2013,4193948.33
battery_8,2014,4193948.33
battery_8,2015,4193948.33
battery_8,2016,4193948.33
battery_8,2017,4193948.33
battery_8,2018,2144301.5
battery_8,2019,1999619.38
battery_8,2020,1854937.26
battery_8,2021,1763493.93
battery_8,2022,1672049.39
battery_8,2023,1580606.06
battery_8,2024,1489161.52
battery_8,2025,1397718.19
battery_8,2026,1352294.79
