r,szn,HDD-CDD,t,Value
p1,spri,cdd,2010,1.66555695519
p1,spri,cdd,2012,0.422731529443
p1,spri,cdd,2014,0.524590129558
p1,spri,cdd,2016,0.708667341092
p1,spri,cdd,2018,0.708667341092
p1,spri,cdd,2020,0.821159053241
p1,spri,cdd,2022,0.7008058365530001
p1,spri,cdd,2024,0.6429511108470001
p1,spri,cdd,2026,1.08475383909
p1,spri,cdd,2028,1.08475383909
p1,spri,cdd,2030,1.0942641983299999
p1,spri,cdd,2032,1.54756844433
p1,spri,cdd,2034,1.2178321376799999
p1,spri,cdd,2036,1.4958658940600003
p1,spri,cdd,2038,1.7340793555900003
p1,spri,cdd,2040,1.86483492779
p1,spri,cdd,2042,1.98126983697
p1,spri,cdd,2044,3.0536519550800003
p1,spri,cdd,2046,2.6618233863
p1,spri,cdd,2048,2.82498484161
p1,spri,cdd,2050,3.03643699493
p1,spri,hdd,2010,842.3677514789999
p1,spri,hdd,2012,822.87154487
p1,spri,hdd,2014,821.267107771
p1,spri,hdd,2016,812.515182397
p1,spri,hdd,2018,814.248753257
p1,spri,hdd,2020,817.413757844
p1,spri,hdd,2022,811.401820128
p1,spri,hdd,2024,809.810416577
p1,spri,hdd,2026,791.856387025
p1,spri,hdd,2028,808.0965069169999
p1,spri,hdd,2030,806.09583968
p1,spri,hdd,2032,816.202697234
p1,spri,hdd,2034,819.321351815
p1,spri,hdd,2036,790.277984811
p1,spri,hdd,2038,777.173268832
p1,spri,hdd,2040,765.8665695889999
p1,spri,hdd,2042,781.830158659
p1,spri,hdd,2044,768.825899027
p1,spri,hdd,2046,766.1539327610001
p1,spri,hdd,2048,752.220249625
p1,spri,hdd,2050,736.27275711
p1,summ,cdd,2010,85.4759045887
p1,summ,cdd,2012,82.6603380292
p1,summ,cdd,2014,82.75619609489999
p1,summ,cdd,2016,95.8711372043
p1,summ,cdd,2018,95.30600120540001
p1,summ,cdd,2020,96.5288668341
p1,summ,cdd,2022,90.0197614574
p1,summ,cdd,2024,96.2329035274
p1,summ,cdd,2026,99.0483229049
p1,summ,cdd,2028,110.343249643
p1,summ,cdd,2030,112.30431645
p1,summ,cdd,2032,117.196299344
p1,summ,cdd,2034,124.873110723
p1,summ,cdd,2036,124.873428158
p1,summ,cdd,2038,136.224605746
p1,summ,cdd,2040,142.61018264700002
p1,summ,cdd,2042,146.76156337700002
p1,summ,cdd,2044,141.654794734
p1,summ,cdd,2046,153.645177519
p1,summ,cdd,2048,164.841738367
p1,summ,cdd,2050,179.87716793400003
p1,summ,hdd,2010,196.284318453
p1,summ,hdd,2012,200.188990719
p1,summ,hdd,2014,203.81951841400002
p1,summ,hdd,2016,189.58206766200001
p1,summ,hdd,2018,180.958018416
p1,summ,hdd,2020,178.58491518900001
p1,summ,hdd,2022,177.971066791
p1,summ,hdd,2024,176.543819737
p1,summ,hdd,2026,168.19269854799998
p1,summ,hdd,2028,157.782446536
p1,summ,hdd,2030,159.876537994
p1,summ,hdd,2032,148.93817593100002
p1,summ,hdd,2034,147.786306118
p1,summ,hdd,2036,148.829312395
p1,summ,hdd,2038,140.016213649
p1,summ,hdd,2040,129.847167767
p1,summ,hdd,2042,130.527261241
p1,summ,hdd,2044,127.930084146
p1,summ,hdd,2046,123.571495749
p1,summ,hdd,2048,115.43191466299999
p1,summ,hdd,2050,104.757002521
p1,fall,cdd,2010,3.15249138709
p1,fall,cdd,2012,3.5875277144
p1,fall,cdd,2014,3.90571096121
p1,fall,cdd,2016,4.09032994998
p1,fall,cdd,2018,4.67331800065
p1,fall,cdd,2020,4.97514809371
p1,fall,cdd,2022,3.5600107829800005
p1,fall,cdd,2024,4.6403395419999995
p1,fall,cdd,2026,6.7655325716100005
p1,fall,cdd,2028,6.970365773410001
p1,fall,cdd,2030,6.63447172018
p1,fall,cdd,2032,6.421995969269999
p1,fall,cdd,2034,6.54437911252
p1,fall,cdd,2036,8.561192983589999
p1,fall,cdd,2038,12.4325985224
p1,fall,cdd,2040,17.4132914777
p1,fall,cdd,2042,18.3510068864
p1,fall,cdd,2044,17.6400201746
p1,fall,cdd,2046,16.9875175618
p1,fall,cdd,2048,19.672099297
p1,fall,cdd,2050,24.7413572411
p1,fall,hdd,2010,430.290945745
p1,fall,hdd,2012,418.015411474
p1,fall,hdd,2014,407.24079418599996
p1,fall,hdd,2016,397.655346345
p1,fall,hdd,2018,392.006552428
p1,fall,hdd,2020,396.33669055900003
p1,fall,hdd,2022,389.05992787199995
p1,fall,hdd,2024,374.00175532699996
p1,fall,hdd,2026,361.75888966599996
p1,fall,hdd,2028,365.131678547
p1,fall,hdd,2030,379.383497327
p1,fall,hdd,2032,379.99434975800006
p1,fall,hdd,2034,379.698440877
p1,fall,hdd,2036,374.85476591400004
p1,fall,hdd,2038,357.63198858199996
p1,fall,hdd,2040,341.382983553
p1,fall,hdd,2042,336.433250715
p1,fall,hdd,2044,331.62148631900004
p1,fall,hdd,2046,328.42930814
p1,fall,hdd,2048,316.87778910599997
p1,fall,hdd,2050,285.50984050799997
p1,wint,cdd,2010,0.0
p1,wint,cdd,2012,0.0
p1,wint,cdd,2014,0.0
p1,wint,cdd,2016,0.0
p1,wint,cdd,2018,0.0
p1,wint,cdd,2020,0.0
p1,wint,cdd,2022,0.0
p1,wint,cdd,2024,0.0
p1,wint,cdd,2026,0.0
p1,wint,cdd,2028,0.0
p1,wint,cdd,2030,0.0
p1,wint,cdd,2032,0.0
p1,wint,cdd,2034,0.0
p1,wint,cdd,2036,0.0
p1,wint,cdd,2038,0.0
p1,wint,cdd,2040,0.0
p1,wint,cdd,2042,0.0
p1,wint,cdd,2044,0.0
p1,wint,cdd,2046,0.0
p1,wint,cdd,2048,0.0
p1,wint,cdd,2050,0.0
p1,wint,hdd,2010,1950.66036123
p1,wint,hdd,2012,1935.76570314
p1,wint,hdd,2014,1929.17722106
p1,wint,hdd,2016,1915.05056523
p1,wint,hdd,2018,1922.74009285
p1,wint,hdd,2020,1927.66679356
p1,wint,hdd,2022,1913.91508201
p1,wint,hdd,2024,1884.67598388
p1,wint,hdd,2026,1871.79701939
p1,wint,hdd,2028,1882.41000648
p1,wint,hdd,2030,1872.50275993
p1,wint,hdd,2032,1861.39874763
p1,wint,hdd,2034,1858.02378584
p1,wint,hdd,2036,1842.13602742
p1,wint,hdd,2038,1824.43916885
p1,wint,hdd,2040,1802.82865866
p1,wint,hdd,2042,1789.47540144
p1,wint,hdd,2044,1791.78730408
p1,wint,hdd,2046,1798.42897591
p1,wint,hdd,2048,1784.9967780000002
p1,wint,hdd,2050,1759.33825458
p2,spri,cdd,2010,2.3012556504
p2,spri,cdd,2012,1.05899226186
p2,spri,cdd,2014,1.30682864891
p2,spri,cdd,2016,1.80819991177
p2,spri,cdd,2018,1.7317682774
p2,spri,cdd,2020,1.7551862311000002
p2,spri,cdd,2022,1.6120446405899997
p2,spri,cdd,2024,1.5691525074200001
p2,spri,cdd,2026,2.28495025639
