wst,r,t,Value
fsu,p1,2010,1.0
fsu,p1,2012,1.0675819314304882
fsu,p1,2014,1.0376103038271245
fsu,p1,2016,1.0412577987795986
fsu,p1,2018,1.0157078033356528
fsu,p1,2020,1.0594761269240809
fsu,p1,2022,1.0707929498671058
fsu,p1,2024,1.0705205613437407
fsu,p1,2026,1.0774170725244383
fsu,p1,2028,1.0991083672541302
fsu,p1,2030,1.0946799225590724
fsu,p1,2032,1.1098267031916675
fsu,p1,2034,1.131521946190063
fsu,p1,2036,1.1127038044583404
fsu,p1,2038,1.1109971434012609
fsu,p1,2040,1.0855095791399627
fsu,p1,2042,1.060287574014178
fsu,p1,2044,1.0519767799308677
fsu,p1,2046,1.031717625801803
fsu,p1,2048,1.0161192190565649
fsu,p1,2050,1.0076407210010516
fsu,p2,2010,1.0
fsu,p2,2012,1.0428375931565146
fsu,p2,2014,1.006506146343733
fsu,p2,2016,1.0060921621065442
fsu,p2,2018,0.9988869549771392
fsu,p2,2020,1.0400628876205371
fsu,p2,2022,1.0653502921552729
fsu,p2,2024,1.0741810636769389
fsu,p2,2026,1.0865561268069794
fsu,p2,2028,1.1072681796057458
fsu,p2,2030,1.0944376014707458
fsu,p2,2032,1.088581925637451
fsu,p2,2034,1.1107954038158867
fsu,p2,2036,1.1021696332886404
fsu,p2,2038,1.0907848354341088
fsu,p2,2040,1.0492426280944012
fsu,p2,2042,1.0076531184733606
fsu,p2,2044,0.986719644899646
fsu,p2,2046,0.9610830734249588
fsu,p2,2048,0.9251476975948142
fsu,p2,2050,0.9182087414879258
fsu,p3,2010,1.0
fsu,p3,2012,1.04606820592722
fsu,p3,2014,1.00397891788949
fsu,p3,2016,0.9865982116054643
fsu,p3,2018,0.966544680800284
fsu,p3,2020,1.0053958215656589
fsu,p3,2022,1.0492504349061074
fsu,p3,2024,1.0716687509993887
fsu,p3,2026,1.095660078826401
fsu,p3,2028,1.117862639222232
fsu,p3,2030,1.1146906559346406
fsu,p3,2032,1.0862036554852232
fsu,p3,2034,1.1044589721496485
fsu,p3,2036,1.0925848462400496
fsu,p3,2038,1.0778487031241484
fsu,p3,2040,1.0220433705153884
fsu,p3,2042,0.9687088741598012
fsu,p3,2044,0.9371454614202456
fsu,p3,2046,0.9047286791173058
fsu,p3,2048,0.8779237003967139
fsu,p3,2050,0.8617057243397974
fsu,p4,2010,1.0
fsu,p4,2012,1.0575807604676293
fsu,p4,2014,1.0175740968359852
fsu,p4,2016,0.9996656410443848
fsu,p4,2018,0.9780286515535188
fsu,p4,2020,0.9939501571661674
fsu,p4,2022,1.0216199747620098
fsu,p4,2024,1.0229319761077744
fsu,p4,2026,1.0257994213232795
fsu,p4,2028,1.0345107839043577
fsu,p4,2030,1.0338120652101022
fsu,p4,2032,1.0232281102304264
fsu,p4,2034,1.054713381064526
fsu,p4,2036,1.044686511858812
fsu,p4,2038,1.035887576131496
fsu,p4,2040,0.9982485379386196
fsu,p4,2042,0.960488149390626
fsu,p4,2044,0.9432843097459064
fsu,p4,2046,0.9264278592368004
fsu,p4,2048,0.9162659282867188
fsu,p4,2050,0.9088220458930276
fsu,p5,2010,1.0
fsu,p5,2012,0.992646610808374
fsu,p5,2014,0.9558366576842764
fsu,p5,2016,0.9790789330792112
fsu,p5,2018,0.9903433079677776
fsu,p5,2020,1.069520766593183
fsu,p5,2022,1.1050769786673729
fsu,p5,2024,1.132008626934633
fsu,p5,2026,1.1570776647178718
fsu,p5,2028,1.2122967730630472
fsu,p5,2030,1.1722006394167006
fsu,p5,2032,1.164157751783142
fsu,p5,2034,1.1700957071156166
fsu,p5,2036,1.1815834184591778
fsu,p5,2038,1.1619615874356928
fsu,p5,2040,1.1072878290678971
fsu,p5,2042,1.0346700406498242
fsu,p5,2044,0.9942595411518174
fsu,p5,2046,0.9456683176618226
fsu,p5,2048,0.8280020798185297
fsu,p5,2050,0.8293882468347913
fsu,p6,2010,1.0
fsu,p6,2012,1.0088061462632216
fsu,p6,2014,0.9956038134499554
fsu,p6,2016,1.0405131934511254
fsu,p6,2018,1.0655544814538138
fsu,p6,2020,1.1295282330007552
fsu,p6,2022,1.1411227834954003
fsu,p6,2024,1.1355893310206122
fsu,p6,2026,1.1634051247305384
fsu,p6,2028,1.195333860202685
fsu,p6,2030,1.1771884938221564
fsu,p6,2032,1.1935502248661445
fsu,p6,2034,1.2180623379018978
fsu,p6,2036,1.203020143432467
fsu,p6,2038,1.1765335119960108
fsu,p6,2040,1.1341439339669723
fsu,p6,2042,1.0943721327563083
fsu,p6,2044,1.0803955474956624
fsu,p6,2046,1.0398813262821291
fsu,p6,2048,0.9553385416721258
fsu,p6,2050,0.9381246782226028
fsu,p7,2010,1.0
fsu,p7,2012,1.0501069762612902
fsu,p7,2014,1.033150286576232
fsu,p7,2016,1.160313525801151
fsu,p7,2018,1.172001859837822
fsu,p7,2020,1.2977301199653966
fsu,p7,2022,1.3641474835455265
fsu,p7,2024,1.3974589030211342
fsu,p7,2026,1.4410032453990498
fsu,p7,2028,1.5589629594596164
fsu,p7,2030,1.4754882315322748
fsu,p7,2032,1.4898131195358832
fsu,p7,2034,1.5337064814975254
fsu,p7,2036,1.5185346108656188
fsu,p7,2038,1.4702647954959571
fsu,p7,2040,1.379229802882403
fsu,p7,2042,1.2407767209454483
fsu,p7,2044,1.1823262373372914
fsu,p7,2046,1.086116896444862
fsu,p7,2048,0.8508385892015645
fsu,p7,2050,0.8440079658941841
fsu,p8,2010,1.0
fsu,p8,2012,1.0084347305630854
fsu,p8,2014,0.996878011439227
fsu,p8,2016,1.0620429534948257
fsu,p8,2018,1.085509465481746
fsu,p8,2020,1.159685078698651
fsu,p8,2022,1.18957925836314
fsu,p8,2024,1.1906440000313134
fsu,p8,2026,1.2185220481478969
fsu,p8,2028,1.262507133737768
fsu,p8,2030,1.2317542980257228
fsu,p8,2032,1.2515373706352375
fsu,p8,2034,1.289260815500268
fsu,p8,2036,1.2614578383378303
fsu,p8,2038,1.2170114596089152
fsu,p8,2040,1.1675938756876494
fsu,p8,2042,1.1043958032680838
fsu,p8,2044,1.07666104101093
fsu,p8,2046,1.0182562455575692
fsu,p8,2048,0.8922439238964304
fsu,p8,2050,0.8712405422062389
fsu,p9,2010,1.0
fsu,p9,2012,0.8783607213087505
fsu,p9,2014,0.8718191351838072
fsu,p9,2016,0.9310675572305088
fsu,p9,2018,0.9547545302002444
fsu,p9,2020,0.9936654144269268
fsu,p9,2022,0.9797280425658084
fsu,p9,2024,0.9643009252980821
fsu,p9,2026,1.0171821899503677
fsu,p9,2028,1.0732790885800452
fsu,p9,2030,1.0908901189154194
fsu,p9,2032,1.1282538352735123
fsu,p9,2034,1.144590795683058
fsu,p9,2036,1.1210888114819508
fsu,p9,2038,1.1020469943691662
fsu,p9,2040,1.1098979676994007
fsu,p9,2042,1.0882345255998958
fsu,p9,2044,1.0702741075828337
fsu,p9,2046,0.9863590279246652
fsu,p9,2048,0.8604430007288676
fsu,p9,2050,0.8500457115648432
fsu,p10,2010,1.0
fsu,p10,2012,0.6118440057234047
fsu,p10,2014,0.6542186856695443
fsu,p10,2016,0.7916787634970694
fsu,p10,2018,0.8056170140588611
fsu,p10,2020,0.81872051968662
fsu,p10,2022,0.6861956336784136
fsu,p10,2024,0.7026494976550154
fsu,p10,2026,0.7996587086335369
fsu,p10,2028,0.8320258323744236
fsu,p10,2030,0.8497674580765145
fsu,p10,2032,0.8405971603875032
fsu,p10,2034,0.7846070417077282
fsu,p10,2036,0.7190597205531101
fsu,p10,2038,0.7176771648636401
