r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.092,0.184,0.398,0.892,1.350,2.046,3.473,3.073689108,3.190232919,3.280942395,3.34257803,3.380578391,3.008,3.008,3.008,3.008,3.008,3.008,3.008,3.008,3.008
p53029,0.1125,0.225,0.486,1.174,1.850,2.838,4.848,4.294785678,4.473538049,4.655273319,4.842737717,5.038275574,4.675,4.675,4.678,4.714,4.821,4.955,5.203,5.564,5.983
p53033,2.6285,5.257,11.367,26.837,50.081,76.746,129.632,115.437054,121.6817197,128.4170452,140.5049563,156.2494791,147.343,147.343,147.453,148.374,150.189,152.701,157.557,164.923,174.87
p53035,0.2965,0.593,1.282,2.923,4.512,6.859,11.616,10.28071347,10.67582598,11.02736955,11.36009814,11.71289494,10.61,10.61,10.613,10.664,10.755,10.877,11.108,11.586,12.179
p53037,0.06025,0.1205,0.261,0.621,0.982,1.520,2.607,2.320594403,2.442522078,2.557782552,2.67806285,2.913051592,2.751,2.751,2.751,2.786,2.861,3.03,3.261,3.563,3.916
p53053,0.928,1.856,4.013,9.005,13.837,21.006,35.503,31.44298123,32.69034217,33.78018151,34.77814648,35.8377273,32.393,32.393,32.398,32.534,32.798,33.132,33.948,35.191,36.864
p53055,0.03475,0.0695,0.150,0.362,0.569,0.873,1.491,1.319193031,1.385121074,1.452864119,1.524606734,1.602627921,1.461,1.461,1.461,1.471,1.488,1.541,1.63,1.72,1.871
p53057,0.1385,0.277,0.599,1.398,2.195,3.346,5.675,5.02233443,5.219127724,5.410064588,5.611708461,5.833970222,5.305,5.305,5.308,5.349,5.414,5.483,5.685,6.085,6.616
p53061,0.84425,1.6885,3.651,8.434,13.207,20.347,34.692,30.83907489,32.30959296,34.45207663,38.1885095,42.91693717,41.181,41.181,41.185,41.541,42.461,43.781,45.995,48.758,52.175
p53067,0.322,0.644,1.392,3.185,4.950,7.544,12.765,11.29744241,11.74171165,12.15846572,12.59911892,13.07501629,11.857,11.857,11.865,11.942,12.065,12.23,12.679,13.348,14.237
p53073,0.25025,0.5005,1.082,2.529,3.939,6.019,10.233,9.05859506,9.427520084,9.7730199,10.11107629,10.44517805,9.515,9.515,9.518,9.564,9.696,9.923,10.249,10.683,11.189
p53003,0.035,0.07,0.151,0.364,0.569,0.886,1.492,1.343717147,1.430726133,1.543395442,1.755742449,2.185912557,2.151,2.151,2.163,2.177,2.218,2.32,2.404,2.59,2.904
p53005,0.1985,0.397,0.858,1.994,3.126,4.813,8.186,7.2509634,7.572560851,7.91221946,8.287548852,9.128011201,8.587,8.587,8.587,8.629,8.79,9.152,9.651,10.24,11.125
p53009,0.09025,0.1805,0.390,0.886,1.363,2.069,3.524,3.126824691,3.259170798,3.361657068,3.450367281,3.510946441,3.148,3.148,3.148,3.152,3.172,3.207,3.264,3.341,3.434
p53011,0.48025,0.9605,2.077,4.756,7.371,11.207,18.979,16.79799709,17.43598045,17.99937214,18.53641759,19.68445163,18.116,18.116,18.118,18.209,18.375,18.614,19.077,20.007,21.216
p53013,0.00575,0.0115,0.025,0.057,0.087,0.133,0.226,0.200280274,0.208934802,0.217057027,0.224468338,0.236011124,0.218,0.218,0.218,0.219,0.222,0.227,0.236,0.249,0.26
p53015,0.1235,0.247,0.534,1.199,1.839,2.794,4.727,4.193623703,4.364298025,4.501479144,4.61604692,4.749442912,4.29,4.291,4.291,4.3,4.338,4.384,4.442,4.521,4.616
p53023,0.003,0.006,0.013,0.031,0.048,0.071,0.122,0.108314842,0.112421772,0.115618316,0.118901546,0.122501012,0.111,0.111,0.111,0.112,0.113,0.114,0.116,0.118,0.122
p53027,0.10275,0.2055,0.444,1.047,1.638,2.493,4.238,3.751167791,3.893399283,4.015009627,4.139329508,4.299897914,3.923,3.923,3.925,3.951,3.989,4.048,4.118,4.257,4.516
p53031,0.0465,0.093,0.201,0.483,0.762,1.165,1.986,1.757561591,1.826323499,1.894613345,1.970209723,2.040934295,1.854,1.854,1.855,1.869,1.888,1.915,1.972,2.113,2.309
p53039,0.02675,0.0535,0.116,0.276,0.439,0.681,1.168,1.037165706,1.089218487,1.143094292,1.199016521,1.302556634,1.246,1.246,1.246,1.263,1.305,1.373,1.475,1.582,1.718
p53041,0.094,0.188,0.406,0.905,1.367,2.069,3.506,3.103322414,3.220989818,3.312573821,3.423697776,3.516565753,3.155,3.155,3.155,3.155,3.155,3.159,3.171,3.192,3.228
p53045,0.08875,0.1775,0.384,0.879,1.349,2.049,3.488,3.087994842,3.20614166,3.299484955,3.362580159,3.431152203,3.079,3.079,3.079,3.081,3.091,3.115,3.156,3.212,3.285
p53049,0.03925,0.0785,0.170,0.385,0.583,0.884,1.503,1.331455089,1.381939326,1.422323432,1.451265594,1.470012146,1.312,1.312,1.312,1.312,1.315,1.323,1.335,1.355,1.385
p53059,0.0145,0.029,0.063,0.144,0.224,0.340,0.576,0.510919067,0.533473124,0.549732369,0.563393305,0.577665323,0.521,0.521,0.521,0.522,0.526,0.534,0.544,0.555,0.57
p53069,0.00525,0.0105,0.023,0.052,0.081,0.122,0.208,0.183930864,0.190904895,0.196332989,0.201132521,0.206790699,0.186,0.186,0.186,0.186,0.188,0.19,0.193,0.196,0.201
p53071,0.07,0.14,0.303,0.849,2.127,3.629,6.326,5.718206199,6.241529497,6.914193432,7.610810148,8.487409577,8.012,8.013,8.026,8.067,8.162,8.281,8.623,8.906,9.264
p53077,0.265,0.53,1.146,2.773,5.354,8.422,14.633,13.40958184,14.82164396,16.51923955,18.38640162,20.47340311,19.318,19.348,19.4,19.525,19.905,20.583,21.342,22.073,23.435
p53001,0.02,0.04,0.086,0.214,0.340,0.538,0.918,0.833819918,0.90573767,1.07001479,1.280136267,1.575655221,1.552,1.552,1.562,1.589,1.622,1.681,1.748,1.844,1.978
p53019,0.01275,0.0255,0.055,0.132,0.212,0.325,0.544,0.484351276,0.514382635,0.545369414,0.578950516,0.645097073,0.615,0.615,0.615,0.618,0.625,0.65,0.696,0.783,0.891
p53021,0.084,0.168,0.363,0.960,1.462,2.208,3.609,3.196309684,3.320684597,3.436918048,3.558156533,3.682897403,3.346,3.346,3.346,3.37,3.4,3.432,3.473,3.642,3.866
p53043,0.0155,0.031,0.067,0.156,0.243,0.373,0.635,0.562010974,0.585441679,0.606450788,0.62784461,0.655211836,0.599,0.599,0.599,0.602,0.612,0.632,0.659,0.693,0.731
p53047,0.05675,0.1135,0.245,0.565,0.869,1.318,2.243,1.985431495,2.060712288,2.119305543,2.164674868,2.247724994,2.041,2.041,2.041,2.047,2.062,2.086,2.123,2.171,2.333
p53051,0.0205,0.041,0.089,0.199,0.301,0.456,0.772,0.683609712,0.709529861,0.729704276,0.743412467,0.75186401,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.67,0.673
p53063,0.6755,1.351,2.921,6.660,10.864,16.977,28.541,25.67879231,27.39485249,30.51778167,35.50377927,42.67867832,41.893,41.893,41.961,42.49,43.335,44.378,46.113,48.694,52.562
p53065,0.0625,0.125,0.270,0.669,1.077,1.691,2.905,2.641451577,2.843422359,3.143509303,3.67483562,4.379692151,4.327,4.327,4.362,4.402,4.502,4.659,4.835,5.125,5.483
p53075,0.056,0.112,0.242,0.587,0.960,1.487,2.522,2.271546172,2.438279747,2.612319493,2.942535447,3.395188603,3.298,3.298,3.298,3.318,3.404,3.484,3.581,3.819,4.087
p53017,0.04175,0.0835,0.181,0.416,0.643,0.975,1.659,1.468381399,1.524057415,1.567391696,1.603504022,1.646458558,1.489,1.489,1.489,1.494,1.506,1.527,1.555,1.587,1.627
p53025,0.09225,0.1845,0.399,0.895,1.353,2.050,3.480,3.079820137,3.196596415,3.287486828,3.349245406,3.719984865,3.48,3.48,3.48,3.48,3.482,3.509,3.614,3.754,3.922
p41003,0.253,0.506,1.355,2.451,2.973,3.768,5.938,6.097308147,6.468494206,7.974391573,11.79458883,17.2400507,18.782,18.789,18.926,19.078,19.294,19.529,19.863,20.262,20.71
p41005,1.048,2.096,5.614,9.700,10.868,13.346,21.573,22.09929333,23.41024309,33.57839483,52.22444803,80.50451838,90.273,90.273,90.276,90.565,91.17,91.88,93.102,94.533,96.157
p41007,0.14575,0.2915,0.781,1.387,1.570,1.937,3.112,3.186091303,3.379016649,3.604891827,4.342684488,6.089087009,6.694,6.694,6.698,6.769,6.909,7.088,7.388,7.694,8.081
p41009,0.1245,0.249,0.667,1.150,1.282,1.569,2.552,2.605687242,2.739485249,3.156598169,5.550590844,8.373899465,9.33,9.33,9.33,9.337,9.412,9.606,9.838,10.163,10.503
p41013,0.08225,0.1645,0.441,1.201,2.577,3.088,5.334,5.413698435,5.84593213,6.314287076,6.770720723,7.233179031,6.66,6.66,6.66,6.664,6.689,6.747,6.789,6.881,6.963
p41017,0.71675,1.4335,3.840,9.194,12.632,16.837,26.893,27.58554227,30.18736688,35.06616259,41.76666816,51.55943977,51.415,51.487,51.586,51.84,52.267,52.705,53.413,55.315,58.061
p41021,0.00625,0.0125,0.033,0.058,0.065,0.078,0.129,0.130795281,0.136815175,0.142886786,0.148904739,0.194428212,0.237,0.237,0.237,0.239,0.243,0.249,0.256,0.266,0.276
p41023,0.025,0.05,0.134,0.232,0.260,0.313,0.506,0.511940905,0.533473124,0.553004586,0.57228314,0.591151673,0.537,0.537,0.537,0.541,0.547,0.562,0.586,0.616,0.653
p41027,0.05275,0.1055,0.283,0.498,0.548,0.659,1.054,1.064755336,1.106187811,1.139822075,1.166790868,1.217143084,1.095,1.095,1.095,1.098,1.105,1.116,1.131,1.15,1.179
p41031,0.0755,0.151,0.404,1.008,1.644,2.208,3.717,3.777735582,4.045062617,4.508023577,5.328344964,6.773519269,6.856,6.858,6.883,6.908,6.974,7.043,7.184,7.354,7.575
p41039,1.22775,2.4555,6.577,11.814,13.565,16.694,25.329,25.77177958,27.67272517,34.89164437,46.82276192,63.37348234,66.967,66.989,67.059,67.461,68.118,68.916,69.974,71.261,74.052
p41041,0.17675,0.3535,0.947,1.701,2.086,2.541,4.219,4.413318902,4.961406115,6.603332866,8.645364718,10.8812367,11.026,11.026,11.026,11.103,11.216,11.422,11.729,12.118,12.718
p41043,0.3815,0.763,2.044,3.546,4.322,5.376,8.632,8.844009052,9.940842136,11.75271087,15.63277517,21.84676308,23.588,23.652,23.821,24.03,24.167,24.443,24.849,25.246,25.869
p41047,0.9605,1.921,5.145,8.808,10.396,12.793,20.051,20.52872812,22.35072092,30.20255815,43.03569213,61.96191105,67.379,67.379,67.381,67.497,67.786,68.601,69.409,70.499,71.705
p41049,0.025,0.05,0.134,0.241,0.273,0.332,0.545,0.550770754,0.575896434,0.603178572,0.636734445,0.786703748,0.803,0.803,0.803,0.81,0.827,0.868,0.927,1,1.09
