*i,r,vom ($/kW-yr)
NF-EGS_pbinary_1,p10,618.0906049
NF-EGS_pbinary_1,p12,522.5568787
NF-EGS_pbinary_1,p16,1040.317402
NF-EGS_pbinary_1,p9,601.2005471
NF-EGS_pbinary_2,p10,602.1936957
NF-EGS_pbinary_2,p12,526.5571511
NF-EGS_pbinary_3,p10,661.3974171
NF-EGS_pbinary_3,p12,605.0410763
NF-EGS_pbinary_4,p10,653.698091
NF-EGS_pbinary_4,p12,561.3304418
NF-EGS_pbinary_5,p12,632.4716453
NF-EGS_pbinary_6,p12,616.1727348
NF-EGS_pbinary_7,p12,622.0280398
NF-EGS_pbinary_8,p12,692.8126684
NF-EGS_pflash_1,p10,165.5421625
NF-EGS_pflash_1,p25,451.4883003
NF-EGS_pflash_1,p9,171.7175235
NF-EGS_pflash_2,p10,213.9317064
NF-EGS_pflash_2,p9,186.8336323
NF-EGS_pflash_3,p10,194.1219366
NF-EGS_pflash_3,p9,269.8973933
NF-EGS_pflash_4,p10,229.9434496
NF-EGS_pflash_4,p9,223.4908175
NF-EGS_pflash_5,p10,179.9225084
NF-EGS_pflash_5,p9,180.9971472
NF-EGS_pflash_6,p10,180.9971472
deep-egs_pbinary_1,p1,974.2333154
deep-egs_pbinary_1,p10,774.4677052
deep-egs_pbinary_1,p101,1936.926034
deep-egs_pbinary_1,p107,1936.926034
deep-egs_pbinary_1,p109,1936.926034
deep-egs_pbinary_1,p11,867.6585119
deep-egs_pbinary_1,p110,1096.915417
deep-egs_pbinary_1,p111,1936.926034
deep-egs_pbinary_1,p112,1936.926034
deep-egs_pbinary_1,p115,974.2333154
deep-egs_pbinary_1,p116,974.2333154
deep-egs_pbinary_1,p117,974.2333154
deep-egs_pbinary_1,p118,1096.915417
deep-egs_pbinary_1,p119,1936.926034
deep-egs_pbinary_1,p12,867.6585119
deep-egs_pbinary_1,p120,1936.926034
deep-egs_pbinary_1,p121,1936.926034
deep-egs_pbinary_1,p122,1096.915417
deep-egs_pbinary_1,p123,1936.926034
deep-egs_pbinary_1,p124,1936.926034
deep-egs_pbinary_1,p127,1096.915417
deep-egs_pbinary_1,p13,867.6585119
deep-egs_pbinary_1,p131,1936.926034
deep-egs_pbinary_1,p134,1936.926034
deep-egs_pbinary_1,p14,974.2333154
deep-egs_pbinary_1,p15,774.4677052
deep-egs_pbinary_1,p16,774.4677052
deep-egs_pbinary_1,p17,974.2333154
deep-egs_pbinary_1,p18,867.6585119
deep-egs_pbinary_1,p19,974.2333154
deep-egs_pbinary_1,p2,867.6585119
deep-egs_pbinary_1,p20,974.2333154
deep-egs_pbinary_1,p21,867.6585119
deep-egs_pbinary_1,p22,1695.668439
deep-egs_pbinary_1,p23,1695.668439
deep-egs_pbinary_1,p24,974.2333154
deep-egs_pbinary_1,p25,867.6585119
deep-egs_pbinary_1,p26,974.2333154
deep-egs_pbinary_1,p27,867.6585119
deep-egs_pbinary_1,p28,867.6585119
deep-egs_pbinary_1,p29,867.6585119
deep-egs_pbinary_1,p3,974.2333154
deep-egs_pbinary_1,p30,867.6585119
deep-egs_pbinary_1,p31,774.4677052
deep-egs_pbinary_1,p32,974.2333154
deep-egs_pbinary_1,p33,867.6585119
deep-egs_pbinary_1,p34,774.4677052
deep-egs_pbinary_1,p35,867.6585119
deep-egs_pbinary_1,p36,867.6585119
deep-egs_pbinary_1,p37,974.2333154
deep-egs_pbinary_1,p38,974.2333154
deep-egs_pbinary_1,p39,974.2333154
deep-egs_pbinary_1,p4,974.2333154
deep-egs_pbinary_1,p40,974.2333154
deep-egs_pbinary_1,p41,1096.915417
deep-egs_pbinary_1,p48,1096.915417
