*i,r,vom ($/kW-yr)
nf-egs_pbinary_1,p10,606.2559426
nf-egs_pbinary_2,p10,634.2342822
nf-egs_pbinary_3,p10,664.0333812
nf-egs_pbinary_4,p10,696.0001786
nf-egs_pbinary_5,p10,696.0001786
nf-egs_pbinary_6,p10,730.8675677
nf-egs_pbinary_7,p10,730.7607146
nf-egs_pbinary_8,p10,768.8004589
nf-egs_pbinary_1,p12,664.0333812
nf-egs_pbinary_2,p12,696.5939464
nf-egs_pbinary_3,p12,696.5939464
nf-egs_pbinary_4,p12,696.0001786
nf-egs_pbinary_5,p12,922.3121276
nf-egs_pbinary_1,p25,635.6198767
nf-egs_pbinary_2,p25,730.7607146
nf-egs_pflash_1,p9,219.0076641
nf-egs_pflash_2,p9,198.9568096
nf-egs_pflash_3,p9,198.0365772
nf-egs_pflash_4,p9,200.444672
nf-egs_pflash_5,p9,190.546508
nf-egs_pflash_6,p9,190.546508
nf-egs_pflash_1,p10,310.6071846
nf-egs_pflash_2,p10,309.6325636
nf-egs_pflash_1,p12,262.4065045
nf-egs_pflash_2,p12,262.4065045
nf-egs_pflash_3,p12,246.0185174
nf-egs_pflash_4,p12,219.0076641
geohydro_pbinary_1,p1,437.3975193
geohydro_pbinary_1,p5,281.6475915
geohydro_pbinary_2,p5,496.5362538
geohydro_pbinary_1,p6,260.264269
geohydro_pbinary_2,p6,552.7134015
geohydro_pbinary_1,p7,181.8552516
geohydro_pbinary_2,p7,223.2813418
geohydro_pbinary_3,p7,256.37216
geohydro_pbinary_4,p7,289.6772449
geohydro_pbinary_5,p7,356.6389361
geohydro_pbinary_6,p7,412.6379573
geohydro_pbinary_7,p7,469.8467453
geohydro_pbinary_8,p7,561.3305856
geohydro_pbinary_1,p8,206.3542628
geohydro_pbinary_2,p8,333.4916724
geohydro_pbinary_3,p8,371.3537073
geohydro_pbinary_4,p8,418.6504567
geohydro_pbinary_5,p8,420.5141067
geohydro_pbinary_6,p8,489.8767024
geohydro_pbinary_7,p8,539.9366273
geohydro_pbinary_8,p8,583.085898
geohydro_pbinary_1,p9,206.8194201
geohydro_pbinary_2,p9,261.2624323
geohydro_pbinary_3,p9,275.4477852
geohydro_pbinary_4,p9,551.9939389
geohydro_pbinary_5,p9,568.5251756
geohydro_pbinary_1,p10,164.6146748
geohydro_pbinary_2,p10,194.8933681
geohydro_pbinary_3,p10,197.6715764
geohydro_pbinary_4,p10,255.0757154
geohydro_pbinary_5,p10,300.7751575
geohydro_pbinary_6,p10,412.6116803
geohydro_pbinary_7,p10,420.6816294
geohydro_pbinary_8,p10,486.8805158
geohydro_pbinary_1,p12,175.0798308
geohydro_pbinary_2,p12,254.8158853
geohydro_pbinary_3,p12,294.9329701
geohydro_pbinary_4,p12,364.127824
geohydro_pbinary_5,p12,396.0842291
geohydro_pbinary_6,p12,421.7021912
geohydro_pbinary_7,p12,511.655155
geohydro_pbinary_8,p12,578.8769747
geohydro_pbinary_1,p15,216.7620399
geohydro_pbinary_2,p15,288.8372147
geohydro_pbinary_3,p15,357.8303091
geohydro_pbinary_4,p15,469.7472678
geohydro_pbinary_5,p15,473.0242442
geohydro_pbinary_6,p15,545.0296466
geohydro_pbinary_7,p15,559.3208329
geohydro_pbinary_8,p15,567.8505123
geohydro_pbinary_1,p16,236.9488085
geohydro_pbinary_2,p16,328.2839513
geohydro_pbinary_3,p16,329.4416238
geohydro_pbinary_1,p17,458.8820096
geohydro_pbinary_2,p17,474.7615538
geohydro_pbinary_3,p17,561.2247301
geohydro_pbinary_1,p21,368.2074464
geohydro_pbinary_1,p25,525.1475843
geohydro_pbinary_2,p25,561.9888685
geohydro_pbinary_3,p25,567.070251
geohydro_pbinary_1,p28,526.3171961
geohydro_pbinary_2,p28,535.1474988
geohydro_pbinary_1,p31,337.0396979
geohydro_pbinary_2,p31,550.4071127
geohydro_pbinary_1,p33,552.5158556
geohydro_pbinary_1,p34,406.856717
geohydro_pflash_1,p5,113.5506988
geohydro_pflash_1,p9,119.5620106
geohydro_pflash_1,p10,121.5895266
geohydro_pflash_2,p10,108.9203688
geohydro_pflash_3,p10,112.1801792
geohydro_pflash_4,p10,123.9845798
geohydro_pflash_5,p10,155.4967572
geohydro_pflash_6,p10,103.5726176
geohydro_pflash_1,p12,110.4510681
geohydro_pflash_2,p12,135.1334314
geohydro_pflash_3,p12,141.8140476
geohydro_pflash_4,p12,147.7987815
geohydro_pflash_5,p12,148.9159484
geohydro_pflash_6,p12,153.7281629
geohydro_pflash_7,p12,170.2590437
geohydro_pflash_8,p12,184.406838
geohydro_pflash_1,p25,120.7000756
undisc_pbinary_1,p1,428.2690527
undisc_pbinary_1,p5,225.3633971
undisc_pbinary_2,p5,427.6359914
undisc_pbinary_1,p6,225.3633971
undisc_pbinary_2,p6,427.6359914
undisc_pbinary_1,p7,225.3633971
undisc_pbinary_2,p7,427.6359914
undisc_pbinary_1,p8,196.0134905
undisc_pbinary_2,p8,431.587595
undisc_pbinary_1,p9,196.0134905
undisc_pbinary_2,p9,431.587595
undisc_pbinary_1,p10,196.0134905
undisc_pbinary_2,p10,431.587595
undisc_pbinary_1,p12,198.6213477
undisc_pbinary_2,p12,386.1392677
undisc_pbinary_1,p15,236.2075481
undisc_pbinary_2,p15,514.4137518
undisc_pbinary_1,p16,236.2075481
undisc_pbinary_2,p16,514.4137518
undisc_pbinary_1,p17,558.3218684
undisc_pbinary_1,p21,375.2935818
undisc_pbinary_1,p25,226.7165748
undisc_pbinary_2,p25,473.1879787
undisc_pbinary_1,p28,498.995342
undisc_pbinary_1,p31,503.6917643
undisc_pbinary_1,p33,498.8052612
undisc_pbinary_1,p34,498.8052612
undisc_pflash_1,p5,113.5506988
undisc_pflash_1,p8,108.82701
undisc_pflash_1,p9,108.82701
undisc_pflash_1,p10,108.82701
undisc_pflash_1,p12,137.8532345
undisc_pflash_1,p25,120.7000756
undisc_pflash_1,p31,120.3772422
deep-egs_pbinary_1,p1,698.7532524
deep-egs_pbinary_2,p1,709.701705
deep-egs_pbinary_3,p1,933.6172505
deep-egs_pbinary_4,p1,950.7322103
deep-egs_pbinary_5,p1,972.1774865
deep-egs_pbinary_1,p2,691.2589556
deep-egs_pbinary_2,p2,698.7532524
deep-egs_pbinary_3,p2,709.701705
deep-egs_pbinary_4,p2,933.6172505
deep-egs_pbinary_5,p2,950.7322103
deep-egs_pbinary_6,p2,972.1774865
deep-egs_pbinary_1,p3,698.7532524
deep-egs_pbinary_2,p3,709.701705
deep-egs_pbinary_3,p3,933.6172505
deep-egs_pbinary_4,p3,950.7322103
deep-egs_pbinary_1,p4,698.7532524
deep-egs_pbinary_2,p4,709.701705
deep-egs_pbinary_3,p4,933.6172505
deep-egs_pbinary_4,p4,950.7322103
deep-egs_pbinary_1,p5,691.2589556
deep-egs_pbinary_2,p5,698.7532524
deep-egs_pbinary_3,p5,709.701705
deep-egs_pbinary_4,p5,936.4874337
deep-egs_pbinary_5,p5,933.6172505
deep-egs_pbinary_6,p5,950.7322103
deep-egs_pbinary_7,p5,972.1774865
deep-egs_pbinary_1,p6,691.2589556
deep-egs_pbinary_2,p6,698.7532524
deep-egs_pbinary_3,p6,709.701705
deep-egs_pbinary_4,p6,936.4874337
deep-egs_pbinary_5,p6,933.6172505
deep-egs_pbinary_6,p6,950.7322103
deep-egs_pbinary_7,p6,972.1774865
deep-egs_pbinary_1,p7,691.2589556
deep-egs_pbinary_2,p7,698.7532524
deep-egs_pbinary_3,p7,709.701705
deep-egs_pbinary_4,p7,936.4874337
deep-egs_pbinary_5,p7,933.6172505
deep-egs_pbinary_6,p7,950.7322103
deep-egs_pbinary_1,p8,691.2589556
deep-egs_pbinary_2,p8,698.7532524
deep-egs_pbinary_3,p8,709.701705
deep-egs_pbinary_4,p8,936.4874337
deep-egs_pbinary_5,p8,933.6172505
deep-egs_pbinary_6,p8,950.7322103
deep-egs_pbinary_7,p8,972.1774865
deep-egs_pbinary_1,p9,696.016921
deep-egs_pbinary_2,p9,691.2589556
deep-egs_pbinary_3,p9,698.7532524
deep-egs_pbinary_4,p9,709.701705
deep-egs_pbinary_5,p9,936.4874337
deep-egs_pbinary_6,p9,933.6172505
deep-egs_pbinary_7,p9,950.7322103
deep-egs_pbinary_8,p9,972.1774865
deep-egs_pbinary_1,p10,696.016921
deep-egs_pbinary_2,p10,691.2589556
deep-egs_pbinary_3,p10,698.7532524
deep-egs_pbinary_4,p10,709.701705
deep-egs_pbinary_5,p10,936.4874337
deep-egs_pbinary_6,p10,933.6172505
deep-egs_pbinary_7,p10,950.7322103
deep-egs_pbinary_8,p10,972.1774865
deep-egs_pbinary_1,p11,691.2589556
deep-egs_pbinary_2,p11,698.7532524
deep-egs_pbinary_3,p11,709.701705
deep-egs_pbinary_4,p11,936.4874337
deep-egs_pbinary_5,p11,933.6172505
deep-egs_pbinary_6,p11,950.7322103
deep-egs_pbinary_7,p11,972.1774865
deep-egs_pbinary_1,p12,691.2589556
deep-egs_pbinary_2,p12,698.7532524
deep-egs_pbinary_3,p12,709.701705
deep-egs_pbinary_4,p12,936.4874337
deep-egs_pbinary_5,p12,933.6172505
