*i,r,sc_cat,value
NF-EGS_pbinary_1,p10,Cap,24.666329
NF-EGS_pbinary_1,p12,Cap,43.2
NF-EGS_pbinary_1,p16,Cap,28.2
NF-EGS_pbinary_1,p9,Cap,70.0
NF-EGS_pbinary_2,p10,Cap,24.5
NF-EGS_pbinary_2,p12,Cap,104.0
NF-EGS_pbinary_3,p10,Cap,42.0
NF-EGS_pbinary_3,p12,Cap,33.6
NF-EGS_pbinary_4,p10,Cap,18.680804
NF-EGS_pbinary_4,p12,Cap,26.368494
NF-EGS_pbinary_5,p12,Cap,45.5
NF-EGS_pbinary_6,p12,Cap,43.4
NF-EGS_pbinary_7,p12,Cap,37.1
NF-EGS_pbinary_8,p12,Cap,54.598063
NF-EGS_pflash_1,p10,Cap,50.055536
NF-EGS_pflash_1,p25,Cap,108.0
NF-EGS_pflash_1,p9,Cap,68.0
NF-EGS_pflash_2,p10,Cap,43.570398
NF-EGS_pflash_2,p9,Cap,55.0
NF-EGS_pflash_3,p10,Cap,45.0
NF-EGS_pflash_3,p9,Cap,37.0
NF-EGS_pflash_4,p10,Cap,66.067483
NF-EGS_pflash_4,p9,Cap,70.0
NF-EGS_pflash_5,p10,Cap,66.746919
NF-EGS_pflash_5,p9,Cap,70.0
NF-EGS_pflash_6,p10,Cap,107.16345
deep-egs_pbinary_1,p1,Cap,371.8061
deep-egs_pbinary_1,p10,Cap,1259.3368
deep-egs_pbinary_1,p101,Cap,33.2969
deep-egs_pbinary_1,p107,Cap,31.0935
deep-egs_pbinary_1,p109,Cap,3.6873
deep-egs_pbinary_1,p11,Cap,115.749
deep-egs_pbinary_1,p110,Cap,0.161285
deep-egs_pbinary_1,p111,Cap,247.7582
deep-egs_pbinary_1,p112,Cap,145.0191
deep-egs_pbinary_1,p115,Cap,32.773721
deep-egs_pbinary_1,p116,Cap,3710.630033
deep-egs_pbinary_1,p117,Cap,1.372561
deep-egs_pbinary_1,p118,Cap,1181.137117
deep-egs_pbinary_1,p119,Cap,729.3888
deep-egs_pbinary_1,p12,Cap,16407.4641
deep-egs_pbinary_1,p120,Cap,378.548241
deep-egs_pbinary_1,p121,Cap,105.711
deep-egs_pbinary_1,p122,Cap,735.4223
deep-egs_pbinary_1,p123,Cap,9.9816
deep-egs_pbinary_1,p124,Cap,1.651652
deep-egs_pbinary_1,p127,Cap,2.9208
deep-egs_pbinary_1,p13,Cap,743.2792
deep-egs_pbinary_1,p131,Cap,8.3685
deep-egs_pbinary_1,p134,Cap,165.9765
deep-egs_pbinary_1,p14,Cap,2046.7404
deep-egs_pbinary_1,p15,Cap,180.2286
deep-egs_pbinary_1,p16,Cap,113.2078
deep-egs_pbinary_1,p17,Cap,12698.5177
deep-egs_pbinary_1,p18,Cap,63.5495
deep-egs_pbinary_1,p19,Cap,4115.2729
deep-egs_pbinary_1,p2,Cap,0.0088
deep-egs_pbinary_1,p20,Cap,4832.5949
deep-egs_pbinary_1,p21,Cap,40.49
deep-egs_pbinary_1,p22,Cap,71.575
deep-egs_pbinary_1,p23,Cap,317.268
deep-egs_pbinary_1,p24,Cap,1268.5926
deep-egs_pbinary_1,p25,Cap,14516.3043
deep-egs_pbinary_1,p26,Cap,139.8125
deep-egs_pbinary_1,p27,Cap,3955.7268
deep-egs_pbinary_1,p28,Cap,21379.3625
deep-egs_pbinary_1,p29,Cap,296.718
deep-egs_pbinary_1,p3,Cap,10771.2333
deep-egs_pbinary_1,p30,Cap,5770.1284
deep-egs_pbinary_1,p31,Cap,136.4946
deep-egs_pbinary_1,p32,Cap,9.2028
deep-egs_pbinary_1,p33,Cap,3553.6645
deep-egs_pbinary_1,p34,Cap,32.5642
deep-egs_pbinary_1,p35,Cap,1130.5642
deep-egs_pbinary_1,p36,Cap,275.4261
deep-egs_pbinary_1,p37,Cap,239.544
deep-egs_pbinary_1,p38,Cap,9478.7426
deep-egs_pbinary_1,p39,Cap,1936.8002
deep-egs_pbinary_1,p4,Cap,2746.6136
deep-egs_pbinary_1,p40,Cap,829.579
deep-egs_pbinary_1,p41,Cap,230.0815
deep-egs_pbinary_1,p48,Cap,706.985
deep-egs_pbinary_1,p5,Cap,5128.4035
deep-egs_pbinary_1,p50,Cap,19.0991
deep-egs_pbinary_1,p51,Cap,0.6139
deep-egs_pbinary_1,p52,Cap,46.4044
deep-egs_pbinary_1,p53,Cap,0.671
deep-egs_pbinary_1,p55,Cap,15.0391
deep-egs_pbinary_1,p56,Cap,4.9202
deep-egs_pbinary_1,p57,Cap,29.1691
deep-egs_pbinary_1,p58,Cap,1650.4758
deep-egs_pbinary_1,p59,Cap,270.3879
deep-egs_pbinary_1,p6,Cap,4159.4962
deep-egs_pbinary_1,p60,Cap,207.0246
deep-egs_pbinary_1,p61,Cap,1388.96
deep-egs_pbinary_1,p63,Cap,176.1096
deep-egs_pbinary_1,p64,Cap,577.8369
deep-egs_pbinary_1,p65,Cap,6256.3488
deep-egs_pbinary_1,p66,Cap,649.1325
deep-egs_pbinary_1,p67,Cap,847.7028
deep-egs_pbinary_1,p69,Cap,0.6873
deep-egs_pbinary_1,p7,Cap,3623.183
deep-egs_pbinary_1,p70,Cap,125.5392
deep-egs_pbinary_1,p71,Cap,4.1903
deep-egs_pbinary_1,p77,Cap,76.022
deep-egs_pbinary_1,p8,Cap,4043.4869
deep-egs_pbinary_1,p80,Cap,8.6492
deep-egs_pbinary_1,p81,Cap,23.8894
deep-egs_pbinary_1,p83,Cap,1.1349
deep-egs_pbinary_1,p85,Cap,5.9171
deep-egs_pbinary_1,p86,Cap,8007.8614
deep-egs_pbinary_1,p87,Cap,62.3112
deep-egs_pbinary_1,p88,Cap,6.950998
