*i,r,sc_cat,value
deep-egs_pbinary_1,p1,Cost,46056.20946
deep-egs_pbinary_1,p10,Cost,42993.44211
deep-egs_pbinary_1,p101,Cost,47931.70385
deep-egs_pbinary_1,p107,Cost,65728.30793
deep-egs_pbinary_1,p109,Cost,65728.30793
deep-egs_pbinary_1,p11,Cost,44233.36252
deep-egs_pbinary_1,p110,Cost,47931.70385
deep-egs_pbinary_1,p111,Cost,65728.30793
deep-egs_pbinary_1,p112,Cost,65728.30793
deep-egs_pbinary_1,p115,Cost,46056.20946
deep-egs_pbinary_1,p116,Cost,46056.20946
deep-egs_pbinary_1,p117,Cost,46056.20946
deep-egs_pbinary_1,p118,Cost,47931.70385
deep-egs_pbinary_1,p119,Cost,65728.30793
deep-egs_pbinary_1,p12,Cost,44233.36252
deep-egs_pbinary_1,p120,Cost,65728.30793
deep-egs_pbinary_1,p121,Cost,65728.30793
deep-egs_pbinary_1,p122,Cost,47931.70385
deep-egs_pbinary_1,p123,Cost,65728.30793
deep-egs_pbinary_1,p124,Cost,65728.30793
deep-egs_pbinary_1,p127,Cost,47931.70385
deep-egs_pbinary_1,p129,Cost,65728.30793
deep-egs_pbinary_1,p13,Cost,44233.36252
deep-egs_pbinary_1,p130,Cost,47931.70385
deep-egs_pbinary_1,p131,Cost,65728.30793
deep-egs_pbinary_1,p134,Cost,65728.30793
deep-egs_pbinary_1,p14,Cost,46056.20946
deep-egs_pbinary_1,p15,Cost,42993.44211
deep-egs_pbinary_1,p16,Cost,42993.44211
deep-egs_pbinary_1,p17,Cost,44233.36252
deep-egs_pbinary_1,p18,Cost,42993.44211
deep-egs_pbinary_1,p19,Cost,46056.20946
deep-egs_pbinary_1,p2,Cost,44233.36252
deep-egs_pbinary_1,p20,Cost,46056.20946
deep-egs_pbinary_1,p21,Cost,42993.44211
deep-egs_pbinary_1,p22,Cost,62972.14809
deep-egs_pbinary_1,p23,Cost,62972.14809
deep-egs_pbinary_1,p24,Cost,46056.20946
deep-egs_pbinary_1,p25,Cost,44233.36252
deep-egs_pbinary_1,p26,Cost,46056.20946
deep-egs_pbinary_1,p27,Cost,44233.36252
deep-egs_pbinary_1,p28,Cost,44233.36252
deep-egs_pbinary_1,p29,Cost,44233.36252
deep-egs_pbinary_1,p3,Cost,46056.20946
deep-egs_pbinary_1,p30,Cost,44233.36252
deep-egs_pbinary_1,p31,Cost,42993.44211
deep-egs_pbinary_1,p32,Cost,46056.20946
deep-egs_pbinary_1,p33,Cost,44233.36252
deep-egs_pbinary_1,p34,Cost,42993.44211
deep-egs_pbinary_1,p35,Cost,44233.36252
deep-egs_pbinary_1,p36,Cost,44233.36252
deep-egs_pbinary_1,p37,Cost,46056.20946
deep-egs_pbinary_1,p38,Cost,46056.20946
deep-egs_pbinary_1,p39,Cost,46056.20946
deep-egs_pbinary_1,p4,Cost,46056.20946
deep-egs_pbinary_1,p40,Cost,46056.20946
deep-egs_pbinary_1,p41,Cost,47931.70385
deep-egs_pbinary_1,p47,Cost,47931.70385
deep-egs_pbinary_1,p48,Cost,47931.70385
deep-egs_pbinary_1,p49,Cost,65728.30793
deep-egs_pbinary_1,p5,Cost,44233.36252
deep-egs_pbinary_1,p50,Cost,46056.20946
deep-egs_pbinary_1,p51,Cost,62972.14809
deep-egs_pbinary_1,p52,Cost,65728.30793
deep-egs_pbinary_1,p53,Cost,65728.30793
deep-egs_pbinary_1,p55,Cost,65728.30793
deep-egs_pbinary_1,p56,Cost,47931.70385
deep-egs_pbinary_1,p57,Cost,44233.36252
deep-egs_pbinary_1,p58,Cost,44233.36252
deep-egs_pbinary_1,p59,Cost,44233.36252
deep-egs_pbinary_1,p6,Cost,44233.36252
deep-egs_pbinary_1,p60,Cost,62972.14809
deep-egs_pbinary_1,p61,Cost,44233.36252
deep-egs_pbinary_1,p63,Cost,44233.36252
deep-egs_pbinary_1,p64,Cost,44233.36252
deep-egs_pbinary_1,p65,Cost,44233.36252
deep-egs_pbinary_1,p66,Cost,44233.36252
deep-egs_pbinary_1,p67,Cost,46056.20946
deep-egs_pbinary_1,p69,Cost,65728.30793
deep-egs_pbinary_1,p7,Cost,44233.36252
deep-egs_pbinary_1,p70,Cost,65728.30793
deep-egs_pbinary_1,p71,Cost,65728.30793
deep-egs_pbinary_1,p77,Cost,65728.30793
deep-egs_pbinary_1,p8,Cost,44233.36252
deep-egs_pbinary_1,p80,Cost,65728.30793
deep-egs_pbinary_1,p81,Cost,65728.30793
deep-egs_pbinary_1,p83,Cost,65728.30793
deep-egs_pbinary_1,p84,Cost,65728.30793
deep-egs_pbinary_1,p85,Cost,44233.36252
deep-egs_pbinary_1,p86,Cost,46056.20946
deep-egs_pbinary_1,p87,Cost,44233.36252
deep-egs_pbinary_1,p88,Cost,46056.20946
deep-egs_pbinary_1,p89,Cost,47931.70385
